"Criminal Justice Information Services Division","Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home"
"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Forciblerape","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson"
"Alachua","9,264","40","0","3","4","33","231","66","159","6","0"
"Altamonte Springs","42,296","142","1","9","35","97","1,293","181","1,042","70","3"
"Altha","548","0","0","0","0","0","4","2","2","0","0"
"Apalachicola","2,273","3","0","1","0","2","24","15","8","1","0"
"Apopka","43,046","146","1","13","59","73","1,316","279","977","60","4"
"Arcadia","7,747","65","1","4","16","44","194","85","106","3","2"
"Astatula","1,861","3","0","1","0","2","23","11","9","3","0"
"Atlantic Beach","12,925","55","0","2","12","41","312","62","245","5","1"
"Atlantis","2,057","5","0","1","0","4","1","1","0","0","0"
"Auburndale","13,862","46","0","5","17","24","865","171","671","23","4"
"Aventura","37,110","51","0","0","21","30","2,082","82","1,965","35","0"
"Bal Harbour Village","2,609","1","0","0","0","1","76","3","73","0","0"
"Bartow","17,740","116","1","6","21","88","994","228","740","26","3"
"Bay Harbor Islands","5,841","7","0","2","1","4","64","28","30","6","0"
"Belleair","3,925","2","0","1","0","1","118","26","88","4","0"
"Belleair Beach","1,582","1","0","0","0","1","35","7","26","2","0"
"Belleair Bluffs","2,060","9","0","0","2","7","70","18","48","4","1"
"Belle Glade","17,908","366","4","11","35","316","696","272","387","37","5"
"Belle Isle","6,194","12","0","0","2","10","160","48","105","7","0"
"Belleview","4,571","16","1","2","5","8","204","68","121","15","0"
"Biscayne Park","3,169","4","0","0","1","3","32","19","13","0","0"
"Blountstown","2,557","3","0","1","0","2","42","7","34","1","0"
"Boca Raton","86,493","164","0","12","62","90","2,557","491","1,965","101","0"
"Bonifay","2,834","5","0","1","0","4","41","22","17","2","0"
"Bowling Green","2,987","11","0","0","1","10","70","19","51","0","0"
"Boynton Beach","69,937","399","5","8","127","259","2,988","627","2,210","151","3"
"Bradenton","50,878","341","4","23","94","220","2,026","511","1,440","75","5"
"Bradenton Beach","1,203","5","0","0","1","4","53","9","42","2","0"
"Brooksville","7,841","78","0","6","22","50","459","65","382","12","1"
"Bunnell","2,754","44","0","1","4","39","115","39","69","7","1"
"Cape Coral","159,625","229","4","16","41","168","3,521","860","2,547","114","7"
"Carrabelle","2,823","2","0","0","0","2","18","7","11","0","0"
"Casselberry","26,747","161","4","9","42","106","1,070","205","822","43","2"
"Cedar Key","702","3","0","0","0","3","37","11","25","1","0"
"Center Hill","1,052","9","0","2","1","6","13","5","7","1","0"
"Chattahoochee","3,686","40","0","1","1","38","80","36","40","4","0"
"Chiefland","2,239","2","0","0","0","2","223","102","118","3","0"
"Chipley","3,660","22","0","1","3","18","145","27","117","1","2"
"Clearwater","109,255","727","3","59","206","459","4,264","919","3,169","176","21"
"Clermont","29,523","88","0","9","15","64","728","164","533","31","1"
"Clewiston","7,244","32","0","0","13","19","305","106","194","5","1"
"Cocoa","17,381","312","2","18","71","221","1,343","351","919","73","4"
"Cocoa Beach","11,388","90","0","5","21","64","828","109","694","25","1"
"Coconut Creek","54,651","107","1","10","32","64","1,622","270","1,265","87","4"
"Cooper City","29,473","48","0","0","9","39","666","120","518","28","2"
"Coral Gables","48,435","79","3","4","22","50","2,277","409","1,757","111","2"
"Coral Springs","125,021","229","1","10","78","140","2,820","572","2,098","150","9"
"Crescent City","1,592","23","0","0","0","23","84","34","50","0","0"
"Crestview","21,574","186","1","14","38","133","933","167","728","38","0"
"Cross City","1,759","7","0","0","0","7","36","10","26","0","0"
"Cutler Bay","41,799","124","1","5","35","83","1,856","240","1,521","95","1"
"Dade City","6,549","60","1","5","10","44","338","80","246","12","3"
"Dania","30,595","213","1","12","64","136","1,494","300","1,053","141","1"
"Davenport","2,971","3","0","0","0","3","61","21","36","4","0"
"Davie","94,952","369","5","23","74","267","3,473","667","2,565","241","7"
"Daytona Beach","61,861","715","4","23","179","509","3,869","799","2,724","346","4"
"Daytona Beach Shores","4,311","20","0","0","2","18","187","46","134","7","0"
"Deerfield Beach","77,431","360","4","17","149","190","2,458","594","1,680","184","6"
"De Funiak Springs","5,320","53","1","3","11","38","284","70","207","7","0"
"Deland","27,410","128","2","1","37","88","1,284","281","954","49","0"
"Delray Beach","62,044","457","6","26","157","268","2,950","565","2,230","155","7"
"Doral","47,427","84","0","5","16","63","2,363","234","1,969","160","1"
"Dunedin","35,836","110","2","19","19","70","892","205","655","32","1"
"Dunnellon","1,764","10","0","0","3","7","24","22","1","1","0"
"Eatonville","2,229","32","1","0","4","27","114","45","61","8","0"
"Edgewater","21,044","40","0","2","11","27","526","138","360","28","0"
"Edgewood","2,590","3","0","0","0","3","70","16","50","4","0"
"El Portal","2,412","6","0","0","3","3","82","38","43","1","0"
"Eustis","19,062","50","1","6","19","24","646","164","466","16","3"
"Fellsmere","5,300","11","0","0","4","7","105","33","71","1","0"
"Fernandina Beach","11,783","41","0","4","8","29","333","74","248","11","0"
"Flagler Beach","4,625","9","1","2","0","6","147","35","108","4","0"
"Florida City","11,668","242","3","6","84","149","1,154","230","860","64","1"
"Fort Lauderdale","170,827","1,543","16","48","835","644","9,960","2,951","6,419","590","39"
"Fort Myers","64,379","754","24","26","172","532","2,346","507","1,639","200","8"
"Fort Pierce","42,566","472","3","31","137","301","2,325","705","1,528","92","5"
"Fort Walton Beach","20,063","48","1","4","7","36","772","143","586","43","1"
"Fruitland Park","4,188","10","0","0","0","10","190","60","127","3","0"
"Gainesville","127,036","851","6","74","171","600","5,201","1,009","3,953","239","9"
"Golden Beach","953","0","0","0","0","0","10","5","5","0","0"
"Graceville","2,289","3","0","0","0","3","51","24","25","2","0"
"Greenacres City","38,528","234","0","13","58","163","1,185","327","766","92","5"
"Green Cove Springs","7,053","72","0","5","7","60","224","47","172","5","0"
"Gretna","1,472","22","0","0","0","22","15","10","5","0","0"
"Groveland","8,967","11","0","0","2","9","133","46","80","7","0"
"Gulf Breeze","5,950","5","0","1","0","4","142","27","114","1","0"
"Gulfport","12,205","49","0","4","12","33","570","187","363","20","11"
"Gulf Stream","806","0","0","0","0","0","24","5","17","2","0"
"Haines City","21,091","78","1","10","15","52","701","161","512","28","0"
"Hallandale","38,316","287","4","11","98","174","1,863","456","1,264","143","0"
"Havana","1,767","16","1","2","1","12","41","8","32","1","0"
"Hialeah","233,107","810","4","40","260","506","7,194","1,048","5,409","737","10"
"Hialeah Gardens","22,561","28","0","0","10","18","933","95","782","56","0"
"Highland Beach","3,629","0","0","0","0","0","44","12","30","2","0"
"High Springs","5,465","30","0","4","5","21","165","44","113","8","2"
"Hillsboro Beach","1,936","0","0","0","0","0","31","9","21","1","0"
"Holly Hill","11,822","66","1","3","12","50","635","133","433","69","0"
"Hollywood","145,313","643","5","38","278","322","7,713","1,958","5,095","660","17"
"Holmes Beach","3,941","9","0","0","1","8","143","47","95","1","0"
"Homestead","62,785","1,045","4","33","315","693","3,216","877","2,151","188","16"
"Howey-in-the-Hills","1,133","0","0","0","0","0","5","2","3","0","0"
"Hypoluxo","2,654","2","0","0","2","0","46","16","29","1","0"
"Indialantic","2,758","6","0","0","2","4","64","8","53","3","0"
"Indian Creek Village","89","0","0","0","0","0","1","0","1","0","0"
"Indian Harbour Beach","8,340","10","0","3","3","4","162","27","129","6","0"
"Indian River Shores","3,978","1","0","0","0","1","20","4","16","0","0"
"Indian Rocks Beach","4,173","19","0","1","1","17","134","22","104","8","0"
"Indian Shores","1,440","4","0","0","0","4","69","17","49","3","0"
"Inglis","1,322","6","0","0","0","6","50","10","39","1","0"
"Interlachen","1,415","7","0","0","0","7","79","26","52","1","0"
"Jacksonville","840,660","5,189","93","341","1,371","3,384","34,674","7,632","25,403","1,639","80"
"Jacksonville Beach","21,817","196","1","11","43","141","1,018","147","828","43","5"
"Jasper","4,590","6","0","0","1","5","61","27","34","0","1"
"Jennings","881","0","0","0","0","0","19","9","9","1","0"
"Juno Beach","3,257","9","0","1","1","7","76","11","63","2","0"
"Jupiter","56,674","115","0","11","37","67","1,196","235","918","43","5"
"Jupiter Inlet Colony","410","0","0","0","0","0","7","2","5","0","0"
"Jupiter Island","834","0","0","0","0","0","10","6","4","0","0"
"Kenneth City","5,052","25","0","2","5","18","190","28","157","5","0"
"Key Biscayne","12,809","3","0","0","0","3","285","8","261","16","0"
"Key Colony Beach","817","0","0","0","0","0","14","4","10","0","0"
"Key West","25,249","208","1","21","51","135","1,546","290","1,161","95","3"
"Kissimmee","62,183","563","2","34","121","406","3,112","822","2,150","140","6"
"Lady Lake","14,304","29","0","0","2","27","306","59","229","18","0"
"Lake Alfred","5,146","24","1","1","1","21","153","66","82","5","0"
"Lake City","12,190","179","3","6","26","144","1,004","253","734","17","3"
"Lake Clarke Shores","3,462","12","0","1","4","7","110","36","68","6","0"
"Lake Hamilton","1,264","4","0","0","0","4","60","17","36","7","2"
"Lake Helen","2,661","9","0","1","0","8","63","20","39","4","0"
"Lakeland","99,934","465","10","33","144","278","5,216","1,296","3,735","185","4"
"Lake Mary","14,090","21","0","3","1","17","291","50","231","10","0"
"Lake Park","8,361","98","1","2","43","52","815","107","684","24","1"
"Lake Placid","2,249","11","0","1","3","7","103","15","86","2","1"
"Lake Wales","14,595","46","2","4","10","30","468","161","288","19","1"
"Lake Worth","35,788","461","8","35","194","224","1,728","487","1,113","128","11"
"Lantana","10,687","60","0","7","23","30","491","108","374","9","1"
"Largo","78,783","394","1","43","114","236","3,117","574","2,413","130","10"
"Lauderdale-by-the-Sea","6,252","23","0","1","6","16","152","27","116","9","0"
"Lauderdale Lakes","33,644","336","6","12","151","167","1,676","638","931","107","7"
"Lauderhill","69,046","587","8","19","242","318","2,934","1,238","1,511","185","8"
"Leesburg","20,668","186","3","10","36","137","1,049","222","779","48","5"
"Lighthouse Point","10,680","12","0","0","6","6","327","69","241","17","0"
"Live Oak","7,012","61","0","0","12","49","317","166","144","7","0"
"Longboat Key","7,048","2","0","0","1","1","123","17","106","0","0"
"Longwood","13,919","92","1","3","12","76","436","127","294","15","0"
"Lynn Haven","18,861","59","1","3","2","53","560","64","483","13","0"
"Madeira Beach","4,325","36","1","3","2","30","188","36","146","6","0"
"Madison","2,865","39","0","2","7","30","196","54","140","2","2"
"Maitland","16,295","24","0","2","3","19","445","150","269","26","1"
"Manalapan","417","0","0","0","0","0","24","2","22","0","0"
"Mangonia Park","1,936","59","0","0","30","29","256","76","170","10","1"
"Marco Island","16,985","12","0","1","0","11","216","36","178","2","0"
"Margate","55,010","144","3","6","42","93","1,113","309","743","61","3"
"Marianna","6,125","59","0","3","15","41","182","55","127","0","4"
"Mascotte","5,246","23","0","4","2","17","160","62","91","7","0"
"Medley","869","11","1","0","0","10","219","22","171","26","0"
"Melbourne","77,133","658","6","48","133","471","3,374","648","2,607","119","15"
"Melbourne Beach","3,144","3","0","0","2","1","53","36","15","2","0"
"Melbourne Village","672","0","0","0","0","0","19","3","14","2","0"
"Mexico Beach","1,093","6","0","0","1","5","40","4","35","1","0"
"Miami","414,327","4,856","69","65","2,096","2,626","22,271","4,255","15,305","2,711","89"
