"Criminal Justice Information Services Division","Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home"
"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Forciblerape","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson1"
"Bushkill Township","8,546","19","1","0","0","18","74","18","52","4","0"
"Butler","13,916","82","0","0","35","47","602","111","481","10","2"
"Butler Township, Butler County","16,659","18","0","0","3","15","368","40","321","7","1"
"Butler Township, Luzerne County","9,568","48","0","6","1","41","112","29","75","8","2"
"Butler Township, Schuykill County","6,105","2","0","0","0","2","28","16","12","0","0"
"Caernarvon Township, Berks County","3,650","9","0","1","0","8","85","5","77","3","0"
"California","6,411","12","0","0","3","9","73","11","61","1","0"
"Caln Township","12,496","48","0","1","9","38","263","30","223","10","0"
"Cambria Township","6,168","10","0","0","3","7","124","22","98","4","0"
"Cambridge Springs","2,651","4","0","0","0","4","7","1","6","0","1"
"Camp Hill","7,454","12","0","2","4","6","122","8","113","1","0"
"Canonsburg","8,776","5","1","0","2","2","150","18","132","0","0"
"Canton","1,681","2","0","0","0","2","21","10","10","1","0"
"Carbondale","9,155","14","0","0","2","12","135","39","87","9","2"
"Carlisle","18,708","54","0","10","27","17","557","72","482","3","4"
"Carmichaels","516","0","0","0","0","0","1","1","0","0","0"
"Carnegie","7,929","12","0","0","3","9","225","30","185","10","0"
"Carrolltown","955","0","0","0","0","0","11","0","10","1","0"
"Carroll Township, Washington County","5,481","17","0","0","0","17","76","21","51","4","0"
"Carroll Township, York County","6,070","6","0","1","0","5","109","15","90","4","2"
"Carroll Valley","3,604","2","0","1","0","1","67","2","65","0","0"
"Cass Township","1,795","3","0","0","1","2","13","6","3","4","1"
"Castle Shannon","8,069","21","0","0","2","19","81","18","60","3","1"
"Catasauqua","6,628","10","0","0","3","7","153","17","132","4","0"
"Catawissa","1,532","2","0","1","0","1","44","5","38","1","0"
"Cecil Township","10,821","2","0","0","0","2","16","3","13","0","0"
"Center Township","11,649","18","1","4","2","11","454","51","401","2","0"
"Centerville","3,216","0","0","0","0","0","20","5","14","1","0"
"Central Berks Regional","9,487","10","0","1","4","5","184","32","132","20","1"
"Chalfont","4,221","0","0","0","0","0","37","2","34","1","0"
"Charleroi","5,692","30","0","4","11","15","187","29","150","8","1"
"Chartiers Township","7,507","4","0","1","0","3","65","12","52","1","0"
"Cheltenham Township","36,084","98","1","7","50","40","1,015","239","729","47","3"
"Cherry Tree","410","0","0","0","0","0","0","0","0","0","0"
"Chester","37,308","911","24","31","206","650","1,252","466","638","148","33"
"Chester Township","4,495","48","0","2","5","41","136","51","74","11","3"
"Chippewa Township","9,777","8","0","0","2","6","205","16","185","4","0"
"Christiana","1,118","1","0","0","0","1","16","5","11","0","0"
"Churchill","3,216","26","0","0","1","25","22","8","14","0","0"
"Clarion","5,177","3","0","0","2","1","86","7","71","8","0"
"Claysville","673","0","0","0","0","0","5","0","5","0","0"
"Clay Township","6,114","2","0","0","1","1","43","6","35","2","0"
"Clearfield","6,088","39","0","4","3","32","268","42","223","3","1"
"Cleona","2,150","1","0","0","0","1","21","10","11","0","0"
"Clifford Township","2,449","0","0","0","0","0","3","1","0","2","0"
"Coaldale","2,104","0","0","0","0","0","7","3","4","0","0"
"Coal Township","10,195","38","0","1","0","37","200","8","183","9","2"
"Coatesville","11,920","140","3","7","60","70","487","111","340","36","0"
"Cochranton","1,059","0","0","0","0","0","10","0","10","0","0"
"Colebrookdale District","6,483","3","0","1","0","2","107","2","101","4","0"
"Collegeville","5,117","4","0","0","3","1","74","6","67","1","0"
"Collier Township","6,588","7","0","1","2","4","156","17","136","3","0"
"Collingdale","8,436","97","0","4","11","82","208","33","157","18","1"
"Colonial Regional","20,560","10","0","4","5","1","483","65","409","9","2"
"Columbia","10,116","22","1","3","10","8","217","54","155","8","1"
"Conemaugh Township, Cambria County","2,441","3","0","0","0","3","10","2","8","0","0"
"Conemaugh Township, Somerset County","7,171","2","0","0","0","2","43","16","27","0","0"
"Conewago Township, Adams County","6,215","3","0","0","1","2","113","3","110","0","0"
"Conewango Township","3,542","9","0","4","1","4","146","18","128","0","1"
"Conneaut Lake Regional","3,501","1","0","0","0","1","45","17","28","0","0"
"Connellsville","8,313","21","0","3","9","9","309","54","243","12","0"
"Conoy Township","3,430","0","0","0","0","0","50","18","31","1","2"
"Conshohocken","8,593","22","0","3","2","17","205","23","177","5","0"
"Conway","2,112","6","0","0","0","6","11","2","9","0","0"
"Conyngham","1,840","0","0","0","0","0","0","0","0","0","0"
"Coopersburg","2,586","4","0","1","0","3","18","1","17","0","0"
"Coplay","3,401","1","0","0","0","1","75","12","62","1","0"
"Coraopolis","5,575","50","0","0","2","48","107","15","87","5","1"
"Cornwall","3,562","0","0","0","0","0","1","0","1","0","0"
"Corry","6,315","38","0","5","1","32","136","19","111","6","2"
"Coudersport","2,357","0","0","0","0","0","9","4","5","0","0"
"Covington Township","2,215","2","0","0","0","2","36","4","28","4","0"
"Cranberry Township","28,107","3","1","0","1","1","316","51","265","0","0"
"Crescent Township","2,778","12","0","0","1","11","44","13","29","2","1"
"Cresson","1,463","1","0","0","0","1","47","1","46","0","0"
"Cresson Township","4,533","10","0","0","0","10","17","0","17","0","1"
"Croyle Township","2,220","0","0","0","0","0","10","0","10","0","0"
"Cumberland Township, Adams County","6,469","2","0","1","0","1","43","25","18","0","0"
"Cumberland Township, Greene County","6,351","8","0","2","1","5","151","32","116","3","1"
"Cumru Township","15,163","11","1","1","6","3","321","35","274","12","0"
"Curwensville","2,431","2","0","0","0","2","39","12","27","0","1"
"Dale","1,342","0","0","0","0","0","5","2","3","0","3"
"Dallas","2,477","2","0","0","0","2","23","3","20","0","0"
"Dallas Township","9,187","7","1","3","0","3","61","14","47","0","1"
"Dalton","1,231","2","0","0","0","2","21","4","17","0","0"
"Danville","4,410","24","0","1","0","23","92","10","80","2","2"
"Darby","9,980","413","0","12","66","335","454","155","247","52","0"
"Darby Township","9,624","32","1","3","15","13","280","55","212","13","0"
"Darlington Township","2,023","0","0","0","0","0","0","0","0","0","0"
"Decatur Township","5,884","7","0","1","0","6","60","15","41","4","0"
"Delaware Water Gap","785","0","0","0","0","0","0","0","0","0","0"
"Delmont","2,449","1","0","0","0","1","43","12","31","0","0"
"Denver","3,714","5","0","1","0","4","63","14","48","1","1"
"Derry","2,763","9","0","0","0","9","12","0","12","0","0"
"Derry Township, Dauphin County","22,348","41","0","7","3","31","593","58","510","25","2"
"Dickson City","5,876","14","0","1","2","11","301","25","272","4","1"
"Donegal Township","2,923","2","0","0","0","2","6","2","4","0","0"
"Donora","5,242","14","0","3","0","11","72","18","50","4","4"
"Dormont","8,411","25","0","0","6","19","84","9","69","6","1"
"Douglass Township, Berks County","3,603","5","0","0","2","3","32","12","18","2","0"
"Douglass Township, Montgomery County","10,372","13","0","3","0","10","136","4","128","4","1"
"Downingtown","8,093","27","1","0","8","18","244","23","209","12","0"
"Doylestown","8,169","9","0","0","2","7","175","24","147","4","0"
"Doylestown Township","18,844","16","0","3","4","9","295","42","247","6","0"
"Dublin Borough","2,162","2","0","0","1","1","11","6","5","0","0"
"Du Bois","7,558","21","0","6","0","15","330","39","279","12","1"
"Duboistown","1,187","0","0","0","0","0","1","0","1","0","0"
"Duncannon","1,498","0","0","0","0","0","17","1","15","1","0"
"Duncansville","1,235","0","0","0","0","0","30","2","28","0","0"
"Dunmore","13,943","18","0","1","5","12","170","33","129","8","1"
"Dunnstable Township","983","0","0","0","0","0","4","0","4","0","0"
"Duquesne","6,678","94","3","7","30","54","314","124","164","26","21"
"Duryea","4,332","8","0","2","2","4","93","24","60","9","0"
"Earl Township","7,293","2","0","2","0","0","38","7","30","1","0"
"East Bangor","1,222","0","0","0","0","0","7","0","7","0","0"
"East Berlin","1,452","0","0","0","0","0","0","0","0","0","0"
"East Bethlehem Township","2,351","3","0","0","0","3","48","9","36","3","0"
"East Brandywine Township","7,133","12","1","0","2","9","61","8","53","0","0"
"East Buffalo Township","5,945","3","0","0","0","3","19","3","14","2","0"
"East Cocalico Township","10,642","1","0","0","0","1","119","18","91","10","1"
"East Conemaugh","1,150","5","0","0","0","5","5","2","3","0","0"
"East Coventry Township","7,177","4","0","0","0","4","34","5","29","0","0"
"East Deer Township","1,321","1","0","0","0","1","34","6","26","2","0"
"Eastern Adams Regional","10,116","7","1","3","2","1","99","6","85","8","0"
"Eastern Pike Regional","5,602","15","0","0","1","14","242","22","219","1","0"
"East Fallowfield Township","8,075","0","0","0","0","0","61","15","41","5","0"
"East Franklin Township","3,910","6","0","1","0","5","29","1","28","0","0"
"East Hempfield Township","24,035","33","0","6","17","10","435","61","368","6","3"
"East Lampeter Township","15,465","27","0","5","9","13","660","39","604","17","1"
"East Marlborough Township","8,316","0","0","0","0","0","16","1","13","2","1"
"East McKeesport","2,918","7","0","0","0","7","42","18","22","2","0"
"East Norriton Township","13,787","15","0","1","9","5","270","10","242","18","0"
"East Norwegian Township","832","0","0","0","0","0","0","0","0","0","0"
"Easton","26,506","127","3","9","63","52","793","108","641","44","6"
"East Pennsboro Township","20,147","13","0","4","6","3","324","33","286","5","0"
"East Penn Township","2,786","7","0","1","0","6","23","4","17","2","0"
"East Petersburg","4,374","1","0","0","0","1","34","7","26","1","2"
"East Pikeland Township","7,113","8","0","2","3","3","63","5","57","1","0"
"East Pittsburgh","1,937","50","0","2","7","41","95","25","68","2","0"
"East Taylor Township","2,514","3","0","0","1","2","19","8","10","1","0"
"Easttown Township","10,706","4","0","1","3","0","142","50","89","3","1"
"East Union Township","1,431","0","0","0","0","0","0","0","0","0","0"
"East Vincent Township","6,688","2","0","0","2","0","68","16","51","1","0"
"East Washington","1,859","8","0","1","0","7","55","11","44","0","0"
"East Whiteland Township","10,899","6","0","1","1","4","153","16","135","2","0"
"Ebensburg","2,898","16","0","0","0","16","68","16","50","2","0"
"Economy","9,150","1","0","0","1","0","42","4","36","2","0"
"Eddystone","2,360","17","0","0","2","15","226","9","212","5","1"
"Edgewood","3,116","8","0","0","5","3","199","15","181","3","0"
"Edgeworth","1,586","0","0","0","0","0","0","0","0","0","0"
"Edinboro","6,567","10","0","3","1","6","144","19","125","0","0"
"Edwardsville","4,651","37","0","2","2","33","141","10","125","6","1"
"Elizabethtown","12,186","13","0","2","3","8","167","25","137","5","0"
"Elizabeth Township","12,902","7","0","0","3","4","150","26","120","4","0"
"Ellwood City","7,887","24","0","2","8","14","281","75","203","3","3"
"Emelton Borough","726","0","0","0","0","0","7","1","6","0","0"
"Emmaus","11,485","13","1","1","8","3","216","39","174","3","1"
"Emsworth","2,381","8","0","0","0","8","31","4","27","0","0"
"Ephrata","13,247","31","1","2","10","18","249","43","201","5","2"
"Ephrata Township","9,982","12","1","3","1","7","172","17","151","4","1"
"Erie","104,077","491","12","78","173","228","3,490","1,106","2,245","139","46"
"Etna","3,612","15","0","0","2","13","130","17","107","6","0"
"Everett","1,838","6","0","0","0","6","19","8","11","0","0"
"Everson","774","0","0","0","0","0","0","0","0","0","0"
"Exeter","5,965","20","0","1","0","19","114","19","89","6","0"
"Exeter Township, Berks County","25,876","19","0","5","7","7","358","37","307","14","1"
"Exeter Township, Luzerne County","2,546","4","0","0","0","4","28","9","17","2","0"
"Fairfield","520","0","0","0","0","0","4","1","3","0","0"
"Fairview Township, Luzerne County","4,328","4","0","0","2","2","44","13","31","0","0"
"Fairview Township, York County","17,419","30","0","5","10","15","324","48","269","7","1"
"Fallowfield Township","4,200","1","0","0","0","1","25","5","18","2","0"
"Falls Township, Bucks County","33,850","52","0","3","33","16","775","108","627","40","3"
"Fawn Township","2,337","4","0","0","0","4","45","8","34","3","0"
"Fayette City","657","1","0","0","0","1","2","0","2","0","0"
"Ferguson Township","16,966","13","0","2","3","8","185","24","156","5","0"
"Ferndale","1,630","3","0","0","0","3","1","0","1","0","0"
"Findlay Township","5,090","6","0","0","0","6","44","12","31","1","0"
"Fleetwood","4,038","2","0","0","1","1","84","7","69","8","0"
"Folcroft","6,901","23","0","0","5","18","112","31","62","19","1"
"Ford City","3,108","2","0","0","1","1","59","12","47","0","0"
"Forest City","1,702","5","0","0","0","5","27","9","17","1","0"
"Forest Hills","6,459","3","0","1","1","1","82","16","64","2","0"
"Forks Township","15,331","4","0","2","0","2","139","11","126","2","0"
"Forty Fort","4,231","2","0","0","1","1","102","20","81","1","0"
"Forward Township","3,495","3","0","0","0","3","28","8","20","0","0"
"Foster Township","4,187","1","0","0","0","1","36","1","35","0","0"
"Fountain Hill","4,622","16","0","2","5","9","118","21","93","4","1"
"Fox Chapel","5,430","0","0","0","0","0","12","3","9","0","0"
"Frackville","4,106","2","0","0","0","2","5","3","0","2","0"
"Franconia Township","13,128","11","0","2","0","9","142","9","132","1","2"
"Franklin","6,590","13","0","1","3","9","167","32","132","3","3"
"Franklin Park","12,529","10","0","0","0","10","78","15","61","2","1"
"Frazer Township","1,195","1","0","0","0","1","75","4","69","2","0"
"Freedom","1,577","11","0","2","1","8","37","7","26","4","0"
"Freedom Township","3,334","4","0","1","0","3","42","8","33","1","0"
"Freemansburg","2,091","2","0","0","1","1","53","10","42","1","0"
"Freeport","1,771","3","0","0","0","3","12","4","8","0","0"
"Gaines Township","572","0","0","0","0","0","0","0","0","0","0"
"Galeton","1,200","1","0","0","0","1","6","1","5","0","0"
"Gallitzin Township","1,305","0","0","0","0","0","2","1","1","0","0"
"Gettysburg","8,172","33","0","13","7","13","182","26","155","1","3"
