"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Rape(reviseddefinition)1","Rape(legacydefinition)2","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson"
"Fairfield Township, Essex County","7,531","7","0","","0","1","6","226","26","186","14","0"
"Fair Haven","6,070","3","0","","0","1","2","22","4","17","1","0"
"Fair Lawn","33,174","25","0","","1","11","13","331","50","278","3","1"
"Fairview","14,352","26","1","","1","17","7","185","45","133","7","1"
"Fanwood","7,567","0","0","","0","0","0","58","10","48","0","0"
"Far Hills","926","0","0","","0","0","0","6","0","6","0","0"
"Flemington","4,531","5","0","","0","1","4","72","13","59","0","0"
"Florence Township","12,409","11","0","","0","4","7","52","21","28","3","0"
"Florham Park","11,863","2","0","","1","0","1","102","10","88","4","1"
"Fort Lee","36,226","17","0","","0","3","14","256","50","196","10","1"
"Franklin","4,907","4","0","","0","2","2","117","12","105","0","0"
"Franklin Lakes","10,816","6","0","","0","2","4","67","8","55","4","0"
"Franklin Township, Gloucester County","16,746","5","0","","0","3","2","276","80","192","4","0"
"Franklin Township, Hunterdon County","3,140","0","0","","0","0","0","34","3","31","0","0"
"Franklin Township, Somerset County","65,999","42","1","","2","23","16","940","283","616","41","2"
"Freehold","12,042","28","1","","4","11","12","139","28","107","4","0"
"Frenchtown","1,351","0","0","","0","0","0","16","2","14","0","0"
"Galloway Township","37,716","53","0","","10","12","31","669","196","442","31","3"
"Garfield","31,417","65","0","","5","28","32","656","108","502","46","1"
"Garwood","4,318","5","0","","0","0","5","74","3","67","4","0"
"Glassboro","19,082","27","0","","1","18","8","353","79","267","7","0"
"Glen Ridge","7,658","3","0","","0","3","0","165","40","124","1","0"
"Glen Rock","11,912","3","0","","0","3","0","67","9","58","0","0"
"Gloucester Township","64,322","149","4","","10","27","108","1,267","309","931","27","8"
"Green Brook Township","7,265","5","0","","2","2","1","90","20","66","4","0"
"Greenwich Township, Gloucester County","4,873","1","0","","0","0","1","110","29","80","1","0"
"Greenwich Township, Warren County","5,583","3","0","","1","0","2","130","18","111","1","0"
"Guttenberg","11,508","27","0","","1","7","19","101","27","67","7","0"
"Hackensack","44,451","90","1","","5","16","68","642","37","567","38","4"
"Hackettstown","9,576","6","0","","0","0","6","145","20","120","5","0"
"Haddonfield","11,506","4","0","","1","1","2","154","20","131","3","0"
"Haddon Heights","7,430","8","0","","0","1","7","93","15","78","0","0"
"Haddon Township","14,632","17","0","","0","7","10","335","59","259","17","0"
"Haledon","8,413","11","0","","0","6","5","166","35","113","18","0"
"Hamburg","3,173","0","0","","0","0","0","23","5","17","1","0"
"Hamilton Township, Atlantic County","26,802","47","2","","3","25","17","1,027","143","858","26","4"
"Hammonton","14,800","17","0","","0","3","14","155","29","123","3","0"
"Hanover Township","14,352","12","0","","0","3","9","181","12","166","3","0"
"Harding Township","3,884","1","0","","0","0","1","20","2","17","1","0"
"Hardyston Township","8,056","6","0","","1","1","4","77","10","63","4","0"
"Harrington Park","4,778","0","0","","0","0","0","5","0","5","0","0"
"Harrison","15,686","39","0","","0","16","23","271","42","175","54","0"
"Harrison Township","12,812","7","0","","0","6","1","146","38","104","4","0"
"Harvey Cedars","344","0","0","","0","0","0","13","0","13","0","0"
"Hasbrouck Heights","12,083","6","2","","0","2","2","57","3","53","1","0"
"Haworth","3,447","0","0","","0","0","0","15","4","11","0","0"
"Hawthorne","19,062","3","0","","0","2","1","184","25","150","9","0"
"Hazlet Township","20,192","4","1","","0","2","1","249","26","221","2","1"
"Helmetta","2,217","1","0","","1","0","0","31","10","20","1","0"
"High Bridge","3,593","1","0","","0","1","0","35","10","25","0","0"
"Highland Park","14,478","7","0","","0","5","2","161","32","124","5","0"
"Highlands","4,949","7","0","","0","1","6","64","23","39","2","0"
"Hightstown","5,592","7","0","","0","3","4","64","13","51","0","0"
"Hillsborough Township","39,522","13","2","","3","1","7","206","37","162","7","2"
"Hillsdale","10,487","2","0","","0","0","2","41","7","32","2","0"
"Hillside Township","21,908","96","0","","5","48","43","555","123","321","111","1"
"Hi-Nella","865","4","0","","0","0","4","9","6","2","1","0"
"Hoboken","53,303","149","0","","2","55","92","1,033","127","861","45","0"
"Ho-Ho-Kus","4,142","1","1","","0","0","0","22","7","13","2","0"
"Holland Township","5,211","2","0","","1","0","1","28","8","20","0","0"
"Holmdel Township","16,699","6","0","","0","1","5","190","18","169","3","0"
"Hopatcong","14,724","6","0","","1","1","4","94","17","75","2","0"
"Hopewell","1,922","2","0","","1","0","1","14","1","12","1","0"
"Hopewell Township","18,416","9","0","","1","1","7","97","27","67","3","1"
"Howell Township","51,884","37","0","","2","10","25","573","112","449","12","0"
"Independence Township","5,551","6","0","","0","1","5","54","8","42","4","0"
"Interlaken","820","0","0","","0","0","0","12","7","5","0","0"
