"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Rape(reviseddefinition)1","Rape(legacydefinition)2","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson"
"Morenci","2,201","2","0","0","","0","2","18","5","13","0","0"
"Morrice","890","1","0","0","","0","1","15","1","14","0","0"
"Mount Morris","2,993","14","0","3","","2","9","97","37","57","3","1"
"Mount Morris Township","20,820","117","1","18","","35","63","800","312","459","29","5"
"Mount Pleasant","26,227","63","0","18","","4","41","491","68","410","13","30"
"Mundy Township","14,723","20","0","2","","5","13","310","67","236","7","0"
"Munising","2,324","0","0","0","","0","0","27","3","24","0","0"
"Muskegon","36,964","305","2","24","","69","210","1,764","443","1,218","103","8"
"Muskegon Heights","10,826","194","8","17","","33","136","814","259","503","52","15"
"Muskegon Township","17,767","60","0","16","","10","34","788","102","663","23","2"
"Napoleon Township","6,782","9","0","2","","0","7","51","9","42","0","0"
"Nashville","1,625","4","0","1","","0","3","21","4","16","1","0"
"Negaunee","4,626","4","0","0","","0","4","78","17","56","5","0"
"Newaygo","1,965","10","0","1","","1","8","55","8","41","6","4"
"New Baltimore","12,244","7","0","2","","0","5","101","17","81","3","0"
"New Era","450","0","0","0","","0","0","0","0","0","0","0"
"Niles","11,389","64","0","14","","13","37","332","57","258","17","0"
"North Branch","1,033","0","0","0","","0","0","12","0","11","1","0"
"Northfield Township","8,490","23","0","3","","1","19","89","10","66","13","1"
"North Muskegon","3,786","2","0","0","","1","1","107","3","103","1","0"
"Northville","6,015","3","0","0","","0","3","66","13","49","4","0"
"Northville Township","28,801","23","0","6","","2","15","355","38","295","22","0"
"Norton Shores","24,005","42","0","10","","7","25","691","82","584","25","2"
"Novi","58,654","47","1","13","","7","26","853","53","760","40","1"
"Oak Park","29,971","100","2","12","","33","53","554","129","335","90","2"
"Ontwa Township-Edwardsburg","6,519","35","0","14","","1","20","106","23","79","4","1"
"Orchard Lake","2,426","2","0","1","","1","0","24","1","23","0","0"
"Oscoda Township","6,858","20","0","6","","1","13","174","64","106","4","0"
"Otisville","831","1","0","1","","0","0","11","3","8","0","0"
"Otsego","3,967","4","0","3","","1","0","49","13","36","0","0"
"Ovid","1,615","2","0","0","","0","2","19","2","16","1","0"
"Owosso","14,685","84","0","23","","0","61","381","70","291","20","2"
"Oxford","3,526","0","0","0","","0","0","20","2","17","1","0"
"Paw Paw","3,474","12","0","7","","1","4","124","16","106","2","0"
"Petoskey","5,779","6","0","2","","0","4","53","8","43","2","0"
"Pinckney","2,483","2","0","1","","0","1","37","8","29","0","1"
"Pinconning","1,285","1","0","0","","0","1","16","4","12","0","0"
"Pittsfield Township","36,722","83","0","20","","12","51","726","65","615","46","2"
"Plainwell","3,802","7","0","2","","0","5","66","11","54","1","0"
"Pleasant Ridge","2,580","5","0","0","","2","3","26","6","20","0","0"
"Plymouth","8,912","9","0","2","","1","6","70","10","56","4","0"
"Plymouth Township","26,973","20","1","2","","2","15","295","45","232","18","1"
"Portage","47,819","77","0","17","","18","42","1,497","187","1,268","42","1"
"Port Austin","644","0","0","0","","0","0","19","2","17","0","0"
"Port Huron","29,145","222","1","18","","40","163","843","210","594","39","10"
"Prairieville Township","3,403","1","0","0","","0","1","22","20","2","0","0"
"Quincy","1,637","11","0","4","","0","7","22","7","13","2","0"
"Raisin Township","7,547","2","0","0","","0","2","12","0","12","0","0"
"Reading","1,063","0","0","0","","0","0","21","0","21","0","0"
"Reed City","2,403","1","0","0","","0","1","37","5","30","2","0"
"Richfield Township, Genesee County","8,429","11","0","7","","0","4","76","33","39","4","1"
"Richfield Township, Roscommon County","3,652","5","0","3","","0","2","61","13","43","5","1"
"Richland","773","0","0","0","","0","0","6","0","6","0","0"
"Richland Township, Saginaw County","4,040","5","0","1","","0","4","22","5","16","1","0"
"Richmond","5,828","18","0","2","","0","16","74","8","64","2","2"
"River Rouge","7,625","58","0","5","","8","45","187","53","105","29","9"
"Riverview","12,205","12","0","3","","1","8","181","35","111","35","2"
"Rochester","13,057","12","0","3","","0","9","107","21","78","8","0"
"Rockford","6,016","7","0","6","","0","1","74","5","67","2","1"
"Rockwood","3,212","2","0","0","","0","2","36","1","30","5","0"
"Rogers City","2,751","4","0","1","","0","3","46","1","45","0","0"
"Romeo","3,580","13","0","2","","0","11","45","5","40","0","0"
"Romulus","23,415","132","2","14","","21","95","546","114","359","73","4"
"Roosevelt Park","3,830","8","0","1","","4","3","275","29","241","5","0"
"Roseville","47,618","213","0","39","","51","123","1,862","251","1,470","141","3"
"Rothbury","422","2","0","0","","0","2","18","0","18","0","0"
"Royal Oak","59,377","75","1","10","","8","56","594","76","475","43","2"
"Saginaw","50,030","845","11","70","","124","640","1,209","555","593","61","14"
"Saginaw Township","40,228","71","0","7","","12","52","868","99","748","21","7"
"Saline","9,146","13","0","6","","0","7","97","13","81","3","2"
"Sand Lake","519","1","0","1","","0","0","21","3","17","1","0"
"Sandusky","2,609","7","0","2","","0","5","88","7","81","0","0"
"Saugatuck-Douglas","2,182","3","0","2","","0","1","56","9","46","1","0"
"Sault Ste. Marie","14,084","47","0","18","","2","27","316","35","274","7","0"
"Schoolcraft","1,558","1","0","0","","0","1","21","3","16","2","0"
"Scottville","1,214","4","0","2","","1","1","51","3","48","0","0"
"Sebewaing","1,703","0","0","0","","0","0","19","5","12","2","0"
"Shelby Township","76,556","95","0","38","","10","47","760","102","607","51","2"
"Shepherd","1,525","4","0","2","","0","2","35","7","28","0","0"
"Somerset Township","4,585","1","0","0","","0","1","16","0","16","0","0"
"Southfield","73,321","230","3","33","","85","109","2,150","321","1,471","358","3"
"Southgate","29,365","90","1","11","","18","60","907","99","728","80","1"
"South Haven","4,375","28","0","11","","2","15","275","32","231","12","0"
"South Lyon","11,698","11","0","1","","0","10","64","4","56","4","1"
"Sparta","4,257","4","0","3","","0","1","84","9","74","1","0"
"Spring Arbor Township","8,267","3","0","1","","0","2","28","9","18","1","0"
"Stanton","1,411","0","0","0","","0","0","19","4","15","0","0"
"St. Charles","1,990","3","0","0","","0","3","56","19","36","1","3"
