"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Rape(reviseddefinition)1","Rape(legacydefinition)2","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson3"
"Ludlow","4,552","10","0","4","","4","2","142","44","88","10","0"
"Lynch","725","0","0","0","","0","0","0","0","0","0","0"
"Lynnview","939","0","0","0","","0","0","0","0","0","0","0"
"Madisonville","19,760","19","1","3","","2","13","393","83","288","22","2"
"Manchester","1,413","5","0","0","","0","5","22","4","16","2","0"
"Marion","3,015","4","0","3","","0","1","54","12","40","2","2"
"Martin","615","1","0","0","","1","0","6","1","4","1","0"
"Mayfield","10,130","13","0","1","","4","8","285","61","216","8","0"
"Maysville","8,895","18","0","8","","3","7","335","68","265","2","1"
"McKee","801","0","0","0","","0","0","0","0","0","0","0"
"Meadow Vale","755","0","0","0","","0","0","2","0","2","0","0"
"Middlesboro","9,867","15","1","2","","5","7","656","53","591","12","2"
"Monticello","6,155","11","0","0","","4","7","125","49","71","5","0"
"Morehead","6,935","4","1","1","","1","1","155","18","127","10","0"
"Morganfield","3,555","3","0","0","","2","1","40","10","29","1","0"
"Morgantown","2,462","6","0","3","","0","3","62","19","39","4","0"
"Mortons Gap","853","0","0","0","","0","0","4","0","4","0","0"
"Mount Sterling","7,165","10","0","2","","3","5","356","46","302","8","0"
"Mount Vernon","2,456","3","0","0","","2","1","22","11","11","0","0"
"Mount Washington","12,170","5","0","1","","1","3","116","33","70","13","1"
"Muldraugh","1,070","2","0","0","","0","2","16","3","9","4","0"
"Munfordville","1,660","1","0","1","","0","0","25","11","13","1","0"
"Murray","18,188","25","0","7","","8","10","556","105","424","27","2"
"New Haven","882","0","0","0","","0","0","0","0","0","0","0"
"Newport","15,357","76","1","12","","34","29","941","166","726","49","4"
"Nicholasville","28,889","52","0","8","","29","15","1,071","212","817","42","3"
"Northfield","1,050","0","0","0","","0","0","14","0","14","0","0"
"Nortonville","1,201","0","0","0","","0","0","0","0","0","0","0"
"Oak Grove","7,461","18","2","3","","7","6","282","96","179","7","1"
"Olive Hill","1,612","0","0","0","","0","0","20","6","12","2","0"
"Owensboro","58,659","122","0","28","","41","53","2,252","385","1,763","104","7"
"Owenton","1,524","0","0","0","","0","0","12","0","10","2","0"
"Owingsville","1,573","1","0","0","","0","1","7","4","3","0","0"
"Paducah","25,017","80","2","20","","37","21","1,358","147","1,165","46","4"
"Paintsville","4,294","4","0","0","","2","2","72","7","62","3","0"
"Paris","9,754","16","0","2","","5","9","241","52","179","10","2"
"Park Hills","3,004","1","0","0","","0","1","55","14","36","5","0"
"Pembroke","881","2","0","2","","0","0","8","2","4","2","0"
"Perryville","760","0","0","0","","0","0","1","0","1","0","0"
"Pewee Valley","1,512","0","0","0","","0","0","3","1","2","0","0"
"Pikeville","6,908","9","0","6","","3","0","574","50","516","8","2"
"Pineville","1,789","4","0","1","","0","3","33","7","24","2","0"
"Pioneer Village","2,792","1","0","0","","0","1","17","3","14","0","0"
"Powderly","730","1","0","0","","0","1","9","1","8","0","0"
"Prestonsburg","3,298","8","0","2","","1","5","78","20","54","4","0"
"Princeton","6,232","18","0","6","","9","3","160","45","101","14","1"
"Prospect","4,877","1","0","0","","1","0","23","3","20","0","0"
"Providence","3,134","3","0","1","","0","2","29","12","16","1","0"
"Raceland","2,376","1","0","0","","0","1","16","4","11","1","0"
"Radcliff","23,242","51","0","20","","16","15","536","139","385","12","3"
"Ravenna","594","0","0","0","","0","0","7","2","5","0","0"
"Richmond","32,828","101","3","15","","53","30","1,264","241","982","41","6"
"Russell","3,292","3","0","0","","1","2","50","7","42","1","0"
"Russell Springs","2,509","3","0","1","","0","2","61","16","40","5","0"
"Russellville","7,053","15","1","2","","3","9","203","41","155","7","1"
"Sadieville","322","0","0","0","","0","0","1","1","0","0","0"
"Salyersville","1,829","1","0","0","","1","0","9","6","2","1","1"
"Science Hill","706","0","0","0","","0","0","3","1","2","0","0"
"Scottsville","4,360","3","0","2","","0","1","96","22","72","2","0"
"Shelbyville","14,925","25","0","1","","11","13","280","60","201","19","1"
"Shepherdsville","11,788","23","0","3","","9","11","316","55","228","33","1"
"Shively","15,669","66","1","1","","48","16","632","153","405","74","1"
"Silver Grove","1,104","0","0","0","","0","0","29","8","20","1","0"
"Simpsonville","2,645","6","0","0","","0","6","42","4","38","0","0"
"Smiths Grove","717","0","0","0","","0","0","4","0","4","0","0"
"Somerset","11,503","32","1","5","","12","14","649","70","555","24","3"
"Southgate","3,819","4","0","0","","2","2","29","8","18","3","0"
"South Shore","1,109","0","0","0","","0","0","2","0","0","2","0"
"Springfield","2,630","3","0","0","","1","2","17","10","6","1","0"
"Stamping Ground","684","0","0","0","","0","0","4","0","4","0","0"
"Stanford","3,654","0","0","0","","0","0","8","4","4","0","0"
"Stanton","2,716","3","0","0","","0","3","44","9","30","5","0"
"St. Matthews","17,945","34","0","0","","26","8","687","80","579","28","2"
"Strathmoor Village","664","0","0","0","","0","0","1","0","1","0","0"
"Sturgis","1,900","3","0","0","","2","1","11","2","8","1","0"
"Taylor Mill","6,746","6","0","0","","2","4","62","7","51","4","1"
"Taylorsville","797","2","0","0","","0","2","22","1","20","1","0"
"Tompkinsville","2,276","0","0","0","","0","0","0","0","0","0","0"
"Trenton","388","0","0","0","","0","0","2","0","2","0","0"
"Uniontown","959","0","0","0","","0","0","16","5","10","1","0"
"Vanceburg","1,459","0","0","0","","0","0","6","2","4","0","0"
"Versailles","8,973","14","1","2","","3","8","433","110","297","26","0"
"Villa Hills","7,440","1","0","1","","0","0","58","17","40","1","0"
"Vine Grove","5,479","5","0","2","","0","3","74","20","47","7","0"
"Warsaw","1,668","0","0","0","","0","0","4","1","2","1","0"
"Wayland","410","1","0","0","","0","1","1","0","1","0","0"
"West Buechel","1,270","7","0","0","","7","0","381","10","363","8","0"
