"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Rape(reviseddefinition)1","Rape(legacydefinition)2","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson3"
"Sparta","9,673","27","0","","11","2","14","183","23","157","3","2"
"Spooner","2,609","15","0","","3","1","11","68","5","60","3","0"
"Spring Green","1,655","0","0","","0","0","0","13","4","8","1","0"
"Stanley4","3,627","2","0","","0","0","2","","1","","0","0"
"St. Croix Falls","2,086","0","0","","0","0","0","120","6","112","2","0"
"Stevens Point","26,665","39","0","7","","4","28","547","45","490","12","1"
"St. Francis","9,590","9","0","","0","2","7","211","24","175","12","0"
"Strum","1,145","0","0","","0","0","0","2","0","2","0",""
"Sturgeon Bay","9,084","3","0","","0","0","3","129","21","101","7","1"
"Sturtevant","6,995","1","0","","0","1","0","68","13","53","2","0"
"Summit","4,720","1","1","","0","0","0","40","3","34","3",""
"Sun Prairie","31,240","32","0","","6","5","21","739","59","672","8","1"
"Superior","26,777","76","1","","11","23","41","1,739","246","1,358","135","4"
"Theresa","1,217","1","0","","0","0","1","29","6","23","0","0"
"Thiensville","3,221","0","0","","0","0","0","24","2","21","1","0"
"Three Lakes","2,128","0","0","0","","0","0","18","10","8","0","0"
"Tomah","9,376","24","0","","0","3","21","250","28","219","3",""
"Tomahawk","3,298","8","0","","0","0","8","95","16","78","1","0"
"Town of East Troy","4,097","4","0","","1","2","1","16","5","7","4","0"
"Town of Madison","6,571","53","1","6","","14","32","173","32","129","12","1"
"Town of Menasha","19,019","19","2","","2","2","13","180","39","137","4","2"
"Trempealeau","1,631","0","0","","0","0","0","14","6","7","1","0"
"Twin Lakes","6,110","3","0","","0","1","2","73","15","57","1","0"
"Two Rivers","11,485","20","1","3","","2","14","208","22","177","9","1"
"Valders","943","1","0","","0","0","1","9","0","9","0","0"
"Verona","12,078","7","0","","1","1","5","175","10","163","2","0"
"Viroqua","4,407","2","0","","0","1","1","66","9","57","0","0"
"Walworth","2,824","2","0","","1","0","1","10","1","8","1","0"
"Washburn","2,094","5","0","","2","1","2","21","1","18","2",""
"Waterloo","3,361","4","0","4","","0","0","44","3","41","0","0"
"Watertown","23,950","56","2","","18","3","33","433","56","369","8","2"
"Waukesha","71,093","90","1","","17","15","57","1,204","208","957","39",""
"Waunakee","13,017","12","0","","0","0","12","92","20","71","1","0"
"Waupaca","6,020","25","0","","0","2","23","258","26","223","9","0"
"Waupun","11,326","15","0","5","","0","10","115","19","91","5","0"
"Wausau","39,359","85","2","","13","10","60","764","125","609","30","10"
"Wautoma","2,163","9","0","","0","0","9","85","4","81","0","0"
"Wauwatosa","47,306","76","0","","2","63","11","1,529","236","1,215","78","4"
"West Allis","60,764","218","0","","15","107","96","2,717","502","2,075","140","12"
"West Bend","31,647","39","0","","0","7","32","903","66","816","21","0"
"Westby","2,270","4","0","","0","0","4","67","8","58","1",""
"Westfield","1,234","0","0","0","","0","0","12","1","10","1","0"
"West Milwaukee","4,217","56","0","","1","26","29","558","36","447","75","0"
"West Salem","5,023","6","0","3","","1","2","73","10","63","0","0"
"Whitefish Bay","14,129","4","0","2","","1","1","178","33","140","5","0"
"Whitehall","1,590","1","0","","0","0","1","26","1","23","2","0"
"Whitewater","14,820","18","0","","2","4","12","275","43","227","5","2"
"Williams Bay","2,606","1","0","","1","0","0","21","1","19","1","0"
"Winneconne","2,438","4","0","","0","0","4","19","3","16","0","0"
"Wisconsin Dells","2,704","21","0","","6","1","14","209","17","185","7","0"
"Wisconsin Rapids","17,959","12","1","","7","1","3","755","105","636","14","3"
"Woodruff","1,984","1","0","0","","1","0","18","3","15","0","0"
