"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Rape(reviseddefinition)1","Rape(legacydefinition)2","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson3"
"Roanoke","6,029","11","0","0","","1","10","130","31","91","8",""
"Robertsdale","5,765","15","0","2","","1","12","264","44","211","9",""
"Rogersville","1,236","5","0","0","","0","5","32","8","21","3",""
"Russellville","9,798","36","0","6","","6","24","415","85","312","18",""
"Samson","1,922","14","0","1","","0","13","85","17","62","6",""
"Saraland","13,735","41","0","5","","5","31","530","57","434","39",""
"Sardis City","1,744","0","0","0","","0","0","43","5","30","8",""
"Satsuma","6,156","7","0","2","","1","4","66","15","44","7",""
"Scottsboro","14,846","64","0","5","","3","56","597","96","473","28",""
"Selma","19,705","270","3","18","","70","179","2,070","556","1,394","120","44"
"Sheffield","9,123","73","1","9","","8","55","473","151","285","37",""
"Skyline","845","1","0","0","","0","1","17","4","10","3",""
"Slocomb","1,979","4","0","0","","0","4","26","11","11","4",""
"Snead","847","3","0","0","","0","3","38","9","23","6",""
"Southside","8,564","11","0","6","","0","5","119","29","81","9",""
"Springville","4,230","9","0","1","","1","7","128","10","113","5",""
"Steele","1,081","1","0","0","","1","0","6","1","4","1",""
"Stevenson","2,013","7","0","1","","0","6","40","19","17","4",""
"Sulligent","1,882","5","0","2","","0","3","59","10","47","2",""
"Sumiton","2,454","5","0","2","","0","3","59","7","49","3",""
"Summerdale","965","8","1","2","","0","5","56","9","39","8",""
"Sylacauga","12,722","71","0","9","","17","45","734","169","538","27",""
"Sylvania","1,847","0","0","0","","0","0","21","1","18","2",""
"Talladega","15,799","124","1","10","","20","93","1,033","315","666","52",""
"Tallassee","4,833","34","0","4","","0","30","278","78","182","18",""
"Tarrant","6,259","38","2","2","","13","21","399","120","263","16","0"
"Taylor","2,414","1","0","0","","0","1","9","0","8","1",""
"Town Creek","1,075","5","0","0","","3","2","19","7","10","2",""
"Trinity","2,147","5","0","1","","0","4","41","11","28","2",""
"Troy","19,097","126","0","11","","22","93","942","217","679","46",""
"Tuscaloosa","96,412","466","9","53","","176","228","4,138","1,042","2,913","183",""
"Tuscumbia","8,574","45","1","5","","3","36","334","80","226","28",""
"Tuskegee","8,842","91","0","7","","11","73","473","175","263","35",""
"Valley","9,508","73","0","13","","13","47","555","119","400","36",""
"Vance","1,529","6","0","0","","2","4","38","14","22","2",""
"Vestavia Hills","34,009","22","0","0","","6","16","456","74","361","21",""
"Warrior","3,199","11","0","2","","1","8","64","21","35","8",""
"Weaver","3,118","21","0","8","","1","12","123","35","79","9",""
"Wedowee","808","4","0","0","","0","4","37","12","19","6",""
"Wetumpka","7,573","23","0","6","","2","15","339","35","296","8",""
"Winfield","4,605","22","0","3","","4","15","172","41","121","10",""
"Woodstock","1,478","4","1","0","","1","2","45","10","32","3",""
"York","2,422","10","0","0","","2","8","60","30","26","4",""
