"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Rape(reviseddefinition)1","Rape(legacydefinition)2","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson3"
"Springfield","58,891","442","7","50","","223","162","4,238","1,310","2,715","213","61"
"Springfield Township, Hamilton County","36,479","83","2","10","","43","28","856","231","580","45","1"
"Springfield Township, Mahoning County","6,497","5","0","0","","0","5","93","32","59","2","1"
"Springfield Township, Summit County","17,673","28","0","6","","6","16","889","117","754","18","6"
"St. Clair Township","7,793","0","0","0","","0","0","37","1","36","0","0"
"Stow","34,755","24","1","","13","5","5","663","79","575","9","5"
"Strasburg","2,656","0","0","0","","0","0","45","13","29","3","0"
"Streetsboro5","16,152","11","0","3","","3","5","","32","","7","1"
"Struthers5","10,451","31","3","5","","9","14","","53","222","","0"
"Sugarcreek Township","8,164","3","0","0","","3","0","192","12","177","3","1"
"Sylvania Township6","29,425","37","0","2","","13","22","","85","","27","0"
"Tallmadge","17,533","23","0","","10","3","10","389","76","301","12","5"
"Toledo7","281,150","3,068","24","231","","944","1,869","","4,691","","949",""
"Toronto","4,903","0","0","0","","0","0","5","0","5","0","0"
"Trotwood","24,193","95","0","22","","40","33","1,126","410","627","89","15"
"Troy","25,500","31","0","6","","11","14","886","126","740","20","1"
"Twinsburg","18,882","5","0","1","","2","2","132","20","108","4","1"
"Uhrichsville","5,400","8","0","1","","5","2","90","13","73","4","1"
"Union6","6,373","3","0","0","","1","2","","12","","0","5"
"Uniontown","3,322","4","0","1","","0","3","53","11","40","2","0"
"Union Township, Clermont County","47,542","38","0","11","","18","9","1,675","186","1,472","17","6"
"University Heights","13,363","29","0","","2","14","13","243","37","199","7","0"
"Upper Arlington","34,600","4","0","0","","4","0","402","87","312","3","2"
"Upper Sandusky","6,586","14","0","6","","1","7","132","20","110","2","0"
"Urbana","11,584","22","1","6","","4","11","398","75","316","7","5"
"Utica","2,156","4","0","0","","1","3","33","5","28","0","0"
"Valley View, Cuyahoga County","2,013","0","0","","0","0","0","61","6","50","5","0"
"Vandalia","15,151","19","0","5","","10","4","357","79","258","20",""
"Van Wert","10,763","30","0","7","","1","22","390","70","318","2","3"
"Vermilion","10,468","12","0","4","","0","8","158","32","121","5","2"
"Vienna Township","3,871","5","0","1","","0","4","31","3","26","2","1"
"Village of Leesburg","1,305","0","0","0","","0","0","19","5","13","1","0"
"Wadsworth","21,894","11","0","6","","0","5","427","40","379","8","4"
"Waite Hill","466","0","0","0","","0","0","3","2","1","0","0"
"Walbridge","3,068","3","0","1","","1","1","23","4","18","1","0"
"Walton Hills","2,247","0","0","","0","0","0","35","11","23","1",""
"Wapakoneta","9,822","7","0","1","","0","6","192","31","157","4","0"
"Warren","40,592","181","2","29","","87","63","1,646","551","1,003","92","12"
"Warren Township","5,395","23","0","4","","6","13","140","39","92","9","1"
"Washington Court House","14,072","30","0","9","","7","14","629","128","490","11","5"
"Waterville","5,506","3","0","1","","0","2","27","5","22","0","0"
"Waterville Township","1,664","1","0","0","","0","1","15","3","12","0","0"
"Wauseon","7,292","13","0","5","","2","6","168","11","152","5","0"
"Waverly","4,315","3","0","0","","0","3","113","6","104","3","0"
"Weathersfield","8,145","20","0","4","","5","11","171","48","111","12","0"
"Wellston","5,536","4","0","1","","2","1","213","43","153","17","0"
"Wells Township","2,729","1","0","1","","0","0","37","15","21","1","0"
"West Alexandria","1,350","0","0","0","","0","0","15","3","10","2","0"
"West Carrollton","13,028","27","0","","5","17","5","368","120","222","26","2"
"West Chester Township","59,629","55","0","14","","22","19","1,459","214","1,210","35","8"
"Westerville","37,836","28","0","9","","15","4","812","114","694","4","13"
"West Jefferson","4,239","1","0","0","","0","1","110","29","80","1","1"
"West Lafayette","2,295","7","0","0","","0","7","20","5","14","1","0"
"Westlake","32,416","12","0","","0","2","10","388","53","314","21","6"
"West Liberty","1,777","5","0","1","","1","3","17","5","10","2","0"
"West Union","3,188","5","0","2","","0","3","61","11","46","4","1"
"Whitehall","18,587","129","1","17","","76","35","1,185","301","805","79","3"
"Whitehouse","4,397","3","0","1","","0","2","22","10","12","0","0"
"Williamsburg","2,536","2","0","0","","0","2","53","12","40","1","0"
"Willoughby","22,501","22","0","2","","9","11","423","55","350","18","5"
"Wilmington","12,455","19","0","4","","4","11","632","50","576","6","0"
"Winchester","1,037","2","0","0","","1","1","10","1","6","3","0"
"Windham","2,186","6","0","1","","0","5","35","6","29","0","0"
"Wintersville","3,812","2","0","0","","1","1","66","17","48","1","0"
"Woodlawn","3,295","16","0","3","","8","5","121","20","99","2","0"
"Wooster","26,455","74","1","33","","17","23","907","181","705","21","5"
"Worthington","13,903","14","0","1","","13","0","253","35","212","6","1"
"Wyoming","8,411","7","0","0","","3","4","137","29","102","6","0"
"Xenia","25,932","56","0","25","","10","21","824","183","624","17","11"
"Yellow Springs","3,519","5","0","0","","0","5","44","3","25","16","0"
"Youngstown","64,669","424","14","34","","132","244","3,180","1,462","1,486","232","117"
"Zanesville","25,415","99","0","16","","22","61","1,483","215","1,237","31","3"
