"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Rape(reviseddefinition)1","Rape(legacydefinition)2","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson"
"Mendota Heights","11,196","7","0","3","","0","4","219","26","189","4","0"
"Milaca","2,892","2","0","1","","0","1","77","6","66","5","0"
"Minneapolis","404,461","4,093","31","389","","1,871","1,802","19,123","4,112","13,480","1,531","117"
"Minnetonka","51,769","24","0","3","","6","15","790","142","627","21","4"
"Minnetrista","9,235","2","0","1","","0","1","68","3","62","3","0"
"Montevideo","5,178","11","0","1","","1","9","156","21","125","10","0"
"Montgomery","2,942","3","0","0","","1","2","49","9","39","1","0"
"Moose Lake","2,795","17","0","3","","1","13","90","4","86","0","0"
"Morris","5,348","11","0","4","","2","5","105","15","84","6","0"
"Mounds View","12,645","23","0","5","","6","12","421","57","349","15","4"
"Mountain Lake","2,136","0","0","0","","0","0","15","1","13","1","0"
"New Brighton","22,276","10","1","2","","5","2","548","88","429","31","1"
"New Hope","20,895","15","1","2","","3","9","325","41","267","17","2"
"Newport","3,466","4","1","2","","0","1","75","9","61","5","0"
"New Prague","7,542","8","0","5","","0","3","85","10","74","1","0"
"New Richland","1,197","2","0","0","","0","2","1","1","0","0","0"
"New Ulm","13,136","9","0","5","","0","4","263","58","194","11","1"
"North Branch","10,076","8","0","1","","1","6","272","53","213","6","1"
"Northfield","20,714","15","0","1","","2","12","274","58","214","2","1"
"North Mankato","13,448","26","0","7","","3","16","255","44","196","15","0"
"North Oaks","4,757","1","0","0","","0","1","34","7","27","0","0"
"North St. Paul","11,948","10","0","0","","3","7","317","47","241","29","0"
"Oakdale","27,870","52","0","9","","11","32","1,210","120","1,011","79","3"
"Oak Park Heights","4,877","2","0","0","","1","1","265","10","250","5","0"
"Olivia","2,374","6","0","1","","0","5","56","7","46","3","0"
"Orono","21,288","5","0","2","","0","3","184","22","150","12","1"
"Ortonville","1,842","0","0","0","","0","0","13","0","12","1","0"
"Osakis","1,716","2","0","0","","0","2","13","3","10","0","0"
"Osseo","2,487","0","0","0","","0","0","10","0","7","3","0"
"Owatonna","25,544","36","0","3","","6","27","619","79","510","30","0"
"Park Rapids","3,912","11","1","1","","0","9","276","34","233","9","2"
"Paynesville","2,421","2","0","1","","0","1","46","8","37","1","1"
"Plainview","3,284","3","0","0","","0","3","5","1","3","1","0"
"Plymouth","74,833","54","1","13","","12","28","1,059","177","846","36","6"
"Princeton","4,683","0","0","0","","0","0","155","12","136","7","0"
"Prior Lake","24,779","23","0","10","","1","12","371","33","327","11","0"
"Proctor","3,075","7","0","0","","3","4","116","10","102","4","0"
"Ramsey","25,250","15","0","9","","0","6","348","29","306","13","1"
"Red Wing","16,528","36","0","12","","2","22","509","82","401","26","1"
"Redwood Falls","5,107","11","0","2","","0","9","148","22","122","4","0"
"Richfield","36,408","78","0","12","","34","32","877","174","664","39","4"
"Robbinsdale","14,387","28","0","0","","15","13","377","83","274","20","0"
"Rochester","111,712","205","2","46","","52","105","2,223","338","1,775","110","8"
"Rogers","12,180","5","0","1","","0","4","285","13","261","11","0"
"Roseau","2,629","1","0","1","","0","0","59","3","54","2","0"
"Rosemount","22,850","17","0","3","","1","13","199","31","166","2","1"
"Roseville","35,332","45","0","10","","9","26","1,854","257","1,510","87","2"
"Sartell","16,358","5","0","2","","0","3","345","25","313","7","0"
"Sauk Centre","4,317","10","0","1","","2","7","114","13","96","5","3"
"Sauk Rapids","13,382","11","0","3","","3","5","250","40","197","13","2"
"Savage","29,065","27","0","7","","8","12","597","76","500","21","6"
"Shakopee","39,632","57","0","21","","9","27","768","116","618","34","0"
"Shoreview","26,209","16","0","5","","1","10","290","47","220","23","5"
"Silver Bay","1,848","2","0","1","","0","1","5","2","3","0","0"
"Silver Lake","813","2","0","1","","0","1","18","0","14","4","0"
"Slayton","2,090","3","0","0","","0","3","37","3","32","2","0"
"Sleepy Eye","3,481","5","0","0","","0","5","3","1","1","1","0"
"South Lake Minnetonka","12,096","10","0","4","","1","5","121","25","88","8","1"
"South St. Paul","20,504","79","0","12","","14","53","483","103","335","45","27"
"Springfield","2,092","0","0","0","","0","0","0","0","0","0","0"
"Spring Grove","1,302","0","0","0","","0","0","0","0","0","0","0"
"Spring Lake Park","6,469","12","0","0","","2","10","266","42","204","20","0"
"St. Anthony","8,680","10","0","0","","7","3","247","49","189","9","0"
"Staples","2,890","3","0","0","","0","3","70","9","59","2","0"
"St. Charles","3,685","0","0","0","","0","0","0","0","0","0","0"
