"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Rape(reviseddefinition)1","Rape(legacydefinition)2","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson"
"La Marque","15,303","75","0","6","","24","45","979","208","716","55","1"
"Lamesa","9,334","55","0","13","","3","39","374","108","248","18","3"
"Lampasas","6,957","23","0","4","","2","17","274","52","216","6","0"
"La Porte","34,852","70","0","29","","12","29","584","111","425","48","7"
"Laredo","250,994","976","14","99","","196","667","9,687","1,267","8,144","276","75"
"La Vernia","1,209","2","0","0","","0","2","20","2","18","0","0"
"Lavon","2,474","0","0","0","","0","0","16","1","15","0","0"
"League City","92,790","98","3","30","","26","39","1,807","317","1,421","69","0"
"Leander","33,112","38","0","10","","1","27","365","45","302","18","3"
"Leon Valley","10,961","41","0","8","","14","19","707","98","545","64","0"
"Levelland","14,042","61","0","12","","3","46","487","147","324","16","10"
"Lewisville","102,439","202","1","37","","55","109","2,480","425","1,719","336","7"
"Lexington","1,162","5","0","1","","0","4","41","11","28","2","0"
"Liberty","8,945","41","0","6","","2","33","387","65","310","12","1"
"Lindale","5,450","22","0","2","","2","18","193","40","148","5","0"
"Linden","1,978","11","0","0","","1","10","40","21","16","3","0"
"Little Elm","34,603","41","0","6","","1","34","289","87","187","15","0"
"Littlefield","6,246","17","0","0","","4","13","200","61","135","4","5"
"Live Oak","15,160","33","0","8","","2","23","508","36","435","37","0"
"Livingston","5,168","32","0","4","","8","20","320","43","263","14","0"
"Llano","3,323","1","0","0","","1","0","51","7","42","2","0"
"Lockhart","13,185","25","0","3","","7","15","396","75","303","18","1"
"Lone Star","1,566","7","0","1","","1","5","43","8","32","3","1"
"Longview","81,659","272","2","23","","65","182","2,942","610","2,160","172","2"
"Lorena","1,730","5","0","2","","0","3","33","14","19","0","0"
"Los Fresnos","6,288","19","0","1","","0","18","127","24","102","1","1"
"Lubbock","241,826","2,084","12","128","","333","1,611","10,617","2,288","7,563","766","46"
"Lufkin","36,327","157","1","0","","49","107","2,016","395","1,554","67","6"
"Luling","5,722","31","0","4","","3","24","99","20","75","4","0"
"Lumberton","12,228","26","1","6","","0","19","170","29","135","6","0"
"Lyford","2,581","4","0","0","","1","3","16","5","11","0","0"
"Lytle","2,743","3","0","0","","1","2","118","15","94","9","3"
"Madisonville","4,564","17","1","2","","3","11","133","24","107","2","1"
"Magnolia","1,587","0","0","0","","0","0","44","9","34","1","0"
"Malakoff","2,309","5","0","0","","2","3","52","16","33","3","0"
"Manor","6,700","25","0","3","","6","16","249","15","229","5","1"
"Mansfield","61,935","59","0","9","","21","29","932","144","739","49","3"
"Manvel","6,998","4","1","1","","0","2","87","36","47","4","2"
"Marble Falls","6,140","16","0","7","","4","5","367","31","326","10","0"
"Marlin","5,792","21","0","4","","2","15","70","18","50","2","0"
"Marshall","24,749","153","3","9","","24","117","887","215","643","29","9"
"Martindale","1,171","0","0","0","","0","0","5","2","3","0","0"
"McAllen","138,122","181","6","18","","68","89","4,947","411","4,364","172","17"
"McGregor","5,062","18","0","0","","1","17","56","18","36","2","1"
"McKinney","152,806","226","3","43","","60","120","2,828","398","2,281","149","13"
"Meadows Place","4,764","7","0","0","","3","4","102","18","78","6","0"
"Melissa","6,513","3","0","0","","0","3","91","16","69","6","1"
"Memorial Villages","11,848","4","0","0","","4","0","79","23","56","0","0"
"Memphis","2,187","3","0","0","","0","3","24","12","10","2","0"
"Mercedes","16,488","102","1","10","","10","81","840","165","639","36","7"
"Merkel","2,592","3","0","0","","0","3","31","8","23","0","0"
"Mesquite","144,396","432","4","53","","191","184","5,846","1,176","3,816","854","10"
"Mexia","7,438","52","0","5","","5","42","345","52","279","14","2"
"Midland","127,344","407","7","36","","65","299","3,266","597","2,475","194","5"
"Midlothian","20,348","28","0","7","","2","19","342","28","294","20","1"
"Mineola","4,558","17","1","1","","1","14","182","25","150","7","0"
"Mineral Wells","16,770","44","0","7","","7","30","662","164","467","31","1"
"Mission","81,871","95","0","5","","30","60","2,405","309","1,964","132","29"
"Missouri City","70,853","126","1","17","","35","73","1,162","207","856","99","4"
"Monahans","7,468","16","0","2","","0","14","154","58","87","9","2"
"Mont Belvieu","4,662","10","0","5","","0","5","145","14","98","33","0"
"Montgomery","689","3","0","0","","0","3","23","3","20","0","0"
"Morgans Point Resort","4,230","3","0","0","","0","3","46","11","35","0","1"
"Mount Pleasant","16,136","78","0","18","","10","50","659","143","495","21","2"
"Muleshoe","5,116","0","0","0","","0","0","66","18","45","3","1"
"Munday","1,307","0","0","0","","0","0","8","3","2","3","0"
"Murphy","19,914","13","2","3","","1","7","149","13","133","3","0"
"Mustang Ridge","941","0","0","0","","0","0","22","6","16","0","0"
"Nacogdoches","34,096","110","3","24","","14","69","1,221","197","984","40","4"
"Naples","1,371","6","0","0","","1","5","24","10","12","2","1"
"Nash","3,111","46","1","1","","3","41","78","13","61","4","0"
"Nassau Bay","4,108","15","0","6","","5","4","114","19","87","8","0"
"Navasota","7,294","107","1","7","","5","94","260","51","191","18","0"
"Nederland","17,571","63","0","12","","9","42","439","84","315","40","0"
"Needville","3,013","7","0","3","","0","4","19","5","14","0","0"
"New Boston","4,544","11","0","0","","1","10","289","41","243","5","0"
"New Braunfels","64,622","182","1","9","","21","151","2,101","313","1,614","174","13"
"Nixon","2,452","5","0","1","","0","4","19","9","10","0","0"
"Nocona","2,977","1","0","0","","0","1","17","6","9","2","0"
"Nolanville","4,507","30","0","0","","2","28","78","17","59","2","0"
"Northeast","2,522","4","0","0","","0","4","92","4","86","2","0"
"Northlake","1,889","7","1","1","","0","5","45","10","33","2","0"
"North Richland Hills","68,309","120","0","18","","26","76","1,542","258","1,210","74","5"
"Oak Ridge","168","1","0","0","","0","1","3","2","1","0","0"
"Oak Ridge North","3,166","2","0","1","","1","0","71","10","54","7","0"
"Odessa","113,619","1,068","11","65","","148","844","4,217","735","3,004","478","24"
"O'Donnell","805","0","0","0","","0","0","0","0","0","0","0"
"Olmos Park","2,333","0","0","0","","0","0","50","9","36","5","0"
"Olney","3,209","2","0","0","","1","1","84","27","52","5","0"
"Olton","2,177","1","0","0","","0","1","20","3","15","2","0"
"Omaha","1,020","3","0","0","","0","3","17","8","9","0","0"
"Onalaska","1,703","13","0","6","","1","6","53","21","31","1","0"
"Orange","18,995","72","2","0","","32","38","495","196","250","49","3"
"Orange Grove","1,362","0","0","0","","0","0","28","8","19","1","0"
"Ovilla","3,552","8","0","1","","0","7","21","5","13","3","0"
"Oyster Creek","1,118","12","0","1","","0","11","36","9","22","5","0"
"Paducah","1,132","7","0","0","","0","7","7","3","2","2","5"
"Palacios","4,646","8","0","0","","3","5","107","29","74","4","0"
"Palestine","18,579","109","0","21","","16","72","765","165","556","44","1"
"Palmer","2,026","1","0","0","","0","1","32","14","17","1","1"
"Palmhurst","2,661","3","0","0","","0","3","276","6","270","0","0"
"Palm Valley","1,307","0","0","0","","0","0","31","1","30","0","0"
"Palmview","5,634","41","0","10","","3","28","336","46","277","13","1"
"Pampa","18,520","105","0","0","","7","98","820","150","637","33","1"
"Panhandle","2,332","0","0","0","","0","0","20","7","10","3","0"
"Pantego","2,500","15","0","0","","2","13","93","13","75","5","0"
"Paris","24,844","139","1","5","","28","105","1,087","267","787","33","0"
"Parker","4,152","0","0","0","","0","0","12","4","8","0","0"
"Pasadena","153,540","591","7","93","","154","337","4,630","788","3,322","520","16"
"Pearland","102,516","155","1","39","","28","87","2,059","303","1,676","80","4"
"Pearsall","9,737","37","0","0","","1","36","261","67","184","10","1"
"Pecos","8,931","39","1","4","","4","30","122","11","106","5","0"
"Pelican Bay","1,579","2","0","0","","0","2","19","9","10","0","1"
"Penitas","4,590","16","0","4","","0","12","163","17","139","7","0"
"Perryton","9,440","9","0","0","","1","8","36","10","25","1","0"
"Pflugerville","55,101","61","0","18","","9","34","852","116","704","32","3"
"Pharr","74,555","291","1","32","","37","221","2,385","494","1,785","106","5"
"Pinehurst","2,078","8","0","0","","4","4","73","12","59","2","0"
"Pittsburg","4,522","48","0","6","","5","37","178","65","107","6","2"
"Plainview","21,765","53","0","6","","7","40","831","138","657","36","1"
"Plano","277,822","459","4","80","","156","219","5,486","824","4,369","293","23"
"Pleasanton","9,658","35","2","2","","3","28","562","87","440","35","1"
"Ponder","1,473","2","0","2","","0","0","16","3","12","1","0"
"Port Aransas","3,854","28","0","6","","0","22","307","41","253","13","0"
"Port Arthur","54,178","341","8","29","","114","190","2,131","528","1,471","132","9"
"Port Isabel","5,000","13","0","1","","0","12","283","56","222","5","1"
"Portland","15,879","22","0","1","","5","16","536","74","450","12","1"
"Port Lavaca","12,414","85","1","13","","1","70","358","99","236","23","1"
"Port Neches","12,726","56","0","13","","1","42","238","61","165","12","0"
"Poteet","3,396","13","1","2","","1","9","138","38","90","10","1"
"Poth","2,065","11","0","3","","1","7","46","29","13","4","0"
"Pottsboro","2,209","9","0","0","","0","9","17","5","11","1","0"
"Prairie View","5,920","21","3","2","","5","11","41","16","25","0","2"
"Premont","2,703","29","0","2","","1","26","65","38","26","1","2"
"Presidio","3,990","2","0","0","","0","2","11","6","4","1","0"
"Primera","4,135","2","0","0","","0","2","36","11","19","6","0"
"Princeton","7,968","23","0","5","","2","16","101","21","78","2","1"
