"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Rape(reviseddefinition)1","Rape(legacydefinition)2","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson"
"Madisonville","4,803","23","0","0","","2","21","249","38","186","25","1"
"Manchester","10,296","77","1","2","","8","66","537","75","441","21","2"
"Martin","11,330","29","0","0","","4","25","244","37","202","5","0"
"Maryville","28,116","38","0","4","","3","31","667","75","562","30","2"
"Mason","1,608","14","0","1","","2","11","28","9","12","7","0"
"Maury City","672","5","0","2","","0","3","12","4","7","1","0"
"Maynardville","2,365","8","0","0","","0","8","105","23","72","10","0"
"McEwen","1,695","5","0","0","","0","5","29","4","24","1","0"
"McKenzie","5,647","21","0","2","","3","16","197","57","136","4","0"
"McMinnville","13,683","128","0","12","","7","109","493","123","349","21","3"
"Medina","4,051","8","0","0","","1","7","35","8","26","1","0"
"Memphis","654,922","11,399","140","501","","3,285","7,473","39,217","11,451","24,791","2,975","350"
"Milan","7,757","49","0","2","","6","41","343","79","251","13","6"
"Millersville","6,605","19","0","0","","3","16","82","25","51","6","0"
"Millington","11,095","55","0","4","","16","35","536","123","393","20","11"
"Minor Hill","526","1","0","0","","0","1","0","0","0","0","0"
"Monteagle","1,177","4","0","0","","1","3","39","6","32","1","0"
"Monterey","2,859","5","0","0","","0","5","72","12","54","6","2"
"Morristown","29,401","191","0","10","","23","158","1,467","167","1,237","63","6"
"Moscow","541","8","0","0","","0","8","15","3","12","0","0"
"Mountain City","2,496","5","0","1","","0","4","70","7","60","3","0"
"Mount Carmel","5,480","22","0","3","","2","17","45","14","29","2","1"
"Mount Juliet","29,104","62","1","8","","6","47","539","57","466","16","1"
"Mount Pleasant","4,676","24","0","0","","0","24","96","30","58","8","1"
"Munford","6,046","25","0","4","","1","20","131","18","107","6","1"
"Murfreesboro","119,005","635","7","54","","119","455","3,983","761","3,052","170","7"
"Nashville","647,689","7,270","41","487","","1,523","5,219","23,515","4,756","17,622","1,137","97"
"Newbern","3,343","20","0","1","","0","19","75","19","53","3","1"
"New Hope","1,069","0","0","0","","0","0","0","0","0","0","0"
"New Johnsonville","1,901","1","0","1","","0","0","27","0","22","5","0"
"New Market","1,360","5","0","0","","0","5","7","2","5","0","0"
"Newport","6,924","72","0","3","","9","60","697","72","598","27","1"
"New Tazewell","2,960","2","0","0","","0","2","55","7","46","2","1"
"Niota","719","2","0","0","","0","2","27","3","23","1","0"
"Nolensville","6,295","8","0","1","","0","7","60","13","44","3","1"
"Norris","1,635","0","0","0","","0","0","20","5","15","0","0"
"Oakland","7,229","6","0","0","","2","4","69","13","54","2","0"
"Obion","1,085","4","0","0","","1","3","29","8","19","2","0"
"Oliver Springs","3,250","1","0","0","","1","0","106","13","84","9","0"
