"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Rape(reviseddefinition)1","Rape(legacydefinition)2","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson"
"North Bay Village","7,463","8","0","1","","1","6","167","25","120","22","0"
"North Lauderdale","43,167","184","1","17","","50","116","1,107","261","772","74","0"
"North Miami","61,501","577","8","28","","266","275","2,806","548","1,993","265","6"
"North Miami Beach","43,657","368","3","31","","142","192","1,623","453","1,048","122","4"
"North Palm Beach","12,428","19","0","1","","5","13","288","75","193","20","0"
"North Port","59,668","103","1","30","","12","60","892","179","688","25","1"
"North Redington Beach","1,447","1","0","0","","0","1","26","3","21","2","0"
"Oakland","2,751","6","0","0","","1","5","53","14","39","0","0"
"Oakland Park","43,745","227","5","27","","68","127","1,792","362","1,310","120","5"
"Ocala","57,740","360","7","34","","87","232","3,003","494","2,439","70","15"
"Ocean Ridge","1,853","1","0","0","","0","1","45","8","33","4","0"
"Ocoee","40,029","138","2","10","","42","84","1,411","262","1,058","91","2"
"Okeechobee","5,592","16","0","0","","3","13","270","32","223","15","0"
"Oldsmar","13,842","15","1","2","","3","9","467","71","388","8","1"
"Opa Locka","16,146","392","3","2","","91","296","1,175","329","700","146","7"
"Orange City","10,940","60","0","8","","11","41","840","93","718","29","0"
"Orange Park","8,605","52","1","8","","6","37","205","25","168","12","0"
"Orlando","259,675","2,340","15","167","","620","1,538","16,515","3,342","12,182","991","55"
"Ormond Beach","38,782","166","0","0","","15","151","1,555","259","1,226","70","2"
"Oviedo","37,467","56","1","3","","4","48","461","124","322","15","2"
"Pahokee","6,010","74","1","4","","10","59","163","44","112","7","1"
"Palatka","10,469","67","0","0","","17","50","551","107","437","7","2"
"Palm Bay","105,287","600","4","38","","56","502","2,226","478","1,621","127","15"
"Palm Beach","8,706","4","0","1","","0","3","155","39","111","5","0"
"Palm Beach Gardens","51,210","76","1","12","","28","35","1,447","204","1,169","74","0"
"Palm Beach Shores","1,188","3","0","0","","2","1","55","9","40","6","0"
"Palmetto","13,040","113","2","9","","31","71","448","90","337","21","0"
"Palmetto Bay","24,558","44","0","4","","21","19","836","118","669","49","0"
"Palm Springs","21,011","139","3","8","","39","89","1,146","297","778","71","3"
"Panama City","37,204","343","8","7","","65","263","2,581","451","1,952","178","9"
"Panama City Beach","12,186","123","2","20","","37","64","1,102","159","931","12","1"
"Parker","4,503","14","0","2","","4","8","144","43","94","7","0"
"Parkland","27,164","7","1","0","","2","4","173","31","136","6","0"
"Pembroke Park","6,208","58","0","6","","28","24","347","75","223","49","1"
"Pembroke Pines","164,372","277","4","24","","97","152","3,775","569","3,023","183","4"
"Pensacola","52,873","373","3","28","","82","260","2,390","451","1,836","103","7"
"Perry","7,087","78","0","7","","5","66","187","47","133","7","2"
"Pinellas Park","50,213","229","1","27","","49","152","2,927","417","2,385","125","11"
"Plantation","91,549","312","1","17","","99","195","2,755","476","2,103","176","2"
"Plant City","36,425","169","5","9","","32","123","1,448","220","1,133","95","4"
"Pompano Beach","105,523","869","6","62","","259","542","4,568","1,004","3,250","314","14"
"Ponce Inlet","3,086","2","0","0","","0","2","31","4","26","1","0"
"Port Orange","57,359","32","1","0","","3","28","1,136","204","880","52","4"
"Port Richey","2,694","20","1","0","","5","14","315","22","288","5","0"
"Port St. Joe","3,433","23","0","2","","0","21","48","20","27","1","0"
"Port St. Lucie","172,453","243","6","16","","37","184","2,498","511","1,896","91","9"
"Punta Gorda","17,305","8","0","0","","3","5","287","39","241","7","0"
"Quincy","7,911","43","0","3","","8","32","319","92","224","3","7"
"Redington Beaches","1,452","2","0","0","","0","2","17","3","13","1","0"
"Riviera Beach","33,446","398","13","17","","92","276","1,556","392","1,025","139","1"
"Rockledge","25,785","54","0","7","","9","38","507","102","383","22","6"
"Royal Palm Beach","36,846","99","0","11","","14","74","885","97","740","48","8"
"Safety Harbor","17,204","38","0","6","","4","28","303","64","226","13","1"
"Sanford","56,601","455","2","29","","108","316","2,982","641","2,163","178","2"
"Sanibel","7,023","5","0","0","","0","5","107","33","73","1","0"
"Sarasota","53,620","357","2","23","","108","224","2,537","479","1,947","111","3"
"Satellite Beach","10,384","12","0","0","","4","8","136","42","89","5","0"
"Sea Ranch Lakes","712","0","0","0","","0","0","11","0","11","0","0"
"Sebastian","22,889","39","0","3","","1","35","463","77","380","6","0"
"Sebring","10,312","43","1","1","","17","24","478","100","363","15","7"
"Seminole","18,009","64","0","5","","13","46","504","58","429","17","1"
"Sewall's Point","2,098","0","0","0","","0","0","12","2","10","0","0"
"South Bay","4,991","58","0","0","","8","50","144","45","92","7","2"
"South Daytona","12,288","30","1","3","","3","23","442","101","293","48","3"
"South Miami","12,189","43","0","5","","12","26","682","103","550","29","1"
"South Palm Beach","1,145","0","0","0","","0","0","18","10","7","1","0"
"South Pasadena","5,032","5","0","1","","2","2","106","10","87","9","0"
"Southwest Ranches","7,757","8","0","1","","1","6","126","30","84","12","0"
"Springfield","9,249","44","1","6","","10","27","268","58","182","28","0"
"Starke","5,387","24","0","2","","3","19","161","10","144","7","0"
"St. Augustine","13,847","103","1","7","","21","74","711","76","605","30","6"
"St. Augustine Beach","6,693","22","0","3","","0","19","131","16","109","6","0"
"St. Cloud","42,113","137","1","15","","16","105","864","166","685","13","4"
"St. Pete Beach","9,503","41","0","5","","5","31","417","46","343","28","2"
"St. Petersburg","250,772","2,169","19","154","","619","1,377","14,150","2,612","10,139","1,399","44"
"Stuart","16,199","64","0","13","","14","37","645","86","527","32","1"
"Sunny Isles Beach","21,931","30","0","4","","10","16","420","32","369","19","0"
"Sunrise","91,544","277","2","13","","106","156","3,054","474","2,440","140","3"
"Surfside","6,003","4","0","0","","2","2","154","16","131","7","0"
"Sweetwater","20,719","48","0","0","","5","43","642","40","554","48","0"
"Tallahassee","187,573","1,758","14","198","","307","1,239","9,080","2,316","6,099","665","8"
"Tamarac","63,796","177","0","19","","54","104","1,255","361","805","89","3"
"Tampa","357,124","2,080","28","62","","514","1,476","8,670","1,820","6,355","495","43"
"Tarpon Springs","23,965","106","2","4","","20","80","668","114","530","24","1"
"Tavares","14,518","74","3","4","","2","65","400","156","214","30","1"
"Temple Terrace","25,335","80","1","7","","23","49","799","181","600","18","0"
