"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Rape(reviseddefinition)1","Rape(legacydefinition)2","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson"
"Monroe","34,251","156","5","","5","47","99","1,789","363","1,361","65","8"
"Mooresville","35,182","79","1","","6","26","46","1,033","133","856","44","7"
"Morehead City","9,330","46","1","","1","6","38","433","72","349","12","3"
"Morganton","16,786","43","3","","3","11","26","645","147","479","19","11"
"Morrisville","22,799","11","1","","1","6","3","468","62","377","29","1"
"Mount Airy","10,420","47","0","","3","5","39","492","100","368","24","2"
"Mount Holly","13,968","18","0","","1","5","12","232","73","148","11","0"
"Mount Olive","4,776","23","0","","0","5","18","272","52","216","4","2"
"Murfreesboro","2,877","4","0","","0","1","3","75","36","37","2","0"
"Murphy","1,616","13","0","","1","2","10","159","31","127","1","0"
"Nags Head","2,853","5","0","","1","0","4","168","69","98","1","1"
"New Bern","30,371","122","0","","7","38","77","1,267","310","936","21","1"
"Newland","686","1","0","","0","0","1","16","4","11","1","0"
"Newport","4,798","10","0","","0","3","7","127","27","95","5","0"
"Newton","13,062","63","2","","5","8","48","436","111","317","8","4"
"North Topsail Beach","733","5","0","","1","0","4","45","22","22","1","0"
"North Wilkesboro","4,222","19","0","","1","1","17","159","15","142","2","0"
"Oak Island","7,317","20","0","","0","0","20","311","113","193","5","1"
"Oxford","8,748","77","0","","2","19","56","587","225","345","17","6"
"Pembroke","3,023","19","0","","1","8","10","259","1","250","8","5"
"Pilot Mountain","1,472","4","0","","1","1","2","106","26","78","2","0"
"Pinehurst","15,391","1","0","","0","1","0","114","0","113","1","0"
"Pine Knoll Shores","1,371","2","0","","1","0","1","34","13","19","2","0"
"Pineville","8,206","44","0","","3","17","24","982","95","860","27","0"
"Pittsboro","4,009","14","1","","2","2","9","86","7","75","4","2"
"Plymouth","3,742","19","1","","1","3","14","150","11","131","8","1"
"Raeford","4,946","22","0","","1","8","13","234","40","185","9","1"
"Randleman","4,164","17","0","","0","3","14","531","83","447","1","0"
"Reidsville","14,093","45","2","","5","14","24","739","157","562","20","2"
"Richlands","1,683","2","0","","0","0","2","23","5","18","0","0"
"River Bend","3,175","2","0","","0","0","2","12","6","6","0","0"
"Roanoke Rapids","15,602","91","3","","5","36","47","1,028","268","740","20","5"
"Robbins","1,166","0","0","","0","0","0","27","18","9","0","0"
"Robersonville","1,440","18","0","","0","2","16","44","16","25","3","0"
"Rockingham","9,459","31","1","","2","12","16","923","160","748","15","4"
"Rockwell","2,147","1","0","","0","1","0","61","12","46","3","0"
"Rocky Mount","56,757","533","15","","15","113","390","2,744","735","1,929","80","19"
"Rolesville","4,886","6","0","","1","2","3","107","18","86","3","0"
"Rose Hill","1,697","3","0","","0","2","1","45","13","30","2","1"
"Rowland","1,057","4","0","","0","2","2","39","15","23","1","0"
"Roxboro","8,342","29","0","","2","3","24","427","91","323","13","0"
"Rutherfordton","4,220","0","0","","0","0","0","137","0","136","1","0"
"Salisbury","33,627","239","5","","13","65","156","1,729","412","1,201","116","11"
