"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Rape(reviseddefinition)1","Rape(legacydefinition)2","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson"
"Burgettstown","1,360","0","0","0","","0","0","19","3","16","0","2"
"Bushkill Township","8,354","13","0","0","","0","13","37","5","32","0","0"
"Butler","13,515","54","0","0","","22","32","569","122","432","15","6"
"Butler Township, Butler County","17,076","31","0","2","","4","25","466","52","412","2","1"
"Butler Township, Luzerne County","9,525","33","0","0","","3","30","99","16","77","6","0"
"Butler Township, Schuykill County","6,077","2","0","0","","0","2","13","3","10","0","0"
"Caernarvon Township, Berks County","4,031","9","0","0","","0","9","121","18","99","4","0"
"California","6,976","32","1","0","","2","29","98","16","81","1","0"
"Callery","390","0","0","0","","0","0","0","0","0","0","0"
"Caln Township","14,166","71","0","3","","8","60","281","27","247","7","0"
"Cambria Township","5,981","3","0","0","","1","2","136","5","124","7","0"
"Cambridge Springs","2,555","2","0","0","","0","2","6","1","5","0","0"
"Camp Hill","7,892","2","0","0","","2","0","62","5","57","0","0"
"Canonsburg","8,953","13","0","0","","2","11","40","10","30","0","0"
"Canton","1,972","1","0","0","","0","1","19","6","13","0","0"
"Carlisle","18,974","37","0","7","","13","17","526","50","472","4","0"
"Carmichaels","470","0","0","0","","0","0","0","0","0","0","0"
"Carnegie","7,942","21","0","0","","7","14","204","36","155","13","0"
"Carrolltown","826","2","0","0","","0","2","7","2","5","0","0"
"Carroll Township, Washington County","5,596","17","0","1","","0","16","68","11","56","1","0"
"Carroll Township, York County","6,157","7","0","2","","2","3","49","12","34","3","0"
"Carroll Valley","3,912","2","0","1","","0","1","50","3","47","0","0"
"Cass Township","1,924","3","0","0","","0","3","18","7","10","1","0"
"Castle Shannon","8,304","8","0","1","","1","6","71","10","59","2","0"
"Catasauqua","6,485","2","0","1","","0","1","145","12","125","8","1"
"Catawissa","1,524","4","0","0","","0","4","16","4","12","0","2"
"Cecil Township","11,823","4","0","0","","0","4","78","16","60","2","0"
"Center Township","11,759","28","0","1","","11","16","464","16","440","8","0"
"Centerville","3,209","6","0","0","","0","6","27","6","20","1","1"
"Central Berks Regional","9,483","10","0","0","","3","7","121","21","85","15","1"
"Central Bucks Regional","11,353","6","0","1","","3","2","113","8","98","7","0"
"Chalfont","4,075","1","0","1","","0","0","14","1","12","1","0"
"Chambersburg","20,561","79","2","10","","19","48","754","123","596","35","3"
"Charleroi Regional","6,703","46","0","1","","10","35","276","46","225","5","2"
"Chartiers Township","7,926","6","0","0","","0","6","80","14","64","2","1"
"Cheltenham Township","36,865","66","0","3","","40","23","970","167","777","26","3"
"Cherry Tree","349","0","0","0","","0","0","0","0","0","0","0"
"Chester","34,056","523","30","28","","169","296","1,176","341","716","119","27"
"Chester Township","4,121","77","0","0","","10","67","122","22","85","15","3"
"Cheswick","1,736","0","0","0","","0","0","16","0","15","1","0"
"Chippewa Township","8,208","5","0","1","","1","3","321","27","289","5","0"
"Christiana","1,164","1","0","0","","0","1","15","6","9","0","0"
"Churchill","3,005","9","0","0","","0","9","31","4","26","1","0"
"Clarion","4,857","4","0","0","","1","3","61","12","47","2","0"
"Clarks Summit","6,558","1","0","0","","0","1","20","8","11","1","0"
"Clearfield","6,091","37","0","1","","0","36","177","7","165","5","0"
"Cleona","2,127","0","0","0","","0","0","11","1","10","0","0"
"Clifton Heights","6,666","58","0","0","","8","50","143","20","117","6","0"
"Clymer","1,319","0","0","0","","0","0","0","0","0","0","0"
"Coaldale","2,237","1","0","0","","1","0","3","3","0","0","0"
"Coal Township","10,603","25","0","1","","2","22","289","28","255","6","2"
"Coatesville","13,141","131","0","1","","55","75","329","94","215","20","2"
"Cochranton","1,116","0","0","0","","0","0","2","0","2","0","0"
"Colebrookdale District","6,039","6","0","0","","1","5","120","5","113","2","1"
"Collegeville","5,375","0","0","0","","0","0","51","7","44","0","0"
"Collier Township","7,741","3","0","1","","0","2","192","10","178","4","0"
"Collingdale","8,786","89","0","3","","23","63","258","53","191","14","0"
"Colonial Regional","19,803","15","0","3","","6","6","566","47","508","11","1"
"Columbia","10,378","16","0","2","","8","6","228","65","154","9","0"
"Colwyn","2,548","15","0","2","","7","6","56","16","35","5","1"
"Conemaugh Township, Cambria County","1,953","6","0","0","","0","6","5","1","3","1","0"
"Conemaugh Township, Somerset County","7,104","6","0","0","","1","5","40","9","30","1","0"
"Conewago Township, Adams County","7,123","3","0","0","","0","3","48","6","40","2","0"
"Conewango Township","3,477","9","0","0","","0","9","94","12","82","0","0"
"Confluence","754","0","0","0","","0","0","0","0","0","0","0"
"Conneaut Lake Regional","3,547","1","0","0","","1","0","48","19","27","2","0"
"Connellsville","7,550","14","0","1","","9","4","280","41","229","10","2"
"Conoy Township","3,393","1","0","0","","0","1","31","8","22","1","0"
"Conshohocken","7,871","10","0","0","","1","9","125","21","101","3","1"
"Conway","2,165","6","0","0","","2","4","16","1","14","1","0"
"Conyngham","1,901","1","0","0","","0","1","2","2","0","0","0"
"Coopersburg","2,400","9","0","2","","1","6","24","3","20","1","0"
"Coplay","3,221","1","0","0","","1","0","56","10","46","0","0"
"Coraopolis","5,640","32","0","1","","5","26","105","15","86","4","1"
"Cornwall","4,197","1","0","1","","0","0","1","0","1","0","0"
"Corry","6,491","42","0","4","","3","35","286","31","252","3","0"
"Coudersport","2,536","3","0","0","","0","3","5","1","4","0","0"
"Courtdale","728","2","0","0","","0","2","6","2","4","0","0"
"Covington Township","2,326","7","0","0","","0","7","55","2","49","4","0"
"Crafton","6,377","19","1","0","","5","13","162","11","150","1","0"
"Cranberry Township","29,834","6","0","0","","3","3","407","28","371","8","1"
"Crescent Township","2,633","4","0","1","","0","3","19","6","13","0","0"
"Cresson","1,656","1","0","0","","0","1","24","3","21","0","0"
"Cresson Township","4,195","1","0","0","","0","1","10","2","8","0","0"
"Croyle Township","2,297","0","0","0","","0","0","18","5","12","1","0"
"Cumberland Township, Adams County","6,177","2","0","0","","0","2","49","14","31","4","0"
"Cumberland Township, Greene County","6,453","11","0","0","","1","10","108","22","80","6","1"
"Cumru Township","15,235","12","0","2","","7","3","291","55","226","10","0"
"Curwensville","2,491","19","0","0","","0","19","57","12","40","5","1"
"Dale","1,189","7","1","1","","0","5","18","4","14","0","0"
"Dallas","2,806","0","0","0","","0","0","10","1","9","0","2"
"Dallas Township","9,286","3","0","1","","0","2","52","13","39","0","0"
"Dalton","1,235","0","0","0","","0","0","9","0","9","0","1"
"Danville","4,725","22","0","1","","0","21","90","3","87","0","0"
"Darby","10,687","412","1","121","","63","227","456","157","266","33","1"
"Darby Township","9,309","25","0","0","","5","20","270","28","239","3","1"
"Darlington Township","1,945","0","0","0","","0","0","20","3","17","0","0"
"Decatur Township","4,494","6","0","0","","0","6","33","4","27","2","0"
"Delano Township","438","0","0","0","","0","0","0","0","0","0","0"
"Delmont","2,658","2","0","1","","0","1","25","2","21","2","0"
"Denver","3,867","3","0","0","","0","3","52","10","41","1","0"
"Derry","2,629","2","0","0","","0","2","1","1","0","0","0"
"Derry Township, Dauphin County","24,887","16","0","2","","3","11","405","59","341","5","4"
"Donora","4,692","13","0","0","","0","13","85","17","67","1","2"
"Dormont","8,543","19","0","1","","6","12","113","15","96","2","0"
"Douglass Township, Berks County","3,357","0","0","0","","0","0","14","3","11","0","0"
"Douglass Township, Montgomery County","10,400","13","0","1","","0","12","116","17","96","3","0"
"Downingtown","7,939","19","0","0","","6","13","229","12","208","9","0"
"Doylestown Township","17,623","7","0","1","","1","5","172","24","143","5","1"
"Dublin Borough","2,153","3","0","0","","0","3","8","0","8","0","0"
"Du Bois","7,672","18","0","4","","0","14","244","32","204","8","0"
"Duboistown","1,197","2","0","2","","0","0","2","0","2","0","0"
"Dunbar","1,024","1","0","0","","0","1","1","0","1","0","0"
"Duncansville","1,216","0","0","0","","0","0","16","5","11","0","0"
"Dunnstable Township","1,029","0","0","0","","0","0","1","0","1","0","0"
"Dupont","2,705","11","0","0","","1","10","48","16","31","1","0"
"Duquesne","5,543","79","4","3","","19","53","237","100","123","14","5"
"Duryea","4,910","8","0","1","","1","6","105","26","75","4","2"
"Earl Township","7,137","2","0","2","","0","0","32","6","26","0","0"
"East Bangor","1,607","2","0","0","","0","2","5","3","2","0","0"
"East Berlin","1,524","0","0","0","","0","0","0","0","0","0","0"
"East Bethlehem Township","2,317","5","0","0","","0","5","41","4","34","3","1"
"East Brandywine Township","7,828","6","0","0","","0","6","65","7","58","0","0"
"East Cocalico Township","10,427","3","0","0","","2","1","91","18","72","1","5"
"East Coventry Township","6,755","1","0","0","","0","1","37","8","25","4","0"
"East Deer Township","1,490","0","0","0","","0","0","28","11","16","1","0"
"East Earl Township","6,695","5","0","2","","1","2","56","7","46","3","1"
"Eastern Adams Regional","8,161","1","0","1","","0","0","32","1","31","0","1"
"Eastern Pike Regional","4,676","10","0","5","","2","3","230","7","220","3","1"
"East Fallowfield Township","7,551","4","0","1","","0","3","41","17","24","0","1"
"East Hempfield Township","24,066","13","0","3","","6","4","414","78","328","8","1"
"East Lampeter Township","16,879","18","0","0","","13","5","631","37","588","6","0"
"East Lansdowne","2,665","30","0","3","","13","14","98","27","69","2","0"
"East McKeesport","2,706","1","0","0","","0","1","20","3","15","2","0"
"East Norriton Township","14,182","28","0","2","","4","22","302","29","263","10","1"
"Easton","27,143","81","1","1","","33","46","632","100","491","41","3"
"East Pennsboro Township","21,260","17","0","6","","5","6","228","39","187","2","1"
"East Penn Township","2,838","0","0","0","","0","0","8","1","7","0","0"
"East Petersburg","4,517","2","0","1","","0","1","47","12","35","0","1"
"East Pikeland Township","7,386","4","0","0","","0","4","99","11","78","10","0"
"East Rochester","558","1","0","0","","0","1","37","7","30","0","0"
"East Taylor Township","2,633","2","0","0","","0","2","4","0","4","0","0"
"Easttown Township","10,579","3","0","0","","0","3","100","13","85","2","0"
"East Union Township","1,621","0","0","0","","0","0","0","0","0","0","0"
"East Vincent Township","6,852","2","0","0","","0","2","47","16","27","4","0"
"East Whiteland Township","10,699","8","0","1","","1","6","124","13","111","0","1"
"Ebensburg","3,250","1","0","1","","0","0","75","25","47","3","0"
"Economy","9,323","5","0","2","","3","0","93","9","83","1","0"
"Eddystone","2,407","14","0","0","","4","10","277","12","263","2","0"
"Edgewood","3,100","8","0","0","","3","5","192","16","172","4","0"
"Edgeworth","1,683","0","0","0","","0","0","1","1","0","0","0"
"Edinboro","6,655","4","1","1","","0","2","83","15","66","2","0"
"Edwardsville","4,773","33","0","1","","2","30","198","21","175","2","2"
"Elderton","354","0","0","0","","0","0","0","0","0","0","0"
"Elizabeth","1,999","7","0","1","","0","6","15","5","8","2","0"
"Elizabethtown","11,672","12","0","6","","1","5","147","22","125","0","2"
"Elizabeth Township","13,317","7","0","1","","2","4","124","39","83","2","0"
"Elkland","1,815","13","0","2","","0","11","56","9","47","0","0"
"Elk Lick Township","2,191","0","0","0","","0","0","0","0","0","0","0"
"Ellwood City","7,703","10","0","1","","2","7","132","22","107","3","2"
"Emlenton Borough","610","2","0","0","","0","2","15","0","14","1","0"
"Emmaus","11,316","7","0","0","","4","3","127","19","105","3","1"
"Emporium","1,984","4","0","0","","0","4","15","4","11","0","0"
"Emsworth","2,442","0","0","0","","0","0","40","1","39","0","0"
"Ephrata","13,545","35","0","5","","1","29","199","40","152","7","2"
"Ephrata Township","10,195","7","0","2","","1","4","211","12","199","0","1"
"Erie","100,403","406","10","52","","96","248","2,640","772","1,794","74","39"
"Etna","3,428","9","0","0","","3","6","79","20","55","4","0"
"Evans City","1,803","0","0","0","","0","0","12","3","9","0","0"
"Everett","1,776","0","0","0","","0","0","26","8","15","3","0"
"Everson","783","0","0","0","","0","0","4","0","4","0","0"
"Exeter","5,600","15","0","0","","3","12","104","12","88","4","0"
"Exeter Township, Berks County","25,761","20","0","2","","10","8","486","123","345","18","1"
"Exeter Township, Luzerne County","2,371","0","0","0","","0","0","2","2","0","0","0"
"Fairfield","507","2","0","1","","0","1","8","1","7","0","0"
"Fairview Township, Luzerne County","4,511","1","0","0","","0","1","60","18","42","0","0"
"Fairview Township, York County","16,960","24","2","1","","4","17","225","39","177","9","2"
"Falls Township, Bucks County","34,029","58","0","5","","25","28","767","101","629","37","0"
"Fawn Township","2,373","7","0","0","","0","7","19","4","15","0","0"
"Fayette City","587","1","0","0","","0","1","4","1","3","0","0"
"Ferguson Township","18,198","14","0","3","","0","11","124","16","102","6","1"
"Ferndale","1,580","1","0","0","","0","1","8","3","5","0","0"
"Findlay Township","5,282","2","0","0","","0","2","42","4","38","0","0"
"Fleetwood","4,090","11","0","0","","0","11","92","20","68","4","0"
"Folcroft","6,629","25","0","0","","6","19","156","22","125","9","0"
"Ford City","2,922","7","0","1","","4","2","65","8","55","2","0"
"Forest City","1,835","3","0","0","","0","3","49","8","41","0","0"
"Forest Hills","6,506","8","0","0","","6","2","81","14","62","5","0"
"Forks Township","15,224","3","0","2","","0","1","183","16","163","4","0"
"Forty Fort","4,161","2","0","0","","0","2","56","14","42","0","2"
"Forward Township","3,358","3","0","0","","1","2","35","9","26","0","0"
"Foster Township, McKean County","4,256","4","1","0","","0","3","53","0","51","2","0"
"Foster Township, Schuykill County","249","0","0","0","","0","0","7","0","7","0","0"
"Fountain Hill","4,609","11","0","2","","2","7","155","22","128","5","1"
"Fox Chapel","5,425","1","0","0","","0","1","22","3","19","0","0"
"Frackville","3,748","9","0","0","","1","8","17","6","9","2","1"
"Franconia Township","13,263","3","0","0","","0","3","68","8","60","0","0"
"Franklin","6,373","11","0","3","","0","8","160","22","137","1","0"
"Franklin Park","14,160","6","0","1","","0","5","64","15","48","1","0"
"Frazer Township","1,157","0","0","0","","0","0","208","4","203","1","0"
"Freedom","1,542","2","0","1","","0","1","46","11","33","2","0"
"Freedom Township","3,436","1","0","1","","0","0","75","3","72","0","1"
"Freemansburg","2,617","3","0","2","","0","1","44","6","35","3","0"
"Freeport","1,773","1","0","0","","0","1","8","3","5","0","0"
"Gaines Township","553","1","0","1","","0","0","5","4","1","0","0"
"Galeton","1,152","2","0","0","","0","2","14","2","12","0","0"
"Gallitzin","1,869","2","0","0","","1","1","15","0","15","0","0"
"Gallitzin Township","1,302","0","0","0","","0","0","0","0","0","0","0"
"Garrett","444","0","0","0","","0","0","2","0","1","1","0"
"Geistown","2,397","3","0","0","","1","2","41","12","27","2","0"
"Gettysburg","7,667","29","0","6","","2","21","130","17","112","1","0"
"Gilpin Township","2,465","0","0","0","","0","0","1","0","1","0","0"
"Girard","3,055","5","0","0","","0","5","31","4","26","1","0"
"Girardville","1,492","7","0","0","","0","7","16","11","5","0","0"
"Glassport","4,460","15","0","1","","5","9","138","31","101","6","1"
"Glenolden","7,164","17","4","1","","9","3","140","18","117","5","0"
"Granville Township","5,078","4","0","2","","0","2","120","7","113","0","0"
"Great Bend","708","1","0","0","","0","1","3","1","2","0","0"
"Greencastle","4,050","4","0","0","","2","2","64","5","58","1","0"
"Greenfield Township, Blair County","4,115","1","0","0","","0","1","73","8","64","1","0"
"Greensburg","14,606","49","0","3","","4","42","384","53","325","6","1"
"Green Tree","4,432","22","0","0","","3","19","53","7","46","0","0"
"Greenville","5,848","21","0","1","","0","20","149","42","102","5","1"
"Greenwood Township","1,921","0","0","0","","0","0","9","3","6","0","0"
"Grove City","8,172","4","0","0","","1","3","118","24","94","0","0"
"Halifax","827","0","0","0","","0","0","5","1","3","1","0"
"Hamburg","4,287","15","0","1","","1","13","60","15","44","1","0"
"Hampden Township","28,893","19","0","5","","11","3","265","21","240","4","0"
"Hampton Township","18,521","21","0","1","","2","18","106","9","94","3","0"
"Hanover","15,380","35","1","2","","11","21","413","23","389","1","3"
"Hanover Township, Luzerne County","11,029","36","0","2","","13","21","266","38","220","8","6"
"Hartleton","284","0","0","0","","0","0","0","0","0","0","0"
"Harmar Township","3,109","6","0","1","","2","3","92","4","87","1","0"
"Harmony Township","3,150","7","0","2","","1","4","41","5","36","0","0"
"Harrisburg","49,109","547","17","42","","272","216","1,828","477","1,214","137","25"
"Harrison Township","10,489","9","0","0","","1","8","77","7","70","0","0"
"Harrisville","890","0","0","0","","0","0","1","1","0","0","0"
"Harveys Lake","2,791","3","0","0","","1","2","26","3","20","3","0"
"Hastings","2,246","7","0","0","","0","7","20","0","20","0","0"
"Hatboro","7,417","8","0","0","","4","4","88","9","75","4","0"
"Hatfield Township","20,933","10","0","1","","4","5","234","35","196","3","0"
"Haverford Township","48,877","26","0","3","","7","16","580","92","477","11","1"
"Hawley","1,169","0","0","0","","0","0","0","0","0","0","0"
"Hazleton","25,023","119","3","7","","67","42","575","162","367","46","7"
"Heidelberg","1,244","2","0","0","","0","2","4","0","4","0","0"
"Heidelberg Township, Berks County","1,729","0","0","0","","0","0","12","3","8","1","0"
"Hellam Township","8,663","21","0","0","","0","21","76","16","53","7","2"
"Hellertown","5,844","9","0","0","","1","8","69","7","62","0","0"
"Hemlock Township","2,263","0","0","0","","0","0","152","3","148","1","0"
"Hempfield Township, Mercer County","3,755","4","0","0","","0","4","125","13","110","2","0"
"Hermitage","16,143","26","1","1","","5","19","435","53","374","8","1"
"Hickory Township","2,434","2","0","0","","0","2","16","2","14","0","0"
"Highland Township","1,279","0","0","0","","0","0","0","0","0","0","0"
"Highspire","2,372","12","0","0","","0","12","56","7","49","0","1"
"Hilltown Township","15,190","16","0","8","","3","5","181","34","144","3","0"
"Hollidaysburg","5,796","3","0","1","","2","0","67","5","62","0","0"
"Homer City","1,656","0","0","0","","0","0","9","3","5","1","0"
"Homestead","3,147","58","0","4","","27","27","222","43","173","6","0"
"Honesdale","4,271","1","0","0","","0","1","104","18","83","3","0"
"Honey Brook","1,766","1","0","0","","0","1","1","0","1","0","0"
"Hooversville","629","0","0","0","","0","0","2","1","1","0","0"
"Hop Bottom Borough","320","0","0","0","","0","0","0","0","0","0","0"
"Hopewell Township","12,610","13","0","0","","5","8","142","25","104","13","1"
"Horsham Township","26,481","18","0","3","","4","11","212","27","178","7","1"
"Houston","1,280","0","0","0","","0","0","4","2","2","0","0"
"Hughesville","2,129","3","0","1","","2","0","22","2","20","0","0"
"Hulmeville","1,007","1","0","0","","0","1","1","1","0","0","0"
"Hummelstown","4,515","11","0","0","","1","10","53","0","52","1","0"
"Independence Township, Beaver County","2,464","5","0","2","","0","3","21","3","12","6","0"
"Independence Township, Washington County","1,528","1","0","0","","0","1","16","2","13","1","0"
"Indiana","14,072","190","0","9","","11","170","269","44","221","4","1"
"Indiana Township","7,339","1","0","1","","0","0","23","4","19","0","0"
"Indian Lake","394","0","0","0","","0","0","0","0","0","0","0"
"Ingram","3,309","3","0","0","","0","3","23","8","15","0","0"
"Irwin","3,905","7","0","0","","0","7","44","18","24","2","0"
"Ivyland","1,062","0","0","0","","0","0","5","0","5","0","0"
"Jackson Township, Butler County","3,621","2","0","0","","0","2","18","15","3","0","0"
"Jackson Township, Cambria County","4,257","0","0","0","","0","0","12","4","8","0","0"
"Jackson Township, Luzerne County","4,605","0","0","0","","0","0","10","0","10","0","0"
"Jamestown","596","1","0","0","","0","1","14","1","13","0","0"
"Jeannette","9,450","14","0","0","","8","6","118","33","85","0","0"
"Jefferson Hills Borough","11,239","9","0","0","","1","8","72","16","51","5","1"
"Jefferson Township, Lackawanna County","3,776","0","0","0","","0","0","9","2","6","1","0"
"Jefferson Township, Mercer County","1,877","1","0","1","","0","0","12","2","8","2","0"
"Jefferson Township, Washington County","1,160","0","0","0","","0","0","1","1","0","0","0"
"Jenkins Township","4,477","4","0","1","","2","1","68","16","51","1","1"
"Jenkintown","4,441","4","0","0","","1","3","19","6","13","0","0"
"Jennerstown","683","0","0","0","","0","0","1","0","1","0","0"
"Jermyn","2,151","7","0","0","","0","7","28","9","19","0","0"
"Jessup","4,624","2","0","0","","0","2","16","3","13","0","0"
"Jim Thorpe","4,708","10","0","0","","1","9","84","7","75","2","3"
"Johnsonburg","2,425","2","0","0","","1","1","40","3","32","5","0"
"Johnstown","21,755","125","6","6","","32","81","808","287","502","19","2"
"Kane","3,653","6","0","3","","0","3","72","18","54","0","0"
"Kenhorst","2,871","2","0","0","","0","2","54","18","32","4","0"
"Kennett Square","6,143","7","0","0","","4","3","69","14","49","6","0"
"Kennett Township","7,899","0","0","0","","0","0","0","0","0","0","0"
"Kidder Township","1,951","6","0","0","","0","6","77","8","69","0","0"
"Kilbuck Township","701","0","0","0","","0","0","13","1","11","1","0"
"Kingston","13,049","20","0","0","","12","8","318","55","248","15","2"
"Kingston Township","7,002","11","0","1","","1","9","65","6","56","3","0"
"Kiskiminetas Township","4,699","0","0","0","","0","0","33","2","31","0","0"
"Kline Township","1,422","1","0","1","","0","0","39","11","28","0","0"
"Knox","1,133","2","0","1","","0","1","13","2","11","0","0"
"Koppel","753","7","0","0","","0","7","24","2","22","0","0"
"Kulpmont","2,878","5","0","0","","0","5","33","5","25","3","1"
"Kutztown","5,009","11","0","4","","7","0","97","11","85","1","0"
"Lake City","2,991","6","0","0","","1","5","39","2","36","1","0"
"Lamar Township","2,567","0","0","0","","0","0","8","1","7","0","0"
"Lancaster","59,325","403","6","68","","165","164","2,291","347","1,874","70","10"
"Lancaster Township, Butler County","2,534","11","0","3","","0","8","19","1","18","0","0"
