"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Rape(reviseddefinition)1","Rape(legacydefinition)2","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson"
"Sand Springs","19,456","34","0","16","","5","13","607","82","481","44","1"
"Sapulpa","20,896","56","2","9","","10","35","577","141","373","63","3"
"Sawyer","317","0","0","0","","0","0","1","1","0","0","0"
"Sayre","4,699","8","0","1","","0","7","50","12","33","5","1"
"Seiling","860","0","0","0","","0","0","19","6","13","0","0"
"Seminole","7,502","52","1","2","","1","48","306","69","212","25","1"
"Shawnee","31,237","261","1","29","","50","181","1,806","451","1,214","141","11"
"Skiatook","7,784","6","0","0","","0","6","102","22","76","4","1"
"Snyder","1,374","0","0","0","","0","0","6","1","4","1","0"
"South Coffeyville","775","2","0","0","","1","1","12","2","10","0","0"
"Sparks","170","0","0","0","","0","0","2","1","1","0","0"
"Spencer","4,050","10","0","1","","1","8","70","31","26","13","1"
"Spiro","2,179","1","0","0","","1","0","19","3","15","1","0"
"Stigler","2,783","3","0","1","","0","2","71","10","56","5","0"
"Stillwater","47,555","150","0","36","","27","87","1,310","237","1,021","52","12"
"Stilwell","4,032","12","0","1","","0","11","162","16","132","14","0"
"Stonewall","472","2","0","1","","0","1","6","2","3","1","0"
"Stratford","1,518","1","0","0","","1","0","8","3","2","3","0"
"Stringtown","399","0","0","0","","0","0","5","0","5","0","0"
"Stroud","2,714","3","0","1","","0","2","61","28","28","5","0"
"Sulphur","5,042","9","0","1","","1","7","66","23","41","2","1"
"Tahlequah","16,501","41","0","1","","11","29","685","83","587","15","0"
"Talihina","1,108","5","0","0","","0","5","28","14","12","2","0"
"Tecumseh","6,629","25","1","7","","0","17","191","68","108","15","0"
"The Village","9,336","27","1","2","","9","15","358","80","268","10","2"
"Tishomingo","3,072","2","0","1","","0","1","18","6","12","0","0"
"Tonkawa","3,140","13","0","2","","0","11","63","15","39","9","0"
"Tryon","487","0","0","0","","0","0","1","0","1","0","0"
"Tulsa","399,556","3,217","46","313","","920","1,938","20,304","5,500","12,494","2,310","138"
"Tushka","305","1","0","0","","0","1","5","2","2","1","0"
"Tuttle","6,482","10","0","0","","2","8","108","30","69","9","2"
"Valliant","750","0","0","0","","0","0","6","1","5","0","0"
"Verdigris","4,275","3","0","2","","0","1","19","7","11","1","0"
"Vian","1,400","4","0","0","","0","4","50","6","41","3","0"
"Wagoner","8,689","79","0","6","","7","66","377","95","272","10","3"
"Walters","2,572","0","0","0","","0","0","14","2","12","0","0"
"Warner","1,619","3","0","0","","0","3","9","4","3","2","0"
"Warr Acres","10,459","44","0","2","","12","30","401","89","275","37","0"
"Washington","639","0","0","0","","0","0","0","0","0","0","0"
"Watonga","2,973","7","0","2","","0","5","60","23","34","3","2"
"Waukomis","1,340","1","0","0","","0","1","17","1","14","2","0"
"Waurika","2,038","3","0","1","","0","2","10","3","6","1","0"
"Waynoka","948","0","0","0","","0","0","0","0","0","0","0"
"Weatherford","12,131","18","1","4","","1","12","215","51","139","25","2"
"Weleetka","1,002","3","0","1","","0","2","35","16","18","1","0"
"Westville","1,574","4","0","0","","0","4","41","10","31","0","0"
"Wetumka","1,244","4","0","0","","0","4","8","3","4","1","0"
"Wewoka","3,454","6","0","0","","0","6","42","14","27","1","0"
"Wilburton","2,735","7","0","2","","0","5","24","3","21","0","0"
"Wilson","1,734","12","0","1","","0","11","32","9","21","2","0"
"Woodward","12,980","48","0","11","","3","34","408","99","277","32","2"
"Wright City","752","0","0","0","","0","0","9","1","6","2","0"
"Wynnewood","2,196","0","0","0","","0","0","26","9","11","6","0"
"Yale","1,230","2","0","1","","0","1","35","13","16","6","1"
"Yukon","25,346","32","0","3","","6","23","455","72","358","25","1"
