"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Rape(reviseddefinition)1","Rape(legacydefinition)2","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson"
"Indian Point","518","0","0","0","","0","0","3","1","1","1","0"
"Iron Mountain Lake","707","4","0","0","","0","4","5","2","3","0","0"
"Ironton","1,416","0","0","0","","0","0","19","5","13","1","0"
"Jackson","14,535","21","0","1","","1","19","240","45","184","11","0"
"Jasper","903","6","0","1","","0","5","16","6","10","0","1"
"Jefferson City","43,372","133","1","6","","25","101","1,331","166","1,134","31","4"
"Jennings","14,762","214","0","21","","46","147","731","247","417","67","7"
"Jonesburg","740","3","0","0","","0","3","7","4","3","0","0"
"Joplin","50,751","261","3","48","","62","148","3,948","611","3,042","295","21"
"Kahoka","2,035","1","0","1","","0","0","4","0","4","0","0"
"Kansas City","468,417","5,862","78","390","","1,625","3,769","22,648","5,659","13,037","3,952","217"
"Kearney","9,191","11","0","6","","0","5","112","16","86","10","0"
"Kennett","10,912","96","2","4","","11","79","966","219","721","26","3"
"Kimberling City","2,308","8","0","0","","1","7","45","10","33","2","0"
"Kimmswick","158","1","0","0","","0","1","0","0","0","0","0"
"King City","1,020","1","0","0","","0","1","0","0","0","0","0"
"Kinloch","299","4","0","0","","0","4","22","8","12","2","2"
"Kirksville","17,594","66","1","3","","3","59","515","110","395","10","6"
"Kirkwood","27,610","35","0","8","","5","22","486","34","432","20","0"
"Knob Noster","2,801","3","0","0","","0","3","81","30","49","2","1"
"Ladue","8,569","4","0","0","","2","2","121","20","100","1","0"
"La Grange","930","7","0","0","","0","7","12","3","9","0","0"
"Lake Lotawana","1,954","1","0","1","","0","0","53","12","37","4","0"
"Lake Ozark","1,670","6","0","0","","0","6","61","4","53","4","0"
"Lakeshire","1,426","7","0","0","","1","6","15","7","7","1","0"
"Lake St. Louis","14,888","14","0","0","","2","12","302","20","279","3","0"
"Lake Tapawingo","729","0","0","0","","0","0","8","1","5","2","0"
"Lake Waukomis","899","2","0","0","","0","2","19","0","17","2","0"
"Lamar","4,504","14","0","6","","1","7","186","36","145","5","2"
"La Monte","1,130","0","0","0","","0","0","0","0","0","0","0"
"Lanagan","411","0","0","0","","0","0","0","0","0","0","0"
"La Plata","1,354","1","0","1","","0","0","7","2","3","2","1"
"Lathrop","2,052","17","0","0","","0","17","20","8","11","1","0"
"Laurie","931","7","0","0","","0","7","45","14","28","3","0"
"Lawson","2,422","1","0","0","","0","1","40","8","30","2","0"
"Leadington","406","4","0","0","","0","4","21","10","7","4","0"
"Leadwood","1,237","15","0","0","","0","15","28","6","22","0","0"
"Leasburg","330","0","0","0","","0","0","0","0","0","0","1"
"Lebanon","14,818","55","1","2","","1","51","631","74","535","22","2"
"Lee's Summit","93,594","82","2","19","","19","42","1,797","245","1,448","104","0"
"Liberal","749","1","0","0","","0","1","8","2","6","0","0"
"Liberty","30,316","64","0","7","","5","52","550","113","379","58","9"
"Licking","3,104","2","0","0","","0","2","64","11","52","1","0"
"Lincoln","1,191","2","0","0","","0","2","30","5","23","2","0"
"Linn","1,434","1","0","0","","0","1","7","1","6","0","0"
"Linn Creek","244","1","0","0","","0","1","6","0","6","0","0"
"Lone Jack","1,077","0","0","0","","0","0","8","2","6","0","0"
"Louisiana","3,355","6","0","1","","0","5","27","5","22","0","0"
"Lowry City","618","1","0","0","","0","1","0","0","0","0","0"
"Macon","5,511","16","0","6","","1","9","137","36","99","2","0"
"Malden","4,230","19","1","1","","2","15","77","27","48","2","0"
"Manchester","18,207","8","0","1","","3","4","289","14","271","4","1"
"Mansfield","1,270","3","0","0","","0","3","85","10","73","2","0"
"Maplewood","7,957","34","0","1","","9","24","564","25","514","25","0"
"Marble Hill","1,537","5","0","0","","0","5","22","6","14","2","0"
"Marceline","2,152","28","0","0","","0","28","25","10","11","4","0"
"Marionville","2,190","3","0","1","","0","2","62","1","60","1","0"
"Marshall","12,992","34","0","5","","4","25","335","59","264","12","1"
"Marshfield","6,814","22","0","0","","1","21","329","39","288","2","0"
"Marthasville","1,140","0","0","0","","0","0","5","1","4","0","0"
"Martinsburg","306","0","0","0","","0","0","0","0","0","0","0"
"Maryland Heights","27,428","61","0","15","","19","27","506","57","418","31","2"
"Maryville","12,076","15","0","1","","0","14","177","42","127","8","0"
"Matthews","642","2","0","0","","0","2","26","3","21","2","0"
"Maysville","1,107","3","0","0","","1","2","5","0","5","0","0"
"Memphis","1,867","1","0","0","","0","1","22","4","15","3","0"
"Merriam Woods","1,738","2","0","0","","0","2","2","2","0","0","0"
"Mexico","11,535","22","0","6","","0","16","374","60","303","11","0"
"Milan","1,862","5","0","0","","0","5","18","4","10","4","0"
