"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Rape(reviseddefinition)1","Rape(legacydefinition)2","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson3"
"Seekonk","14,568","20","0","2","","4","14","373","47","307","19","0"
"Sharon","18,177","0","0","0","","0","0","81","18","60","3","1"
"Shelburne","1,894","0","0","0","","0","0","11","5","6","0","0"
"Sherborn","4,280","5","0","0","","0","5","24","9","14","1","0"
"Shirley","7,716","4","0","0","","0","4","35","10","24","1","0"
"Shrewsbury","36,578","2","0","1","","1","0","209","52","152","5","0"
"Somerset","18,363","37","0","6","","4","27","286","43","230","13","0"
"Somerville","79,798","213","1","10","","58","144","1,224","192","923","109","4"
"Southampton","6,030","4","0","1","","0","3","30","5","25","0","0"
"Southborough","9,956","2","0","1","","0","1","45","16","28","1","0"
"Southbridge","16,858","62","0","11","","11","40","373","140","220","13","8"
"South Hadley","17,747","32","0","7","","4","21","237","66","159","12","2"
"Southwick","9,666","6","0","1","","0","5","89","24","64","1","0"
"Spencer","11,819","16","0","1","","0","15","160","33","118","9","0"
"Springfield","153,766","1,662","13","94","","583","972","5,903","1,793","3,478","632","55"
"Sterling","7,937","5","0","1","","0","4","84","32","52","0","0"
"Stockbridge","1,967","5","0","0","","1","4","33","11","21","1","0"
"Stoneham","21,905","21","0","0","","6","15","211","62","140","9","1"
"Stoughton","28,451","95","0","7","","17","71","482","96","358","28","0"
"Stow","7,010","2","0","1","","0","1","37","8","28","1","0"
"Sturbridge","9,467","28","0","4","","4","20","162","31","122","9","0"
"Sudbury","18,592","1","0","0","","0","1","59","23","36","0","0"
"Sutton","9,200","9","0","2","","0","7","118","54","58","6","1"
"Swampscott","14,028","18","0","1","","3","14","249","36","205","8","0"
"Swansea","16,177","33","1","3","","4","25","333","40","287","6","1"
"Taunton","56,277","208","0","15","","47","146","636","209","380","47","2"
"Tewksbury","30,461","86","0","8","","8","70","418","53","341","24","1"
"Townsend","9,279","14","0","1","","0","13","89","49","35","5","1"
"Truro","2,019","8","0","2","","0","6","19","8","11","0","1"
"Tyngsboro","12,263","15","0","0","","4","11","101","16","77","8","0"
"Upton","7,719","11","0","4","","0","7","49","17","31","1","0"
"Uxbridge","13,732","19","0","3","","3","13","164","42","117","5","0"
"Wakefield","26,394","43","0","5","","6","32","277","50","218","9","1"
"Wales","1,884","1","0","0","","0","1","9","1","8","0","0"
"Walpole","25,063","17","0","4","","2","11","332","37","291","4","0"
"Waltham","62,756","123","2","8","","22","91","747","109","607","31","1"
"Ware","9,838","35","0","4","","6","25","174","33","138","3","1"
"Wareham","22,585","114","0","13","","9","92","683","172","483","28","4"
"Watertown","33,353","31","0","3","","5","23","439","49","374","16","2"
"Wayland","13,592","6","0","0","","2","4","13","6","6","1","0"
"Webster","16,869","81","0","10","","8","63","347","78","251","18","4"
"Wellesley","29,412","14","0","1","","4","9","178","39","135","4","0"
"Wellfleet","2,737","4","0","0","","0","4","35","4","27","4","0"
"Wenham","5,114","4","0","2","","1","1","7","0","7","0","0"
