"City","Population","Violent crime","Murder and nonnegligent manslaughter","Forcible rape","Robbery","Aggravated assault","Property crime","Burglary","Larceny-theft","Motor vehicle theft","Arson1"
"Northfield","18,683","8","0","1","1","6","505","76","405","24","0"
"North Mankato","12,210","5","0","4","0","1","203","2","189","12","16"
"North Oaks","4,154","0","0","0","0","0","54","7","44","3","0"
"North St. Paul","11,672","33","0","9","7","17","545","63","417","65","5"
"Oakdale","27,743","63","0","12","21","30","1,124","148","875","101","8"
"Oak Park Heights","4,045","8","0","2","1","5","265","21","230","14","0"
"Olivia","2,513","4","0","0","0","4","81","19","60","2","0"
"Orono","11,894","8","0","1","1","6","120","17","94","9","0"
"Ortonville","2,072","3","0","0","0","3","15","4","7","4","0"
"Osseo","2,596","1","0","0","0","1","10","3","4","3","0"
"Owatonna","23,855","41","0","7","4","30","795","141","621","33","2"
"Park Rapids","3,432","9","0","2","0","7","240","48","172","20","2"
"Paynesville","2,270","1","0","0","0","1","45","8","36","1","0"
"Plymouth","70,233","65","0","14","17","34","1,629","336","1,230","63","17"
"Princeton","4,650","8","0","2","0","6","219","28","184","7","0"
"Prior Lake","21,419","32","0","7","6","19","507","90","373","44","1"
"Proctor","2,796","5","0","0","2","3","122","18","101","3","0"
"Ramsey","20,864","24","0","9","3","12","662","58","570","34","15"
"Red Wing","16,006","32","1","9","4","18","708","93","578","37","13"
"Redwood Falls","5,365","23","0","2","1","20","252","36","203","13","1"
"Richfield","34,123","143","0","23","63","57","1,430","266","1,047","117","14"
"Richmond","1,284","0","0","0","0","0","0","0","0","0","0"
"Robbinsdale","13,574","40","0","1","22","17","591","107","398","86","2"
"Rochester","93,866","261","0","51","71","139","2,465","421","1,917","127","29"
"Roseau","2,797","0","0","0","0","0","76","3","71","2","0"
"Rosemount","18,109","20","0","7","2","11","466","83","367","16","2"
"Roseville","32,899","44","2","6","16","20","1,523","164","1,210","149","2"
"Sartell","12,380","5","0","1","0","4","156","9","141","6","0"
"Sauk Centre","3,981","4","0","1","0","3","134","13","120","1","0"
"Sauk Rapids","11,452","9","1","1","0","7","222","32","170","20","1"
"Savage","25,875","42","0","4","5","33","666","122","519","25","3"
"Scanlon","844","0","0","0","0","0","0","0","0","0","0"
"Shakopee","29,504","55","1","10","7","37","1,019","171","800","48","4"
"Shoreview","27,159","8","0","2","1","5","389","47","321","21","4"
"Silver Bay","2,024","2","0","1","0","1","7","3","3","1","0"
"Silver Lake","792","1","0","0","0","1","17","7","9","1","0"
"Slayton","2,007","1","0","0","0","1","28","4","22","2","0"
"Sleepy Eye","3,547","0","0","0","0","0","26","8","15","3","0"
"South Eastern Faribault County","1,209","0","0","0","0","0","4","1","3","0","0"
"South Lake Minnetonka","12,201","12","0","2","1","9","191","33","151","7","3"
"Spring Grove","1,289","1","0","0","0","1","24","8","15","1","0"
"Spring Lake Park","6,852","28","0","2","10","16","384","76","263","45","0"
"Staples","3,108","4","0","1","1","2","130","17","109","4","0"
"St. Charles","3,473","1","0","0","0","1","31","3","26","2","0"
"St. Cloud","64,739","251","2","59","34","156","2,780","398","2,245","137","27"
"Stewart","555","1","0","0","0","1","6","1","2","3","0"
"St. Francis","6,972","20","0","9","0","11","223","46","159","18","0"
"Stillwater","17,278","17","0","4","4","9","513","89","389","35","7"
"St. James","4,528","12","0","3","0","9","126","8","111","7","0"
"St. Joseph","5,420","3","0","0","0","3","17","4","12","1","0"
"St. Louis Park","43,879","88","0","13","35","40","1,506","299","1,106","101","10"
"St. Paul","278,692","2,443","24","220","778","1,421","13,693","3,484","7,761","2,448","153"
"St. Paul Park","5,052","10","0","1","1","8","212","35","158","19","3"
"St. Peter","10,423","24","0","9","0","15","321","48","256","17","3"
"Thief River Falls","8,401","18","0","6","2","10","293","38","247","8","0"
