"City","Population","Violent crime","Murder and nonnegligent manslaughter","Forcible rape","Robbery","Aggravated assault","Property crime","Burglary","Larceny-theft","Motor vehicle theft","Arson1"
"Flushing Township","10,494","10","0","3","1","6","117","41","60","16","0"
"Forsyth Township","4,860","5","0","1","0","4","94","16","75","3","0"
"Fowlerville","3,134","6","0","2","0","4","61","11","45","5","0"
"Frankenmuth","4,808","2","0","0","1","1","72","14","58","0","0"
"Frankfort","1,503","0","0","0","0","0","36","6","30","0","0"
"Franklin","2,960","1","0","0","1","0","33","6","25","2","0"
"Fraser","15,142","25","2","4","2","17","427","50","333","44","1"
"Fremont","4,274","4","0","0","0","4","133","6","123","4","1"
"Frost Township","1,180","4","0","0","0","4","6","3","3","0","0"
"Fruitport","1,091","33","0","3","1","29","681","62","600","19","1"
"Garden City","29,334","100","0","8","22","70","760","174","475","111","5"
"Gaylord","3,730","13","0","2","1","10","228","53","163","12","2"
"Genesee Township","24,222","114","0","20","19","75","873","261","520","92","9"
"Gerrish Township","3,173","3","0","1","0","2","42","6","35","1","1"
"Gibraltar","5,099","5","0","1","0","4","116","10","94","12","0"
"Gladstone","5,270","9","0","4","0","5","197","15","178","4","1"
"Gladwin","3,030","12","0","0","1","11","129","30","98","1","1"
"Grand Beach","236","1","0","0","0","1","24","0","24","0","0"
"Grand Blanc","7,991","25","0","5","4","16","218","44","164","10","3"
"Grand Blanc Township","34,702","65","1","11","7","46","691","120","506","65","4"
"Grand Haven","10,742","24","0","6","5","13","377","43","318","16","7"
"Grand Ledge","7,814","11","0","1","0","10","182","21","158","3","4"
"Grand Rapids2","195,274","1,962","8","66","674","1,214","9,766","2,038","7,050","678","134"
"Grandville","16,694","38","1","10","11","16","903","88","797","18","3"
"Grayling","1,957","3","0","0","2","1","56","8","46","2","0"
"Green Oak Township","17,229","20","0","3","4","13","271","62","182","27","0"
"Greenville","8,289","30","0","8","2","20","413","70","328","15","2"
"Grosse Ile Township","10,756","5","0","0","1","4","79","13","64","2","2"
"Grosse Pointe","5,508","11","1","0","8","2","184","13","139","32","1"
"Grosse Pointe Farms","9,476","7","0","0","5","2","171","11","137","23","0"
"Grosse Pointe Park","12,074","20","0","1","13","6","339","34","222","83","0"
"Grosse Pointe Shores","2,745","0","0","0","0","0","3","1","2","0","0"
"Grosse Pointe Woods","16,559","8","0","0","4","4","254","22","199","33","0"
"Hamburg Township","21,769","11","0","4","1","6","211","61","131","19","5"
"Hampton Township","9,935","17","0","3","2","12","375","55","304","16","0"
"Hamtramck","22,259","308","2","13","165","128","1,524","438","442","644","11"
"Hancock","4,226","3","0","2","0","1","96","17","71","8","0"
"Harbor Beach","1,741","3","0","2","0","1","29","6","23","0","0"
"Harbor Springs","1,593","0","0","0","0","0","52","16","36","0","0"
"Harper Woods","13,826","98","1","5","60","32","1,396","130","919","347","5"
"Hart","2,007","7","0","2","1","4","116","12","102","2","1"
"Hartford","2,452","10","0","1","1","8","99","23","69","7","1"
"Hastings","7,157","15","0","4","0","11","233","14","216","3","3"
"Hazel Park","18,568","115","0","17","47","51","701","108","340","253","4"
"Hillsdale","8,033","8","0","3","0","5","189","28","150","11","0"
"Holland","34,634","139","0","46","8","85","1,177","204","934","39","9"
"Holly","6,352","14","0","3","2","9","129","26","97","6","1"
"Homer","1,831","4","0","0","0","4","16","4","11","1","0"
"Houghton","7,016","5","0","1","1","3","111","18","90","3","1"
"Howard City","1,619","15","0","9","1","5","69","9","58","2","0"
"Howell","9,742","17","0","7","0","10","291","36","241","14","2"
"Hudson","2,440","6","0","3","0","3","48","4","43","1","0"
"Hudsonville","7,097","10","0","0","2","8","108","23","82","3","1"
"Huntington Woods","6,003","2","0","0","1","1","79","8","62","9","0"
"Huron Township","14,980","38","0","5","4","29","353","87","203","63","1"
"Imlay City","3,858","9","0","2","1","6","119","11","106","2","2"
"Inkster","29,263","259","13","22","75","149","1,047","320","461","266","17"
"Ionia","12,369","27","0","11","1","15","236","36","192","8","0"
"Iron Mountain","8,002","12","0","5","0","7","199","18","178","3","6"
"Iron River","3,199","9","0","3","0","6","89","16","68","5","0"
"Ironwood","5,813","6","0","2","0","4","80","15","60","5","0"
"Ishpeming","6,549","15","2","5","0","8","170","12","143","15","1"
"Jackson","35,162","297","3","47","66","181","2,272","413","1,706","153","26"
"Jonesville","2,326","10","0","3","1","6","102","16","86","0","1"
"Kalamazoo","74,020","596","3","55","178","360","4,541","1,106","3,116","319","35"
"Kalamazoo Township","21,657","63","2","9","8","44","663","180","428","55","8"
"Kalkaska","2,224","1","0","1","0","0","149","15","130","4","4"
"Keego Harbor","2,729","10","0","0","4","6","56","3","50","3","1"
"Kentwood","46,576","166","0","36","40","90","1,759","368","1,303","88","8"
"Kinross Township","8,075","6","0","3","0","3","51","10","41","0","0"
"Laingsburg","1,241","4","0","0","0","4","35","4","30","1","1"
"Lake Orion","2,764","19","0","5","1","13","78","8","63","7","0"
"Lakeview","1,124","3","0","1","0","2","64","15","47","2","0"
"Lansing","117,036","1,407","8","115","254","1,030","4,745","1,129","3,204","412","43"
