"City","Population","Violent crime","Murder and nonnegligent manslaughter","Forcible rape","Robbery","Aggravated assault","Property crime","Burglary","Larceny-theft","Motor vehicle theft","Arson1"
"Pulaski Village","2,351","8","0","0","1","7","61","11","50","0","0"
"Quogue Village","1,119","0","0","0","0","0","36","18","17","1","0"
"Ramapo Town","74,747","85","1","4","20","60","717","114","560","43","1"
"Rensselaer City","7,880","18","1","1","6","10","245","60","179","6","0"
"Rhinebeck Village","3,134","0","0","0","0","0","26","3","23","0","0"
"Riverhead Town","34,332","146","0","8","66","72","1,003","166","815","22","0"
"Rochester","211,656","2,666","49","92","1,332","1,193","12,999","2,673","7,913","2,413","239"
"Rockville Centre Village","24,302","21","0","1","17","3","304","42","240","22","0"
"Rome","34,436","45","1","3","10","31","566","154","381","31","5"
"Rosendale Town","6,381","2","0","0","0","2","46","11","34","1","0"
"Rotterdam Town","29,160","38","0","2","18","18","833","143","671","19","1"
"Rouses Point Village","2,406","0","0","0","0","0","3","2","1","0","0"
"Rye","15,032","9","0","0","2","7","229","16","202","11","0"
"Sackets Harbor Village","1,422","0","0","0","0","0","13","2","11","0","2"
"Sag Harbor Village","2,374","8","0","1","1","6","44","13","26","5","0"
"Salamanca","5,867","25","0","2","2","21","288","58","222","8","2"
"Sands Point Village","2,846","3","0","0","0","3","11","4","7","0","0"
"Saranac Lake Village","4,936","11","0","0","1","10","110","26","83","1","0"
"Saratoga Springs","28,111","50","0","4","7","39","676","139","513","24","4"
"Saugerties Town","15,490","10","0","5","3","2","259","52","199","8","4"
"Saugerties Village","3,941","16","0","0","0","16","76","7","68","1","0"
"Scarsdale Village","17,811","5","0","0","4","1","163","21","135","7","1"
"Schenectady","61,444","712","6","52","309","345","3,449","1,119","1,994","336","42"
"Schodack Town","11,277","6","0","2","0","4","169","44","120","5","0"
"Schoharie Village","991","3","0","0","0","3","7","1","6","0","0"
"Scotia Village","7,979","15","0","1","6","8","207","22","181","4","0"
"Seneca Falls Village","6,855","11","0","0","1","10","31","8","22","1","0"
"Shandaken Town","3,168","4","0","0","0","4","68","16","49","3","1"
"Shawangunk Town","12,741","11","0","0","1","10","116","20","90","6","0"
"Shelter Island Town","2,450","0","0","0","0","0","58","11","47","0","0"
"Sherburne Village","1,450","1","0","0","0","1","45","6","38","1","0"
"Sherrill","3,172","2","0","0","1","1","17","5","12","0","0"
"Shortsville Village","1,301","0","0","0","0","0","1","0","1","0","0"
"Sidney Village","3,915","11","0","1","0","10","209","25","179","5","2"
"Silver Creek Village","2,871","9","0","0","0","9","46","7","37","2","0"
"Skaneateles Village","2,596","0","0","0","0","0","14","4","10","0","0"
"Sleepy Hollow Village","10,004","0","0","0","0","0","0","0","0","0","0"
"Sodus Village","1,677","2","0","0","1","1","43","5","38","0","0"
"Solvay Village","6,624","13","0","2","4","7","155","24","122","9","0"
"Southampton Town","50,311","79","0","7","21","51","990","241","691","58","2"
"Southampton Village","4,120","6","0","0","1","5","142","11","127","4","0"
"South Glens Falls Village","3,454","10","0","1","1","8","109","20","87","2","0"
"South Nyack Village","3,502","7","0","1","2","4","55","9","46","0","0"
"Spring Valley Village","25,423","181","1","6","69","105","413","93","284","36","1"
"Stillwater Town","6,324","4","0","0","0","4","28","7","19","2","1"
"Stony Point Town","14,950","5","0","0","3","2","103","9","88","6","0"
"Suffern Village","10,926","4","0","0","1","3","82","16","61","5"," "
"Syracuse","142,062","1,515","12","66","534","903","6,677","1,904","4,037","736","57"
"Tarrytown Village","11,376","4","0","0","2","2","100","13","82","5","0"
"Tonawanda","15,376","49","0","5","12","32","425","42","367","16","5"
"Tonawanda Town","58,720","165","0","11","55","99","1,145","229","841","75","2"
"Troy","48,439","373","1","18","120","234","2,279","614","1,482","183"," "
"Tuckahoe Village","6,273","6","0","1","1","4","33","1","31","1","0"
"Tupper Lake Village","3,866","13","0","3","0","10","97","15","76","6","0"
"Tuxedo Park Village","734","0","0","0","0","0","0","0","0","0","0"
"Tuxedo Town","2,978","3","0","0","0","3","5","1","3","1","0"
"Ulster Town","12,915","9","2","1","4","2","263","37","206","20","0"
"Utica","59,495","425","3","20","138","264","2,799","763","1,889","147","6"
"Vernon Village","1,174","1","0","1","0","0","17","2","14","1","0"
"Vestal Town","27,496","22","0","0","4","18","560","39","515","6","3"
"Walden Village","6,773","11","0","0","3","8","87","15","65","7","1"
"Wallkill Town","27,071","45","1","2","26","16","687","81","565","41","2"
"Walton Village","2,959","13","0","0","0","13","84","27","56","1","1"
"Wappingers Falls Village","5,099","10","0","0","4","6","146","19","125","2","3"
"Warsaw Village","3,711","7","0","0","0","7","111","14","95","2","0"
"Warwick Town","19,829","0","0","0","0","0","180","30","146","4","0"
"Washingtonville Village","6,253","1","0","0","1","0","91","7","80","4","0"
"Waterford Town & Village","8,746","8","0","1","0","7","90","18","68","4","1"
"Waterloo Village","5,148","12","0","0","1","11","255","22","227","6","0"
"Watertown","27,293","178","1","10","42","125","1,509","292","1,101","116","8"
"Watervliet","9,915","31","0","0","11","20","241","54","170","17","0"
"Watkins Glen Village","2,105","2","0","0","1","1","75","7","66","2","0"
"Waverly Village","4,505","2","0","0","0","2","143","26","112","5","1"
"Wayland Village","1,847","1","0","0","0","1","9","6","3","0","0"
"Webster Town & Village","41,120","24","0","1","12","11","623","76","514","33","1"
"Weedsport Village","1,975","0","0","0","0","0","54","0","54","0","1"
"Wellsville Village","4,786","29","1","0","1","27","177","24","149","4","2"
"West Carthage Village","2,164","2","0","0","0","2","17","1","16","0","0"
"Westfield Village","3,473","2","0","0","0","2","54","7","44","3","0"
"Westhampton Beach Village","1,962","1","0","1","0","0","95","10","85","0","0"
"West Seneca Town","44,829","66","0","4","23","39","932","178","711","43"," "
"Whitehall Village","2,655","1","0","0","0","1","51","18","30","3","0"
"White Plains","56,885","157","1","6","48","102","1,181","69","1,077","35","1"
"Whitesboro Village","3,864","14","0","0","2","12","41","6","34","1","0"
"Whitestown Town","9,230","1","0","0","0","1","40","6","33","1","1"
"Windham Town","1,868","0","0","0","0","0","47","11","36","0","0"
"Woodbury Town","10,266","3","0","0","0","3","153","8","139","6","0"
"Woodridge Village","1,050","0","0","0","0","0","3","2","1","0","2"
"Woodstock Town","6,268","6","0","0","1","5","84","28","56","0","1"
"Yonkers","196,951","978","8","31","498","441","3,502","651","2,400","451","33"
