"City","Population","Violent crime","Murder and nonnegligent manslaughter","Forcible rape","Robbery","Aggravated assault","Property crime","Burglary","Larceny-theft","Motor vehicle theft","Arson1"
"Scottsburg","6,100","51","0","0","8","43","442","80","350","12","0"
"Seymour","19,015","104","0","7","8","89","1,306","119","1,121","66","1"
"South Bend","105,959","805","14","67","430","294","7,411","1,930","4,895","586","86"
"South Whitley","1,859","3","0","0","0","3","31","10","19","2","1"
"Speedway","12,490","77","2","6","52","17","547","71","373","103","0"
"St. John","10,854","5","1","0","0","4","188","12","160","16","0"
"Tell City","7,741","2","0","1","0","1","178","39","137","2","2"
"Terre Haute","57,270","173","2","27","91","53","5,373","1,024","3,854","495","32"
"Tipton","5,289","0","0","0","0","0","131","32","98","1","0"
"Valparaiso","29,295","102","0","7","4","91","1,030","93","889","48","3"
"Vincennes","18,197","25","0","5","7","13","1,188","268","860","60","3"
"Wabash","11,283","7","1","1","3","2","203","70","125","8","0"
"Warsaw","12,819","10","0","4","6","0","694","113","557","24","2"
"Waterloo","2,213","12","0","1","0","11","81","21","51","9","0"
"Westfield2","24,075","14","0","3","4","7","493","60","405","28","3"
"West Lafayette","28,788","73","0","14","5","54","487","71","398","18","0"
"Whiting","4,925","9","0","0","6","3","194","30","142","22","4"
"Winchester","4,877","9","0","2","0","7","266","43","208","15","2"
"Winona Lake","4,263","5","0","1","0","4","30","8","21","1","0"
