"City","Population","Violent crime","Murder and nonnegligent manslaughter","Forcible rape","Robbery","Aggravated assault","Property crime","Burglary","Larceny-theft","Motor vehicle theft","Arson1"
"Boulder City","15,684","19","1","2","5","11","254","106","126","22","3"
"Carlin","2,153","31","0","0","0","31","32","18","9","5","0"
"Elko","17,243","47","0","7","8","32","609","135","422","52","8"
"Fallon","8,374","18","0","0","4","14","435","62","347","26","0"
"Henderson","239,906","588","5","63","237","283","6,674","1,600","3,614","1,460","88"
"Las Vegas Metropolitan Police Department","1,315,625","12,931","152","718","5,381","6,680","61,405","14,913","26,815","19,677","391"
"Lovelock","1,941","8","0","0","0","8","40","17","20","3","0"
"Mesquite","13,975","31","1","2","3","25","360","15","290","55","0"
"North Las Vegas","182,540","1,695","22","57","584","1,032","8,617","2,523","3,456","2,638","58"
"Reno","210,354","1,478","23","100","523","832","10,797","2,105","7,061","1,631","37"
"Sparks","84,794","380","3","40","124","213","3,452","893","2,104","455","20"
"West Wendover","5,132","17","1","2","4","10","200","49","133","18","3"
"Winnemucca","7,984","18","1","2","3","12","110","32","63","15","8"
"Yerington","3,603","0","0","0","0","0","49","35","14","0","0"
