"City","Population","Violent crime","Murder and nonnegligent manslaughter","Forcible rape","Robbery","Aggravated assault","Property crime","Burglary","Larceny-theft","Motor vehicle theft","Arson1"
"Mayfield Heights","18,402","8","0","1","3","4","377","13","347","17","0"
"Mayfield Village","3,246","3","2","0","0","1","63","7","56","0","1"
"McComb","1,690","6","0","0","1","5","37","6","31","0","1"
"Mentor","51,548","42","0","5","15","22","1,167","154","948","65","11"
"Mentor-on-the-Lake","8,303","4","0","2","2","0","66","16","48","2","1"
"Miamisburg","19,820","54","0","10","20","24","826","129","620","77","9"
"Miami Township","39,327","25","0","6","7","12","823","140","655","28","3"
"Middlefield","2,414","2","0","1","0","1","55","7","46","2","0"
"Middletown","51,535","213","1","37","80","95","4,021","860","3,009","152","17"
"Milford2","6,333","12","0","4","6","2","316","25","271","20","0"
"Millersburg","3,586","5","0","2","0","3","81","16","65","0","0"
"Milton Township","2,908","2","0","1","0","1","68","14","44","10","0"
"Minerva","3,981","24","0","0","4","20","189","37","149","3","0"
"Mingo Junction","3,430","26","0","0","1","25","69","21","43","5","0"
"Mogadore","3,971","1","0","0","0","1","52","16","35","1","1"
"Monroe","12,892","54","0","2","9","43","716","118","574","24","2"
"Montgomery","10,027","6","0","2","2","2","254","31","215","8","2"
"Montpelier","4,140","14","0","4","2","8","249","43","199","7","1"
"Montville Township","7,032","3","0","0","2","1","72","17","52","3","0"
"Mount Gilead","3,551","1","0","0","1","0","127","25","99","3","1"
"Mount Healthy","6,608","10","0","2","4","4","115","12","94","9","1"
"Mount Sterling","1,842","9","0","0","0","9","109","15","91","3","0"
"Napoleon","9,180","9","0","3","0","6","478","71","397","10","2"
"Navarre","1,433","2","0","1","1","0","46","21","22","3","0"
"New Albany","5,834","0","0","0","0","0","77","7","63","7","0"
"New Bremen","2,997","0","0","0","0","0","58","4","54","0","0"
"Newcomerstown","3,957","9","0","0","0","9","131","18","103","10","1"
"New Franklin","14,978","8","0","4","2","2","159","45","104","10","1"
"New Lebanon","4,213","8","0","3","3","2","134","39","87","8","0"
"New London","2,671","1","0","1","0","0","47","17","26","4","0"
"New Middletown","1,622","0","0","0","0","0","26","11","14","1","2"
"New Richmond","2,466","9","0","4","3","2","150","27","119","4","0"
"Newtown","3,696","0","0","0","0","0","57","3","50","4","0"
"North Canton","16,800","13","0","1","7","5","342","66","267","9","2"
"North College Hill","9,370","62","0","6","36","20","514","107","385","22","4"
"North Olmsted","32,693","31","0","2","16","13","530","93","386","51","5"
"North Ridgeville","26,140","37","0","8","7","22","396","108","276","12","2"
"Northwood","5,506","10","0","1","3","6","313","44","258","11","6"
"Oakwood","8,760","10","0","2","1","7","172","25","133","14","0"
"Oberlin","8,290","17","0","4","9","4","166","35","130","1","2"
"Olmsted Falls","8,447","9","0","1","3","5","112","18","78","16","1"
"Ontario","5,357","8","0","0","6","2","630","21","598","11","0"
"Oregon","19,198","30","0","3","9","18","926","116","772","38","1"
"Orrville","8,495","15","0","8","2","5","194","26","158","10","5"
"Ottawa Hills","4,614","2","0","0","0","2","49","12","36","1","1"
"Oxford","22,150","114","0","14","11","89","595","122","460","13","7"
"Parma","81,568","113","0","14","47","52","1,699","496","1,049","154","18"
"Parma Heights","20,682","25","0","4","7","14","441","108","304","29","9"
"Perrysburg","17,001","19","0","3","2","14","435","50","367","18","1"
"Perry Township, Franklin County","3,617","1","0","1","0","0","90","15","74","1","0"
"Perry Township, Montgomery County","3,767","3","0","1","0","2","48","21","20","7","0"
"Perry Township, Stark County","28,592","59","1","3","14","41","742","174","510","58","4"
"Pickerington","15,897","20","0","1","10","9","390","50","327","13","2"
"Pierce Township","10,809","11","0","7","2","2","428","120","296","12","5"
"Piqua","20,908","45","1","18","19","7","1,302","242","1,024","36","8"
"Plain City","3,466","1","0","1","0","0","31","6","24","1","1"
"Poland Village","2,753","1","0","0","0","1","24","7","17","0","0"
"Port Clinton","6,344","6","0","4","2","0","233","51","177","5","0"
"Powhatan Point","1,705","1","0","0","0","1","5","3","2","0","0"
"Ravenna","11,524","10","0","1","4","5","444","72","359","13","1"
"Reading","10,333","35","0","7","17","11","416","48","309","59","2"
"Reminderville","2,515","2","0","0","0","2","15","3","10","2","0"
"Reynoldsburg","33,099","107","1","17","60","29","1,233","290","868","75","5"
