"Criminal Justice Information Services Division","Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home"
"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Rape(reviseddefinition)1","Rape(legacydefinition)2","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson3"
"Fairfax","1,692","1","0","0","","1","0","239","8","230","1","0"
"Fairfield","42,677","120","1","12","","37","70","1,100","174","880","46","8"
"Fairfield Township","21,781","25","0","2","","9","14","942","116","814","12","2"
"Fairport Harbor","3,097","10","0","","1","1","8","132","44","82","6","1"
"Findlay","41,660","75","1","12","","18","44","1,452","221","1,204","27","3"
"Forest Park","18,672","30","0","2","","27","1","468","87","350","31","1"
"Fort Recovery","1,422","0","0","0","","0","0","11","7","4","0","0"
"Franklin Township","9,639","5","0","0","","2","3","108","22","84","2","0"
"Fredericktown","2,469","0","0","0","","0","0","51","9","41","1","0"
"Fremont","16,515","42","0","","1","14","27","959","155","787","17","1"
"Gahanna","34,011","23","1","7","","8","7","714","136","563","15","5"
"Galion","10,202","22","0","3","","8","11","589","173","406","10","0"
"Gallipolis","3,634","4","0","0","","1","3","341","31","306","4","1"
"Gates Mills","2,256","0","0","","0","0","0","17","1","15","1","0"
"Georgetown","4,458","3","0","2","","0","1","117","20","96","1","0"
"Germantown","5,520","1","0","0","","0","1","42","7","34","1","0"
"German Township, Clark County","7,006","3","0","0","","3","0","132","26","106","0","0"
"German Township, Montgomery County","2,893","0","0","0","","0","0","49","18","31","0","0"
"Girard","9,771","35","0","1","","3","31","271","80","181","10","1"
"Goshen Township, Mahoning County","3,178","8","0","0","","0","8","110","30","73","7","0"
"Grafton","5,716","4","0","1","","0","3","17","7","9","1","0"
"Grandview Heights","7,052","8","1","0","","5","2","135","30","99","6","1"
"Greenfield","4,538","4","0","2","","0","2","204","39","159","6","0"
"Greenhills","3,591","1","0","0","","0","1","36","9","27","0","0"
"Greenville","13,064","34","0","","6","13","15","551","174","362","15","5"
"Grove City","37,208","40","1","5","","29","5","1,270","149","1,075","46","4"
"Groveport","5,598","3","0","0","","1","2","165","29","127","9","0"
"Hamilton","62,268","378","6","","52","189","131","3,925","1,036","2,687","202","39"
"Hamilton Township, Warren County","21,701","4","0","1","","0","3","212","36","171","5","0"
"Harrison","10,157","3","0","","1","1","1","245","23","217","5","1"
"Hartville","2,944","0","0","0","","0","0","51","13","36","2","0"
"Heath","10,410","20","0","10","","1","9","599","66","511","22","4"
"Hebron","2,354","1","0","1","","0","0","33","6","27","0","0"
"Highland Heights","8,277","6","0","","1","3","2","100","7","89","4","0"
"Hilliard","31,352","26","1","","8","8","9","719","127","565","27","5"
"Hillsboro","6,495","9","0","4","","2","3","310","35","269","6","0"
"Hinckley Township","7,777","2","0","2","","0","0","64","23","40","1","1"
"Holland","1,758","8","0","0","","5","3","257","9","246","2","0"
"Howland Township","17,084","22","0","2","","2","18","519","128","373","18","0"
"Hubbard","7,758","5","0","1","","1","3","136","36","93","7","1"
"Hubbard Township","5,559","7","0","0","","1","6","145","58","83","4","0"
"Huber Heights","38,118","61","2","10","","32","17","1,376","212","1,118","46","10"
"Hudson","22,340","3","0","0","","2","1","132","13","114","5","2"
"Hunting Valley","710","0","0","","0","0","0","0","0","0","0","0"
"Independence","7,140","4","0","1","","1","2","155","16","139","0","0"
"Indian Hill","5,789","2","0","0","","0","2","52","14","38","0","0"
"Jackson","6,314","7","0","2","","2","3","244","17","218","9","2"
"Jackson Center","1,450","0","0","0","","0","0","23","8","12","3","0"
"Jackson Township, Montgomery County","3,686","0","0","0","","0","0","28","11","15","2","0"
"Jackson Township, Stark County","40,436","43","0","9","","13","21","1,360","158","1,179","23","2"
"Johnstown","4,862","3","0","1","","1","1","89","3","86","0","0"
"Kent","30,121","56","0","5","","26","25","661","134","511","16","4"
"Kenton","8,171","13","1","2","","3","7","348","75","271","2","0"
"Kettering","55,907","53","1","24","","15","13","1,287","337","890","60","0"
"Kirtland","6,851","0","0","0","","0","0","36","2","32","2","0"
"Kirtland Hills","643","0","0","0","","0","0","2","0","2","0","0"
"Lawrence Township","8,217","9","0","4","","0","5","82","33","43","6","0"
"Lebanon","20,480","20","0","7","","7","6","407","45","348","14","0"
"Liberty Township","11,885","21","0","6","","9","6","178","67","104","7","0"
"Lima","38,214","366","3","","42","78","243","1,932","582","1,255","95","26"
"Lithopolis","1,203","0","0","0","","0","0","6","1","5","0","0"
"Lockland","3,426","21","0","3","","11","7","160","44","98","18","0"
"Lodi","2,778","1","0","","0","0","1","53","3","48","2",""
"Logan","7,153","7","1","1","","5","0","337","48","279","10","0"
"London","9,867","16","0","3","","4","9","252","69","179","4","1"
"Lorain","63,582","304","6","30","","161","107","2,791","928","1,784","79","36"
"Loudonville","2,616","0","0","0","","0","0","42","7","34","1","0"
"Louisville","9,143","6","0","0","","2","4","184","59","119","6","0"
"Loveland","12,236","7","1","4","","0","2","126","18","107","1","1"
"Lowellville","1,129","0","0","0","","0","0","14","6","8","0","0"
"Lyndhurst","13,769","5","0","2","","0","3","0","0","0","0","0"
"Madeira","8,837","0","0","0","","0","0","32","8","23","1","1"
"Mansfield","46,832","169","0","33","","82","54","3,167","982","2,111","74","25"
"Mariemont","3,379","0","0","","0","0","0","52","6","46","0","0"
"Marietta","14,013","19","0","5","","6","8","186","15","164","7","0"
"Martins Ferry","6,805","10","0","4","","3","3","67","10","55","2","0"
"Marysville","22,031","12","0","1","","2","9","426","59","359","8","4"
"Mason","31,204","11","0","2","","6","3","421","58","350","13","1"
"Massillon","32,159","69","0","14","","31","24","975","249","695","31","9"
"Matamoras","887","0","0","0","","0","0","27","6","21","0","1"
"Maumee","14,081","11","0","4","","3","4","524","61","444","19","0"
"McArthur","1,676","0","0","0","","0","0","28","7","19","2","0"
"McConnelsville","1,810","1","0","0","","1","0","20","7","13","0","0"
"Medina","26,492","19","1","6","","5","7","436","54","382","0","2"
"Medina Township","8,706","4","0","2","","1","1","191","10","180","1","0"
"Mentor","46,979","43","0","","20","11","12","1,059","151","868","40","4"
"Miamisburg","20,151","19","0","4","","8","7","672","151","496","25","1"
"Miami Township, Clermont County","41,389","21","1","2","","8","10","757","121","619","17","3"
"Miami Township, Montgomery County","29,128","37","1","12","","5","19","1,213","130","1,057","26","2"
"Middlefield","2,707","4","0","0","","0","4","47","0","46","1","0"
"Middleport","2,506","3","0","0","","0","3","24","9","14","1","0"
"Middletown","48,691","301","0","","39","75","187","3,974","972","2,907","95","8"
"Mifflin Township","2,574","13","1","1","","6","5","122","43","73","6","1"
"Milford","6,671","6","0","0","","1","5","351","45","303","3","0"
"Millersburg","3,084","3","0","1","","1","1","130","7","119","4","2"
"Minerva Park","1,297","1","0","1","","0","0","29","10","19","0","0"
"Monroe","15,284","61","0","8","","5","48","627","91","525","11","1"
"Monroeville","1,392","0","0","0","","0","0","26","4","20","2","0"
"Montgomery","10,305","3","0","0","","1","2","164","15","147","2","0"
"Montpelier","4,050","22","0","3","","2","17","228","32","194","2","1"
"Montville Township","11,399","3","0","0","","2","1","82","14","68","0","0"
"Moraine","6,317","30","1","4","","13","12","720","93","610","17","3"
"Moreland Hills","3,302","0","0","","0","0","0","11","3","8","0","0"
"Mount Vernon","16,748","14","0","0","","6","8","895","102","792","1","0"
"Napoleon","8,663","5","0","2","","1","2","310","44","265","1","2"
"Navarre","1,937","0","0","0","","0","0","35","8","24","3","0"
"Nelsonville","5,334","13","0","2","","2","9","201","39","157","5","0"
"New Albany","8,772","2","0","0","","0","2","99","24","75","0","2"
"Newark","47,702","67","0","18","","26","23","2,370","573","1,723","74","30"
"New Boston","2,227","1","0","0","","0","1","158","16","134","8","0"
"Newcomerstown","3,790","19","0","","2","2","15","103","19","81","3","0"
"New Concord","2,489","1","0","0","","0","1","4","0","4","0","0"
"New Franklin","14,232","5","0","2","","2","1","70","19","49","2","0"
"New Lebanon","3,992","1","0","0","","0","1","149","45","100","4","2"
"New Lexington","4,749","13","0","2","","2","9","183","37","145","1","2"
"New London","2,426","0","0","0","","0","0","21","5","16","0","0"
"New Philadelphia","17,294","8","0","1","","2","5","286","14","269","3","0"
"Newtown","2,664","2","0","1","","1","0","33","5","26","2","0"
"Niles","18,950","51","0","2","","30","19","936","196","712","28","2"
"North Canton","17,380","12","0","2","","8","2","350","58","280","12","1"
"North College Hill","9,340","24","0","0","","16","8","417","102","292","23","0"
"North Ridgeville","30,905","14","0","3","","5","6","266","76","185","5","2"
"Northwood","5,370","9","0","3","","4","2","214","53","155","6","0"
"Norton","12,012","7","0","1","","2","4","226","63","155","8","0"
"Norwalk","16,906","19","0","6","","6","7","542","85","454","3","0"
"Norwood","19,052","62","0","6","","37","19","1,261","296","925","40","3"
"Oak Harbor","2,750","3","0","1","","0","2","50","23","26","1","0"
"Oak Hill","1,520","0","0","0","","0","0","36","2","33","1","0"
"Oberlin","8,305","12","0","4","","4","4","192","48","142","2","0"
"Obetz","4,657","4","0","0","","3","1","154","28","114","12","0"
"Olmsted Falls","8,910","1","0","","0","0","1","38","3","35","0","0"
"Olmsted Township","13,303","5","0","","0","1","4","105","28","73","4","2"
"Ontario","6,137","7","0","2","","2","3","662","23","632","7","0"
"Oregon","20,188","26","0","6","","9","11","786","145","611","30","4"
"Orrville","8,400","7","0","","4","1","2","122","28","94","0","0"
"Ottawa Hills","4,481","5","0","0","","2","3","32","9","20","3","0"
"Oxford","21,338","47","0","","3","9","35","578","120","445","13","7"
"Painesville","19,655","45","0","7","","32","6","509","138","362","9","3"
"Parma Heights","20,395","17","0","5","","4","8","437","85","340","12","4"
"Paulding","3,521","0","0","0","","0","0","16","1","15","0","0"
"Perrysburg","21,279","5","0","","3","1","1","315","30","274","11","0"
"Perrysville","719","0","0","0","","0","0","21","3","18","0","0"
"Perry Township, Columbiana County","4,487","1","0","0","","0","1","4","1","3","0","0"
"Perry Township, Franklin County","3,727","0","0","0","","0","0","45","8","37","0","0"
"Perry Township, Montgomery County","3,347","0","0","0","","0","0","25","12","8","5","1"
"Pierce Township","11,360","3","0","1","","2","0","316","55","257","4","0"
"Pioneer","1,373","1","0","0","","1","0","24","2","22","0","0"
"Piqua","20,656","33","0","18","","14","1","1,041","213","805","23","4"
"Poland Township","12,227","3","0","1","","0","2","51","20","29","2","0"
"Poland Village","2,510","0","0","0","","0","0","17","0","17","0","0"
"Port Clinton","6,046","16","0","6","","2","8","153","34","117","2","0"
"Portsmouth","20,322","89","0","9","","32","48","1,578","362","1,165","51","2"
"Powell","12,093","2","0","0","","0","2","83","17","64","2","1"
"Powhatan Point","1,574","1","0","0","","0","1","18","1","17","0","0"
"Reminderville","3,688","2","0","","0","1","1","25","8","14","3","0"
"Richfield","3,651","0","0","","0","0","0","32","5","23","4","1"
"Richmond Heights","10,470","13","0","0","","10","3","327","54","250","23","1"
"Richwood","2,240","3","0","1","","0","2","64","12","49","3","0"
"Rio Grande","758","1","0","0","","0","1","6","2","4","0","0"
"Rittman","6,505","7","0","1","","3","3","137","29","99","9",""
"Riverside","25,115","44","1","9","","20","14","619","186","387","46","9"
"Rocky Ridge","414","0","0","","0","0","0","0","0","0","0","0"
"Roseville","1,854","2","0","0","","0","2","26","2","23","1","0"
"Rossford","6,426","3","0","1","","1","1","129","22","106","1","2"
"Russell Township","5,216","1","0","","0","0","1","14","2","12","0","0"
"Sabina","2,546","2","0","1","","1","0","78","23","53","2","0"
"Sagamore Hills","10,988","8","0","","0","3","5","76","16","59","1","0"
"Salem","12,115","6","1","0","","1","4","247","27","214","6","0"
"Salineville","1,289","2","0","1","","0","1","38","23","15","0","0"
"Sandusky","25,401","78","0","5","","28","45","1,143","303","819","21","3"
"Sebring","4,337","9","0","2","","2","5","107","22","84","1","2"
"Seven Hills","11,699","5","0","0","","3","2","48","15","32","1","0"
"Shaker Heights","27,920","41","0","2","","34","5","644","234","361","49","0"
"Shawnee Township","12,247","0","0","0","","0","0","160","26","131","3","2"
"Sheffield Lake","9,050","5","0","2","","2","1","115","32","82","1","0"
"Shelby","9,131","11","0","6","","4","1","365","80","280","5","3"
"Sidney","20,980","34","0","8","","17","9","1,235","271","943","21","5"
"Silverton","4,770","17","0","","5","3","9","134","40","78","16","1"
"Solon","23,105","7","0","2","","2","3","257","43","201","13","2"
"South Bloomfield","1,778","0","0","0","","0","0","38","9","25","4","0"
"South Charleston","1,675","0","0","0","","0","0","28","7","19","2","0"
"South Euclid","21,929","31","0","0","","22","9","472","149","308","15","2"
"South Point","3,959","8","0","0","","0","8","52","14","38","0","0"
"South Russell","3,825","0","0","","0","0","0","13","0","13","0","0"
"Spencerville","2,198","1","0","0","","0","1","41","15","26","0","0"
"Springboro","17,711","11","0","4","","1","6","198","37","154","7","0"
"Springdale","11,192","41","0","6","","24","11","774","89","654","31","1"
"Springfield","60,012","427","6","46","","208","167","4,463","1,304","2,923","236","72"
"Springfield Township, Hamilton County","36,330","74","4","3","","44","23","841","254","530","57","3"
"Springfield Township, Mahoning County","6,583","6","0","1","","0","5","88","35","50","3","1"
"Springfield Township, Summit County","17,630","23","0","4","","9","10","1,088","180","900","8","3"
"St. Clair Township","7,838","2","0","0","","1","1","28","0","28","0","0"
"Stow","34,625","23","0","","17","3","3","710","91","616","3","7"
"Strasburg","2,619","1","0","0","","0","1","36","3","32","1","0"
"Streetsboro","16,115","10","0","0","","2","8","70","1","68","1","0"
"Strongsville","44,583","27","0","3","","4","20","746","63","663","20","2"
"Struthers","10,522","11","0","2","","1","8","167","34","130","3","0"
"Sugarcreek Township","8,187","9","0","4","","0","5","279","24","253","2","3"
"Sylvania Township","29,363","15","0","0","","11","4","601","88","479","34","0"
"Tallmadge","17,501","21","2","","7","5","7","355","71","274","10",""
"Tipp City","9,799","9","0","4","","3","2","189","37","147","5","1"
"Toledo4","283,035","2,902","28","129","","962","1,783","","5,357","","1,064",""
"Toronto","4,937","9","0","3","","0","6","8","3","5","0","0"
"Trotwood","24,282","110","1","11","","48","50","1,242","508","646","88","9"
"Troy","25,424","19","0","3","","9","7","791","158","608","25","2"
"Twinsburg","18,750","9","1","3","","1","4","132","20","104","8","0"
"Uhrichsville","5,389","1","0","0","","0","1","116","24","89","3","1"
"Union","6,393","7","0","1","","2","4","157","52","102","3","1"
"Uniontown","3,316","0","0","0","","0","0","80","21","54","5","0"
"University Heights","13,416","23","0","","3","11","9","280","51","223","6","0"
"Upper Arlington","34,369","10","0","1","","7","2","445","87","355","3","1"
"Upper Sandusky","6,640","4","0","1","","1","2","136","16","119","1","0"
"Urbana","11,599","20","0","4","","5","11","382","60","319","3","5"
"Utica","2,129","3","0","1","","0","2","71","12","54","5","0"
"Vandalia","15,181","22","0","5","","11","6","339","71","236","32","4"
"Van Wert","10,852","21","1","3","","1","16","392","81","309","2","1"
"Vermilion","10,482","11","0","","2","3","6","138","74","61","3","1"
"Village of Leesburg","1,290","0","0","0","","0","0","34","6","26","2","0"
"Wadsworth","21,758","18","0","8","","3","7","463","68","387","8","0"
"Waite Hill","470","0","0","0","","0","0","2","2","0","0","0"
"Walbridge","3,065","2","0","1","","0","1","15","4","11","0","0"
"Walton Hills","2,250","0","0","","0","0","0","25","4","21","0",""
"Wapakoneta","9,812","9","0","2","","0","7","177","10","165","2","0"
"Warren","40,474","263","7","24","","128","104","1,911","734","1,047","130","5"
"Warren Township","5,450","11","0","3","","2","6","164","61","98","5","0"
"Washington Court House","14,083","24","0","5","","10","9","682","156","521","5","0"
"Waterville","5,496","5","0","3","","0","2","56","10","46","0","0"
"Wauseon","7,301","8","0","1","","0","7","206","8","198","0","0"
"Waverly","4,317","0","0","0","","0","0","108","10","97","1","0"
"Weathersfield","8,241","14","0","2","","5","7","221","81","134","6","0"
"Wellston","5,577","12","0","3","","2","7","261","63","186","12","0"
"Wells Township","2,755","3","0","1","","0","2","63","21","40","2","0"
"West Alexandria","1,355","0","0","0","","0","0","19","3","16","0","0"
"West Carrollton","13,079","29","2","","7","15","5","393","110","248","35",""
"West Chester Township","59,435","43","1","10","","15","17","1,399","221","1,149","29","13"
"Westerville","37,363","13","0","5","","6","2","846","93","744","9","17"
"West Jefferson","4,192","2","0","0","","1","1","103","15","79","9","2"
"West Lafayette","2,303","0","0","0","","0","0","20","7","12","1","0"
"West Liberty","1,784","2","0","0","","0","2","10","2","7","1","0"
"Whitehall","18,480","127","2","9","","73","43","1,341","381","888","72","8"
"Whitehouse","4,325","3","0","2","","0","1","22","8","12","2","0"
"Williamsburg","2,514","5","0","0","","2","3","82","15","65","2","0"
"Willoughby","22,374","14","0","","3","4","7","492","50","422","20","0"
"Wintersville","3,820","3","0","0","","0","3","63","9","53","1","0"
"Woodlawn","3,283","12","1","0","","2","9","115","17","94","4","3"
"Woodmere Village","871","4","0","","0","3","1","35","4","31","0","0"
"Wooster","26,468","42","0","12","","15","15","981","196","760","25","17"
"Worthington","13,817","5","0","0","","2","3","384","123","256","5","1"
"Wyoming","8,387","2","0","0","","0","2","171","54","109","8","1"
"Xenia","26,038","55","1","12","","21","21","1,049","212","812","25","6"
"Yellow Springs","3,539","3","0","1","","0","2","25","11","14","0","0"
"Youngstown","64,938","526","14","26","","168","318","3,570","1,671","1,602","297","28"
"Zanesville","25,378","103","1","16","","38","48","1,601","286","1,283","32","8"
