"Criminal Justice Information Services Division","Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home"
"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Rape(reviseddefinition)1","Rape(legacydefinition)2","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson"
"Hanover Township","13,951","11","0","","0","4","7","135","26","105","4","1"
"Harding Township","3,892","1","0","","0","0","1","18","13","5","0","0"
"Hardyston Township","8,049","5","0","","0","0","5","107","21","85","1","0"
"Harrington Park","4,859","0","0","","0","0","0","7","1","6","0","0"
"Harrison","13,975","63","0","","0","32","31","309","50","191","68","0"
"Harrison Township","12,616","3","0","","0","1","2","141","48","87","6","0"
"Harvey Cedars","344","1","0","","0","0","1","24","2","21","1","0"
"Hasbrouck Heights","11,983","3","0","","0","3","0","83","8","74","1","0"
"Haworth","3,413","0","0","","0","0","0","5","1","4","0","0"
"Hawthorne","18,945","4","0","","0","1","3","221","60","152","9","0"
"Hazlet Township","20,193","7","0","","0","6","1","211","22","182","7","6"
"Helmetta","2,199","3","0","","2","0","1","37","10","24","3","0"
"High Bridge","3,560","4","0","","0","0","4","19","9","10","0","0"
"Highland Park","14,420","9","0","","0","6","3","217","44","167","6","0"
"Highlands","4,969","4","0","","0","1","3","69","31","37","1","0"
"Hightstown","5,572","10","0","","4","2","4","127","27","96","4","0"
"Hillsborough Township","39,037","7","0","","1","2","4","194","55","135","4","2"
"Hillsdale","10,400","3","0","","0","0","3","58","3","55","0","0"
"Hillside Township","21,689","91","1","","6","53","31","565","147","316","102","0"
"Hi-Nella","867","5","0","","0","0","5","13","2","10","1","0"
"Hoboken","52,771","152","1","","6","47","98","970","128","780","62","0"
"Ho-Ho-Kus","4,166","0","0","","0","0","0","17","11","5","1","0"
"Holland Township","5,164","0","0","","0","0","0","65","12","53","0","0"
"Holmdel Township","16,657","8","0","","0","2","6","212","28","177","7","0"
"Hopatcong","14,857","14","1","","0","1","12","121","37","82","2","0"
"Hopewell","1,923","2","0","","0","1","1","21","5","14","2","0"
"Hopewell Township","17,304","10","1","","1","1","7","120","23","94","3","1"
"Howell Township","51,100","41","0","","1","18","22","564","79","464","21","2"
"Independence Township","5,604","4","0","","1","0","3","57","14","41","2","0"
"Interlaken","821","0","0","","0","0","0","31","10","21","0","0"
"Irvington","54,246","815","17","","27","492","279","1,613","448","643","522","7"
"Island Heights","1,673","0","0","","0","0","0","9","1","7","1","0"
"Jackson Township","55,817","33","0","","5","10","18","617","201","403","13","24"
"Jamesburg","5,985","7","0","","0","5","2","51","22","28","1","0"
"Jefferson Township","21,516","6","0","","0","2","4","157","36","119","2","0"
"Jersey City","256,886","1,655","20","","35","717","883","4,836","1,052","3,046","738","31"
"Keansburg","9,981","21","0","","0","8","13","231","47","181","3","2"
"Kearny","41,677","78","1","","3","41","33","888","110","642","136","1"
"Kenilworth","8,069","9","0","","4","2","3","145","11","125","9","0"
"Keyport","7,228","15","0","","0","6","9","138","31","104","3","1"
"Kinnelon","10,452","1","1","","0","0","0","59","14","43","2","0"
"Lacey Township","27,865","19","0","","2","3","14","526","65","456","5","0"
"Lake Como","1,730","3","0","","0","0","3","23","9","14","0","0"
"Lakehurst","2,666","4","0","","1","0","3","36","7","29","0","0"
"Lakewood Township","92,664","93","2","","5","34","52","998","186","768","44","6"
"Lambertville","3,815","3","0","","1","1","1","48","12","34","2","2"
"Laurel Springs","1,901","1","0","","0","1","0","44","19","24","1","0"
"Lavallette","1,877","0","0","","0","0","0","47","5","42","0","0"
"Lawrence Township, Mercer County","33,172","47","0","","0","28","19","803","94","673","36","1"
"Lebanon Township","6,439","1","0","","0","0","1","35","11","21","3","0"
"Leonia","9,055","6","0","","0","1","5","37","13","24","0","0"
"Lincoln Park","10,522","9","0","","2","2","5","95","18","74","3","0"
"Linden","41,041","123","0","","0","54","69","1,216","182","903","131","4"
"Lindenwold","17,863","122","2","","6","50","64","533","200","306","27","4"
"Linwood","7,089","1","0","","0","0","1","83","19","63","1","0"
"Little Egg Harbor Township","20,412","26","0","","3","4","19","344","102","231","11","6"
"Little Falls Township","14,504","12","1","","0","1","10","146","24","103","19","0"
"Little Ferry","10,774","9","0","","0","2","7","104","21","70","13","0"
"Little Silver","5,988","4","0","","0","0","4","79","10","66","3","0"
"Livingston Township","29,621","15","0","","0","8","7","384","26","323","35","0"
"Loch Arbour","193","0","0","","0","0","0","22","11","10","1","0"
"Lodi","24,462","36","0","","0","14","22","421","91","309","21","1"
"Logan Township","6,019","7","0","","0","1","6","135","23","97","15","0"
"Long Beach Township","3,068","2","0","","0","0","2","185","43","140","2","0"
"Long Branch","30,602","124","5","","6","50","63","842","203","603","36","2"
"Long Hill Township","8,796","2","0","","0","1","1","48","10","38","0","0"
"Longport","885","0","0","","0","0","0","6","4","2","0","0"
"Lopatcong Township","8,085","1","0","","0","0","1","74","9","65","0","0"
"Lower Alloways Creek Township","1,746","3","0","","0","0","3","13","6","7","0","0"
"Lower Township","22,467","31","0","","4","9","18","473","100","355","18","2"
"Lumberton Township","12,516","17","0","","0","7","10","402","18","374","10","2"
"Lyndhurst Township","21,477","17","0","","0","7","10","276","28","220","28","0"
"Madison","16,216","4","0","","0","1","3","103","21","79","3","0"
"Magnolia","4,363","14","1","","1","7","5","100","34","55","11","1"
"Manalapan Township","39,313","20","0","","0","9","11","300","50","229","21","1"
"Manasquan","5,860","3","0","","0","1","2","134","34","100","0","0"
"Manchester Township","43,013","19","2","","0","5","12","447","110","330","7","2"
