"Criminal Justice Information Services Division","Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home"
"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Rape(reviseddefinition)1","Rape(legacydefinition)2","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson3"
"Farmers Branch","29,609","65","0","","10","26","29","1,055","200","749","106","3"
"Farmersville","3,448","7","0","","2","0","5","120","30","86","4","0"
"Farwell","1,347","3","0","","0","1","2","14","1","12","1","0"
"Ferris","2,498","11","1","","3","1","6","59","14","41","4","0"
"Flatonia","1,398","2","0","","1","0","1","14","1","11","2","0"
"Florence","1,213","0","0","","0","0","0","5","0","5","0","0"
"Floresville","6,882","13","0","","0","0","13","273","38","221","14","0"
"Flower Mound","68,835","39","1","2","","5","31","491","86","384","21","5"
"Floydada","2,991","11","0","","1","0","10","60","27","31","2","0"
"Forney","16,257","19","0","4","","2","13","308","91","184","33","1"
"Fort Stockton","8,357","58","0","","15","3","40","316","68","242","6","0"
"Fort Worth","789,035","4,420","48","523","","1,256","2,593","34,272","8,316","23,557","2,399","155"
"Frankston","1,229","3","0","","0","2","1","47","15","31","1","0"
"Fredericksburg","10,768","9","0","","0","3","6","255","57","195","3","0"
"Freeport","12,090","28","0","","2","8","18","469","122","323","24","3"
"Freer","2,769","28","0","","1","5","22","88","25","61","2","1"
"Friendswood","37,226","11","0","","1","2","8","418","88","313","17","0"
"Friona","4,066","1","0","","0","0","1","21","8","12","1","0"
"Frisco","131,769","100","0","21","","22","57","2,507","374","2,075","58","15"
"Fulton","1,417","3","0","","0","2","1","55","25","28","2","0"
"Gainesville","16,089","89","2","","9","14","64","898","197","642","59","5"
"Galena Park","11,097","18","0","","6","8","4","232","59","146","27","1"
"Galveston","48,067","236","3","","56","93","84","2,335","439","1,707","189","6"
"Garden Ridge","3,573","1","0","","0","0","1","29","9","20","0","0"
"Garland","235,683","514","6","","53","237","218","8,371","2,053","5,671","647","30"
"Gatesville","16,072","22","0","","4","3","15","161","39","109","13","1"
"Georgetown","53,844","71","1","17","","7","46","767","93","642","32","1"
"Giddings","4,912","15","0","","7","1","7","167","35","129","3","0"
"Gilmer","5,104","36","1","","2","2","31","205","22","172","11","0"
"Gladewater","6,503","43","0","","2","7","34","312","70","224","18","0"
"Glenn Heights","11,853","30","0","","1","4","25","262","105","144","13","1"
"Godley","1,035","2","0","","0","0","2","18","7","11","0","0"
"Gonzales","7,324","105","1","","16","6","82","329","69","255","5","0"
"Gorman","1,071","3","0","","0","0","3","43","18","23","2","1"
"Graham","8,773","18","0","","2","2","14","386","79","293","14","1"
"Granbury","8,464","21","0","","8","0","13","589","58","518","13","0"
"Grand Prairie","183,822","511","11","","54","155","291","5,158","1,120","3,448","590","16"
"Grand Saline","3,114","2","0","","0","0","2","76","21","55","0","0"
"Granger","1,501","1","0","","0","0","1","4","2","2","0","0"
"Granite Shoals","4,945","7","1","","1","0","5","54","16","29","9","2"
"Grapeland","1,439","2","0","","0","0","2","26","10","16","0","0"
"Grapevine","49,075","88","1","","7","20","60","1,554","182","1,270","102","2"
"Greenville","25,895","204","0","","15","56","133","1,279","266","948","65","5"
"Gregory","1,914","2","0","","1","1","0","28","9","16","3","0"
"Groesbeck","4,348","2","0","","0","0","2","53","15","35","3","0"
"Groves","15,725","79","0","","8","17","54","523","130","364","29","0"
"Gun Barrel City","5,785","12","1","","1","0","10","199","50","134","15","0"
"Hale Center","2,246","5","0","","0","0","5","62","35","26","1","1"
"Hallettsville","2,592","17","0","","1","2","14","61","15","42","4","0"
"Hallsville","3,924","8","0","","0","0","8","46","12","32","2","0"
"Haltom City","43,676","110","2","","11","34","63","1,455","391","943","121","7"
"Hamlin","2,037","19","0","","0","0","19","48","12","34","2","1"
"Harker Heights","28,125","90","0","","8","25","57","950","226","687","37","1"
"Harlingen","65,885","264","2","","21","59","182","2,584","496","2,012","76","11"
"Haskell","3,323","3","0","","0","0","3","18","8","9","1","0"
"Hawkins","1,282","0","0","","0","0","0","47","16","27","4","0"
"Hawley","610","1","0","","0","0","1","17","9","6","2","0"
"Hearne","4,443","47","0","","1","3","43","114","31","81","2","1"
"Heath","7,733","1","0","0","","0","1","55","5","49","1","0"
"Hedwig Village","2,643","6","0","","0","4","2","208","19","175","14","0"
"Helotes","8,054","4","0","","1","2","1","116","19","94","3","0"
"Hemphill","1,200","1","0","","0","0","1","34","5","25","4","0"
"Hempstead","6,187","18","0","","0","8","10","219","72","134","13","0"
"Henderson","13,837","96","1","2","","12","81","647","77","545","25","2"
"Hereford","15,327","55","0","","6","9","40","474","173","283","18","2"
"Hewitt","13,944","14","2","","0","1","11","127","30","90","7","0"
"Hickory Creek","3,493","7","0","","2","2","3","108","2","97","9","0"
"Highland Park","8,900","5","0","1","","3","1","160","33","116","11","0"
"Highland Village","15,754","8","0","","0","0","8","112","12","99","1","0"
"Hill Country Village","1,016","0","0","","0","0","0","41","6","32","3","0"
"Hillsboro","8,377","30","0","","1","5","24","343","50","282","11","1"
"Hitchcock","7,250","29","1","","3","4","21","234","82","129","23","0"
"Hollywood Park","3,168","0","0","","0","0","0","76","13","62","1","0"
"Hondo","8,925","22","0","","5","1","16","234","30","198","6","0"
"Hooks","2,731","7","1","","1","1","4","38","15","22","1","0"
"Horizon City","19,439","13","0","","0","4","9","266","59","187","20","2"
"Horseshoe Bay","3,334","5","0","","1","0","4","75","12","57","6","0"
"Houston","2,180,606","20,993","214","","618","9,891","10,270","110,919","23,733","73,591","13,595","708"
"Howe","2,602","6","0","","1","0","5","18","6","10","2","0"
"Hubbard","1,416","0","0","","0","0","0","15","4","9","2","0"
"Hudson","4,750","27","0","","0","1","26","86","30","56","0","0"
"Hughes Springs","1,727","1","0","","0","0","1","18","15","2","1","2"
"Humble","15,473","95","0","","12","45","38","1,624","273","1,239","112","1"
"Huntington","2,102","4","0","","3","0","1","44","15","27","2","0"
"Huntsville","39,990","213","0","","22","22","169","1,078","241","798","39","0"
"Hurst","38,456","205","1","","6","47","151","1,978","222","1,700","56","2"
"Hutchins","5,439","8","0","","2","1","5","192","42","122","28","1"
"Hutto","19,513","8","0","","5","2","1","164","28","131","5","1"
"Idalou","2,264","6","0","","0","0","6","20","8","11","1","0"
"Ingleside","9,541","32","1","","4","2","25","270","74","175","21","5"
"Ingram","1,805","5","0","","3","0","2","52","10","40","2","0"
"Iowa Park","6,408","13","0","2","","1","10","63","22","40","1","2"
"Irving","228,367","530","2","","24","186","318","6,175","1,137","4,444","594","17"
"Jacksboro","4,487","13","0","","0","1","12","102","38","61","3","0"
"Jacksonville","14,816","111","0","","13","11","87","601","158","431","12","8"
"Jamaica Beach","1,006","0","0","","0","0","0","1","1","0","0","0"
"Jarrell","1,051","0","0","","0","0","0","11","0","10","1","0"
"Jasper","7,702","31","0","","6","3","22","484","79","404","1","1"
"Jefferson","2,057","13","0","","0","1","12","60","16","42","2","0"
"Jersey Village","7,845","38","0","","0","9","29","218","44","158","16","2"
"Johnson City","1,733","2","0","","0","0","2","10","1","9","0","0"
"Jones Creek","2,067","0","0","","0","0","0","2","0","2","0","0"
"Jonestown","2,024","9","0","","0","2","7","43","7","35","1","0"
"Joshua","5,966","15","0","","1","0","14","102","25","69","8","1"
