"Criminal Justice Information Services Division","Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home"
"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Rape(reviseddefinition)1","Rape(legacydefinition)2","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson"
"Countryside","5,982","4","0","","0","4","0","173","13","151","9","1"
"Crest Hill","20,865","26","1","","5","12","8","327","84","230","13","1"
"Crete","8,278","18","0","","1","3","14","161","26","130","5","2"
"Crystal Lake","40,383","47","0","","7","7","33","784","66","701","17","6"
"Danvers","1,155","1","0","","0","0","1","10","3","7","0","0"
"Darien","22,365","12","0","","3","3","6","255","52","199","4","0"
"Davis","660","0","0","","0","0","0","2","0","2","0","0"
"Decatur","75,190","351","5","","9","84","253","2,369","793","1,512","64","20"
"Deer Creek","705","0","0","","0","0","0","10","2","8","0","0"
"Deerfield","18,283","2","0","","0","1","1","184","25","159","0","0"
"De Kalb","43,765","204","2","","32","28","142","1,218","181","1,006","31","11"
"Delavan","1,681","1","0","","0","0","1","29","13","16","0","0"
"De Pue","1,778","2","0","","0","0","2","9","1","8","0","0"
"De Soto","1,591","4","0","","0","0","4","5","0","5","0","0"
"Des Plaines","58,975","56","2","","7","12","35","791","153","595","43","8"
"Diamond","2,520","0","0","","0","0","0","19","0","19","0","0"
"Divernon","1,173","0","0","","0","0","0","16","6","10","0","0"
"Dixmoor","3,651","20","1","","1","8","10","164","63","76","25","12"
"Dixon","15,304","13","0","","9","0","4","363","41","316","6","0"
"Dolton","23,309","166","0","","3","123","40","1,502","455","887","160","3"
"Downers Grove","49,558","25","1","","1","7","16","719","115","588","16","7"
"Dupo","4,042","32","0","","0","1","31","69","18","47","4","2"
"Du Quoin","5,993","8","0","","0","0","8","97","15","78","4","2"
"Dwight","4,206","3","0","","0","0","3","49","8","40","1","0"
"Earlville","1,673","2","0","","0","0","2","38","7","31","0","0"
"East Alton","6,181","13","0","","5","0","8","236","51","178","7","0"
"East Dubuque","1,692","15","0","","0","0","15","22","4","14","4","0"
"East Dundee","2,889","1","0","","1","0","0","101","10","88","3","0"
"East Hazel Crest","1,557","3","0","","0","3","0","33","9","23","1","1"
"East Moline","21,430","63","0","","4","6","53","488","98","376","14","4"
"Easton","308","0","0","","0","0","0","1","0","1","0","0"
"East Peoria","23,458","85","0","","20","6","59","679","186","476","17","3"
"Edwardsville","24,511","15","0","","1","3","11","406","40","357","9","0"
"Effingham","12,633","24","1","","2","2","19","413","48","357","8","0"
"Elburn","5,689","2","0","","0","0","2","42","14","28","0","1"
"Eldorado","4,121","10","0","","0","0","10","153","42","101","10","0"
"Elgin","110,454","236","3","","56","63","114","1,902","351","1,462","89","14"
"Elizabeth","757","2","0","","0","0","2","1","0","1","0","0"
"Elk Grove Village","33,414","25","0","","4","7","14","624","89","501","34","3"
"Elmhurst","45,501","12","0","","2","4","6","555","57","476","22","1"
"Elmwood","2,105","2","0","","0","0","2","26","15","11","0","0"
"Elmwood Park","24,998","29","0","","0","11","18","363","68","258","37","1"
"El Paso","2,810","2","0","","2","0","0","55","16","39","0","0"
"Elwood","2,279","3","0","","0","0","3","19","2","15","2","0"
"Erie","1,576","3","0","","0","1","2","17","3","14","0","0"
"Eureka","5,360","7","0","","2","1","4","82","13","69","0","0"
"Evanston","75,709","189","1","","10","63","115","1,902","361","1,474","67","12"
"Evergreen Park","19,951","28","0","","0","20","8","617","62","545","10","1"
"Fairbury","3,731","3","0","","0","0","3","89","22","67","0","0"
"Fairfield","5,068","17","0","","4","0","13","128","42","86","0","1"
"Fairmont City","2,573","3","0","","0","1","2","49","10","36","3","0"
"Fairview Heights","16,960","34","0","","4","10","20","729","66","639","24","5"
"Farmington","2,405","8","0","","1","0","7","71","9","59","3","0"
"Fayetteville","355","1","0","","0","0","1","10","5","5","0","0"
"Findlay","669","0","0","","0","0","0","6","2","3","1","0"
"Fisher","1,924","3","0","","0","0","3","24","7","17","0","1"
"Flora","5,054","5","0","","0","0","5","162","19","142","1","0"
"Flossmoor","9,526","15","1","","1","9","4","157","33","120","4","0"
"Forest Park","14,233","42","0","","0","17","25","782","91","637","54","7"
"Forest View","700","1","0","","0","1","0","50","14","25","11","0"
"Fox Lake","10,537","14","0","","3","1","10","205","23","182","0","0"
"Fox River Grove","4,740","5","0","","2","1","2","54","1","52","1","0"
"Frankfort","18,115","11","0","","4","1","6","202","25","177","0","1"
"Franklin Grove","979","0","0","","0","0","0","15","3","11","1","0"
"Franklin Park","18,417","21","0","","7","3","11","309","46","213","50","4"
"Freeburg","4,363","11","0","","0","1","10","49","14","34","1","0"
"Fulton","3,415","4","0","","0","0","4","58","20","36","2","1"
"Galena","3,392","1","0","","0","0","1","36","2","32","2","0"
"Galesburg","31,602","125","2","","25","11","87","1,140","227","891","22","1"
"Geneseo","6,541","7","0","","2","0","5","98","10","87","1","0"
"Geneva","21,790","5","0","","1","1","3","235","13","220","2","3"
"Genoa","5,185","6","0","","3","0","3","45","9","36","0","1"
"Germantown","1,297","0","0","","0","0","0","16","4","12","0","0"
"Gibson City","3,388","3","1","","0","0","2","41","14","27","0","0"
"Gilberts","7,484","1","0","","0","0","1","48","4","42","2","0"
"Gillespie","3,247","11","0","","1","0","10","60","4","54","2","0"
"Gilman","1,780","2","0","","0","0","2","39","5","33","1","0"
"Girard","2,068","10","0","","0","0","10","36","12","22","2","0"
"Glasford","1,018","3","0","","0","0","3","1","1","0","0","0"
"Glen Carbon","12,916","11","0","","2","0","9","76","15","61","0","1"
"Glencoe","8,840","0","0","","0","0","0","72","6","65","1","0"
"Glendale Heights","34,630","40","0","","16","8","16","488","49","428","11","1"
"Glen Ellyn","27,736","9","1","","4","3","1","291","55","228","8","1"
"Glenview","45,125","22","0","","3","5","14","485","77","401","7","3"
"Glenwood","9,060","13","0","","0","11","2","205","41","151","13","0"
"Godfrey","17,894","12","0","","1","0","11","248","45","200","3","0"
"Godley","653","3","0","","1","1","1","6","2","4","0","0"
"Goodfield","886","0","0","","0","0","0","51","2","47","2","0"
"Grafton","661","0","0","","0","0","0","12","3","8","1","1"
"Grandview","1,437","0","0","","0","0","0","30","16","13","1","0"
"Granite City","29,447","174","4","","15","32","123","854","312","493","49","15"
"Grantfork","333","0","0","","0","0","0","4","1","3","0","0"
"Granville","1,377","0","0","","0","0","0","2","1","1","0","0"
"Grayslake","21,142","31","0","","11","10","10","348","67","267","14","2"
"Grayville","1,647","6","0","","0","0","6","12","2","10","0","3"
"Greenfield","1,034","1","0","","0","0","1","4","1","3","0","0"
"Greenup","1,502","19","0","","0","0","19","33","3","30","0","3"
"Greenville","6,965","4","0","","0","1","3","127","21","99","7","0"
"Gurnee","31,253","38","0","","9","20","9","1,454","65","1,368","21","0"
"Hampshire","5,642","5","0","","0","1","4","31","7","24","0","1"
"Hampton","1,863","2","0","","1","0","1","24","8","16","0","0"
"Hanover","829","0","0","","0","0","0","8","1","7","0","0"
"Hanover Park","38,499","37","0","","4","4","29","322","66","243","13","0"
"Harrisburg","9,034","47","0","","5","4","38","177","115","53","9","1"
"Hartford","1,400","4","0","","0","0","4","38","3","34","1","0"
"Harvard","9,326","4","0","","0","1","3","126","20","104","2","1"
"Harvey","25,408","407","10","","10","273","114","1,422","493","737","192","10"
"Harwood Heights","8,675","12","0","","1","3","8","143","24","109","10","0"
"Havana","3,197","20","0","","2","1","17","99","18","78","3","0"
"Hawthorn Woods","7,731","1","0","","0","0","1","19","2","17","0","0"
"Hazel Crest","14,208","56","0","","6","40","10","489","117","327","45","2"
"Henry","2,379","6","1","","2","0","3","31","4","26","1","0"
"Herrin","12,751","1","0","","0","1","0","485","217","254","14","1"
"Herscher","1,593","1","0","","1","0","0","14","2","12","0","2"
"Heyworth","2,891","5","0","","2","0","3","27","5","21","1","0"
"Hickory Hills","14,172","10","0","","3","0","7","191","27","151","13","1"
"Highland Park","29,939","23","0","","4","3","16","307","27","276","4","0"
"Highwood","5,345","10","1","","2","1","6","50","6","43","1","0"
"Hillsboro","6,107","29","0","","0","0","29","63","17","44","2","1"
"Hillsdale","523","0","0","","0","0","0","0","0","0","0","0"
"Hinsdale","17,222","2","0","","1","0","1","165","28","135","2","0"
"Hodgkins","1,896","5","0","","0","1","4","266","1","259","6","0"
"Hoffman Estates","52,422","55","0","","16","21","18","548","102","426","20","2"
"Homer","1,197","0","0","","0","0","0","7","1","6","0","0"
"Homer Glen","24,395","5","0","","1","0","4","184","43","136","5","0"
"Hometown","4,366","6","0","","0","4","2","70","8","60","2","0"
"Homewood","19,445","45","1","","1","32","11","683","48","625","10","0"
"Hoopeston","5,266","32","0","","8","1","23","202","48","151","3","0"
"Hopedale","869","1","0","","0","0","1","7","4","3","0","0"
"Hudson","1,851","0","0","","0","0","0","19","6","12","1","0"
"Huntley","24,978","4","0","","0","0","4","187","25","161","1","1"
"Indian Head Park","3,844","2","0","","1","1","0","13","3","10","0","0"
"Inverness","7,519","1","0","","0","0","1","24","7","17","0","0"
"Irving","485","2","0","","0","0","2","6","0","6","0","0"
"Irvington","658","1","0","","0","0","1","12","3","9","0","0"
"Island Lake","8,027","6","0","","2","1","3","67","16","50","1","0"
"Itasca","8,810","3","0","","1","1","1","112","7","101","4","0"
"Jacksonville","19,256","39","1","","9","2","27","429","93","334","2","2"
"Jerome","1,650","11","0","","0","0","11","39","8","30","1","0"
"Jerseyville","8,491","20","0","","5","0","15","289","52","232","5","0"
"Joliet","148,462","557","10","","49","158","340","3,217","724","2,337","156","51"
"Justice","13,055","10","0","","0","3","7","111","21","75","15","0"
"Kankakee","27,286","196","4","","23","70","99","1,063","285","743","35","10"
"Kenilworth","2,526","0","0","","0","0","0","20","3","17","0","0"
"Kewanee","12,739","30","0","","11","0","19","406","43","362","1","1"
"Kildeer","3,974","2","0","","1","0","1","43","9","34","0","0"
"Kincaid","1,485","1","0","","0","0","1","9","3","6","0","0"
"Kingston","1,159","0","0","","0","0","0","8","3","5","0","0"
"Knoxville","2,876","0","0","","0","0","0","51","13","38","0","0"
"Lacon","1,863","2","0","","0","0","2","9","2","7","0","1"
"La Grange","15,718","15","0","","3","8","4","119","24","88","7","0"
"La Grange Park","13,650","1","0","","0","0","1","85","11","73","1","0"
"La Harpe","1,218","0","0","","0","0","0","19","6","13","0","0"
"Lake in the Hills","29,133","15","0","","4","0","11","93","13","76","4","5"
"Lakemoor","6,047","1","0","","0","0","1","42","15","26","1","0"
"Lake Villa","8,798","6","0","","0","0","6","70","7","62","1","3"
"Lakewood","3,811","1","0","","0","0","1","12","7","5","0","0"
"Lake Zurich","19,999","3","0","","0","1","2","308","27","279","2","0"
"Lansing","28,520","109","0","","16","57","36","1,170","157","939","74","3"
"La Salle","9,448","12","0","","2","0","10","170","22","146","2","0"
"Lawrenceville","4,244","14","0","","2","1","11","84","20","60","4","4"
"Leland","961","2","0","","0","0","2","6","2","4","0","0"
"Leland Grove","1,574","0","0","","0","0","0","8","1","6","1","0"
"Lemont","16,460","13","0","","1","2","10","260","32","226","2","2"
"Lexington","2,072","1","0","","0","0","1","5","2","3","0","0"
"Libertyville","20,368","6","1","","0","0","5","231","25","200","6","0"
"Lincoln","14,265","50","0","","12","6","32","432","96","320","16","3"
"Lincolnshire","7,271","4","0","","1","0","3","58","8","48","2","0"
"Lincolnwood","12,675","10","0","","0","4","6","541","47","475","19","2"
"Lindenhurst","14,470","4","1","","3","0","0","48","10","38","0","0"
"Lisle","22,717","13","0","","4","4","5","229","37","185","7","0"
"Litchfield","6,775","9","0","","0","1","8","216","39","169","8","0"
"Loami","755","1","0","","0","0","1","8","2","6","0","0"
"Lockport","25,100","23","0","","4","5","14","263","37","218","8","3"
"Lombard","43,883","41","0","","3","17","21","916","68","837","11","1"
"Lovington","1,122","2","0","","1","0","1","18","11","7","0","0"
"Lyons","10,781","15","0","","3","6","6","196","37","155","4","1"
"Machesney Park","23,211","58","0","","15","2","41","500","101","377","22","2"
"Macomb","19,246","55","0","","13","3","39","399","117","277","5","0"
"Mahomet","7,588","10","0","","1","0","9","56","16","40","0","0"
"Malta","1,152","0","0","","0","0","0","6","1","5","0","0"
