"Criminal Justice Information Services Division","Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home"
"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Forciblerape","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson"
"Adrian","1,683","9","0","0","1","8","44","12","30","2","3"
"Advance","1,352","5","0","0","0","5","12","4","8","0","0"
"Alma","403","0","0","0","0","0","0","0","0","0","0"
"Alton","874","0","0","0","0","0","3","1","2","0","0"
"Anderson","1,968","4","0","0","1","3","83","26","56","1","0"
"Appleton City","1,131","4","0","0","0","4","23","4","19","0","0"
"Arbyrd","511","0","0","0","0","0","2","0","0","2","0"
"Archie","1,174","1","0","0","0","1","18","4","13","1","0"
"Arnold","20,884","39","0","2","4","33","861","81","760","20","1"
"Ash Grove","1,477","2","0","0","0","2","41","21","18","2","0"
"Ashland","3,720","17","0","1","0","16","47","1","45","1","0"
"Aurora","7,535","66","0","2","4","60","407","69","319","19","1"
"Auxvasse","987","6","0","1","0","5","38","10","25","3","0"
"Ava","3,004","8","0","0","0","8","89","15","71","3","0"
"Ballwin","30,514","9","0","0","3","6","351","56","283","12","0"
"Bates City","220","0","0","0","0","0","9","2","4","3","0"
"Battlefield","5,610","6","0","2","3","1","91","19","69","3","0"
"Bella Villa","732","3","0","0","0","3","16","8","8","0","0"
"Belle","1,551","25","0","1","4","20","19","5","12","2","0"
"Bellefontaine Neighbors","10,899","60","0","5","19","36","419","203","164","52","1"
"Bellerive","189","0","0","0","0","0","4","0","4","0","0"
"Bellflower","394","1","0","0","0","1","11","7","4","0","0"
"Bel-Nor","1,504","3","0","0","0","3","34","14","18","2","0"
"Bel-Ridge","2,747","35","1","1","4","29","149","73","64","12","0"
"Belton","23,200","55","1","6","10","38","513","88","386","39","2"
"Berkeley","9,011","215","0","13","21","181","520","237","248","35","4"
"Bernie","1,965","4","0","0","0","4","13","2","10","1","0"
"Bethany","3,304","5","0","0","0","5","45","13","27","5","1"
"Beverly Hills","576","10","0","0","1","9","50","25","24","1","0"
"Billings","1,039","10","0","0","0","10","32","6","26","0","1"
"Birch Tree","681","1","0","0","0","1","13","2","7","4","0"
"Birmingham","184","0","0","0","0","0","3","2","0","1","0"
"Blackburn","250","0","0","0","0","0","0","0","0","0","0"
"Bloomfield","1,940","4","0","0","0","4","44","7","37","0","0"
"Blue Springs","52,766","116","1","12","32","71","1,520","246","1,153","121","2"
"Bolivar","10,363","52","0","2","6","44","297","46","245","6","1"
"Bonne Terre","6,889","11","0","0","0","11","69","15","39","15","0"
"Boonville","8,349","7","1","0","1","5","303","27","274","2","2"
"Bourbon","1,638","11","0","0","0","11","21","3","17","1","1"
"Bowling Green","5,353","5","0","0","1","4","110","16","92","2","0"
"Branson1, 2","10,558","132","0","3","15","114","","154","","","1"
"Branson West","480","5","0","1","0","4","91","11","80","0","0"
"Breckenridge Hills","4,763","25","1","3","7","14","196","70","116","10","1"
"Brentwood","8,084","10","0","0","6","4","322","36","278","8","0"
"Bridgeton","11,592","78","1","5","21","51","881","108","738","35","1"
"Brookfield","4,559","7","0","1","2","4","126","39","82","5","0"
"Brunswick","861","2","0","0","0","2","0","0","0","0","0"
"Bucklin","469","0","0","0","0","0","5","4","1","0","0"
"Buckner","3,087","12","0","2","3","7","79","18","54","7","0"
"Buffalo","3,095","7","0","1","0","6","110","20","89","1","0"
"Butler","4,234","21","0","0","2","19","173","26","142","5","0"
"Butterfield Village","472","0","0","0","0","0","7","2","5","0","2"
"Byrnes Mill","2,791","12","0","1","1","10","51","12","37","2","1"
"Cabool","2,154","5","2","0","0","3","45","14","31","0","0"
"California","4,294","4","0","0","1","3","59","3","51","5","0"
"Calverton Park","1,298","4","0","0","0","4","13","7","6","0","0"
"Camden Point","476","0","0","0","0","0","1","1","0","0","0"
"Camdenton","3,732","26","0","2","0","24","169","15","152","2","0"
"Cameron","9,969","32","0","2","0","30","213","38","168","7","2"
"Campbell","1,999","17","0","2","1","14","92","19","64","9","1"
"Canton","2,386","2","0","0","0","2","80","14","65","1","1"
"Cape Girardeau","38,079","252","1","15","94","142","2,473","394","2,017","62","2"
"Cardwell","716","2","0","0","0","2","5","4","0","1","0"
"Carl Junction","7,472","7","0","0","1","6","125","30","87","8","2"
"Carterville","1,898","4","0","1","0","3","25","7","16","2","0"
"Carthage","14,430","41","0","5","6","30","342","78","249","15","2"
"Caruthersville","6,190","73","1","1","9","62","243","96","138","9","3"
"Cassville","3,278","4","1","1","0","2","222","26","194","2","1"
"Catron","67","0","0","0","0","0","1","1","0","0","0"
"Center","510","2","0","0","0","2","11","2","9","0","1"
"Centralia","4,042","11","0","2","0","9","90","25","63","2","0"
"Chaffee","2,966","4","0","0","0","4","76","25","51","0","0"
"Charlack","1,368","3","0","0","2","1","66","16","47","3","0"
"Charleston","5,969","39","1","1","3","34","157","51","101","5","0"
"Chesterfield","47,657","33","0","3","9","21","745","76","654","15","1"
"Chillicothe","9,550","38","1","3","2","32","289","92","186","11","4"
"Clarkton","1,293","1","0","0","0","1","20","8","9","3","0"
"Claycomo","1,435","0","0","0","0","0","37","8","27","2","0"
"Clayton","15,997","17","0","0","6","11","298","88","205","5","0"
"Cleveland","663","0","0","0","0","0","6","2","4","0","0"
"Clever","2,147","17","1","0","3","13","6","1","5","0","0"
"Clinton","9,041","35","1","2","3","29","427","86","318","23","0"
"Cole Camp","1,125","2","0","0","1","1","8","1","6","1","0"
"Columbia","108,894","582","2","37","166","377","4,263","798","3,323","142","16"
"Concordia","2,459","3","0","1","0","2","44","12","28","4","0"
"Conway","791","1","0","0","0","1","12","0","12","0","0"
"Cool Valley","1,200","5","0","0","2","3","68","23","40","5","0"
"Corder","405","1","0","0","0","1","0","0","0","0","0"
"Cottleville","3,086","7","0","0","1","6","74","7","66","1","1"
"Country Club Hills","1,279","6","0","1","1","4","44","17","25","2","0"
"Country Club Village","2,458","0","0","0","0","0","14","3","11","0","0"
"Crane","1,467","3","0","0","0","3","47","20","27","0","0"
"Creighton","350","0","0","0","0","0","0","0","0","0","0"
"Crestwood","11,955","8","0","0","2","6","323","24","294","5","0"
"Creve Coeur","17,898","11","0","3","4","4","267","55","203","9","0"
"Crocker","1,114","7","0","1","0","6","24","9","14","1","0"
"Crystal City","4,873","10","0","3","1","6","166","10","151","5","0"
"Cuba","3,368","8","1","0","1","6","151","22","127","2","2"
"Dellwood","5,043","34","0","0","17","17","161","90","59","12","1"
"Delta","440","0","0","0","0","0","0","0","0","0","0"
"Desloge","5,072","21","0","1","1","19","226","28","191","7","0"
"De Soto","6,423","42","0","2","3","37","305","50","242","13","4"
"Des Peres","8,403","7","0","0","1","6","475","34","437","4","0"
"Dexter","7,893","7","0","1","0","6","282","52","217","13","1"
"Diamond","905","1","0","0","0","1","5","1","4","0","0"
"Dixon","1,555","3","1","0","0","2","74","11","62","1","0"
"Doniphan","2,004","2","0","0","0","2","146","18","125","3","0"
"Doolittle","632","1","0","0","0","1","7","0","7","0","0"
"Drexel","969","1","0","1","0","0","23","4","18","1","0"
"Duenweg","1,125","4","0","0","1","3","22","4","16","2","0"
"Duquesne","1,769","4","0","1","0","3","46","11","32","3","1"
"East Lynne","304","0","0","0","0","0","1","1","0","0","0"
"Edgerton","548","4","0","0","0","4","4","1","2","1","0"
"Edmundson","837","3","0","0","0","3","39","6","24","9","0"
"Eldon","4,584","21","0","5","0","16","226","63","159","4","0"
"Ellington","991","2","0","0","0","2","10","0","10","0","0"
"Ellisville","9,166","9","0","0","3","6","152","16","114","22","1"
"Ellsinore","448","0","0","0","0","0","0","0","0","0","0"
"Emma","234","0","0","0","0","0","0","0","0","0","0"
"Essex","474","3","0","1","0","2","0","0","0","0","0"
"Eureka","10,226","16","1","1","4","10","215","13","193","9","0"
"Everton","320","1","0","0","0","1","7","4","3","0","0"
"Excelsior Springs","11,124","47","0","5","4","38","368","91","262","15","0"
"Exeter","775","0","0","0","0","0","0","0","0","0","0"
"Fair Grove","1,398","2","0","0","0","2","17","5","12","0","0"
"Fair Play","477","0","0","0","0","0","0","0","0","0","0"
"Farber","323","0","0","0","0","0","0","0","0","0","0"
"Farmington","16,299","35","0","5","2","28","659","37","603","19","0"
"Fayette","2,698","3","0","0","0","3","18","3","14","1","0"
"Ferguson","21,280","103","5","6","45","47","997","263","649","85","0"
"Ferrelview","453","5","0","0","0","5","5","3","2","0","0"
"Festus","11,644","41","0","4","4","33","266","43","212","11","1"
"Fleming","128","0","0","0","0","0","0","0","0","0","0"
"Flordell Hills","825","7","1","0","3","3","55","28","22","5","2"
"Florissant","52,348","100","1","4","42","53","1,117","309","695","113","5"
"Foley","162","0","0","0","0","0","0","0","0","0","0"
"Fordland","803","1","0","0","0","1","7","2","5","0","4"
"Foristell","507","0","0","0","0","0","39","6","32","1","0"
"Forsyth","2,263","7","0","2","0","5","92","16","74","2","1"
"Frankford","324","0","0","0","0","0","0","0","0","0","0"
"Fredericktown","3,999","8","0","2","0","6","102","16","82","4","1"
"Freeman","484","0","0","0","0","0","0","0","0","0","0"
"Frontenac","3,774","3","0","0","0","3","44","5","39","0","0"
"Fulton","12,836","30","0","3","4","23","482","80","385","17","1"
"Gallatin","1,792","2","0","0","0","2","19","0","17","2","0"
"Garden City","1,648","4","1","0","0","3","47","21","21","5","0"
"Gerald","1,350","3","0","1","0","2","36","12","20","4","0"
"Gideon","1,097","8","0","0","1","7","1","1","0","0","0"
"Gladstone","25,502","67","0","8","17","42","740","137","537","66","5"
"Glasgow","1,107","1","0","0","0","1","16","5","9","2","0"
"Glendale","5,947","1","0","0","0","1","72","20","51","1","0"
"Glen Echo Park","161","2","0","0","2","0","3","1","2","0","0"
"Goodman","1,253","2","0","0","0","2","24","10","11","3","0"
"Gower","1,532","0","0","0","0","0","14","4","10","0","0"
"Grain Valley","12,901","18","0","6","3","9","258","41","194","23","2"
"Grandin","244","2","0","1","0","1","2","0","2","0","0"
"Grandview","24,564","195","0","7","56","132","857","222","527","108","5"
"Greendale","653","2","0","0","1","1","3","1","2","0","0"
"Greenfield","1,376","9","0","0","0","9","16","5","9","2","1"
"Greenville","513","2","0","0","0","2","12","1","7","4","0"
"Greenwood","5,240","7","0","1","0","6","80","11","67","2","0"
"Hallsville","1,496","0","0","0","0","0","18","3","15","0","0"
"Hamilton","1,816","5","0","0","1","4","44","12","30","2","0"
"Hannibal","17,981","54","0","9","8","37","1,123","178","897","48","4"
"Hardin","571","0","0","0","0","0","4","2","2","0","0"
"Harrisonville","10,055","19","0","3","0","16","482","56","408","18","2"
"Hartville","615","2","0","0","0","2","12","3","9","0","0"
"Hawk Point","671","0","0","0","0","0","28","5","23","0","0"
"Hayti","2,950","17","0","0","2","15","183","41","136","6","3"
"Hazelwood","25,796","76","0","2","27","47","1,011","235","716","60","1"
"Henrietta","370","1","0","0","0","1","1","0","1","0","0"
"Herculaneum","3,481","1","0","0","0","1","67","7","57","3","0"
"Hermann","2,440","15","0","1","0","14","70","19","49","2","0"
"Higginsville","4,814","3","0","3","0","0","151","26","122","3","0"
"High Hill","196","0","0","0","0","0","3","0","3","0","0"
"Highlandville","914","0","0","0","0","0","2","1","1","0","0"
